start,source,z,w1,dest,link,psize,w2,len_cloudlet,priority
0.5,svc4,0,1,l_svc4_app4,app4,200000000,1,20000,3
1.0,web1,0,1,l_web1_app1,app1,5000000,1,500,1
1.4,svc2,0,1,l_svc2_app2,app2,50000000,1,500,2
1.7,app1,0,1,l_app1_svc1,svc1,75000000,1,1000,1
2.3,web3,0,1,l_web3_app4,app4,5000000,1,50000,1
2.8,app0,0,1,l_app0_web1,web1,100000000,1,80000,2
3.0,db4,0,1,l_db4_app0,app0,150000000,1,20000,1
3.5,web2,0,1,l_web2_app2,app2,200000000,1,500,2
4.0,app3,0,1,l_app3_svc3,svc3,200000000,1,5000,1
4.5,web2,0,1,l_web2_app3,app3,10000000,1,2000,1
4.9,app2,0,1,l_app2_web3,web3,10000000,1,200,2
5.4,app4,0,1,l_app4_svc4,svc4,10000000,1,20000,1
5.6,app4,0,1,l_app4_db4,db4,5000000,1,10000,1
5.8,web1,0,1,l_web1_app1,app1,100000000,1,500,3
6.4,app3,0,1,l_app3_svc3,svc3,20000000,1,50000,1
6.6,app1,0,1,l_app1_db2,db2,75000000,1,10000,2
7.1,db1,0,1,l_db1_app1,app1,20000000,1,20000,1
7.5,db1,0,1,l_db1_app1,app1,150000000,1,500,2
7.9,app4,0,1,l_app4_svc4,svc4,10000000,1,500,2
8.3,app0,0,1,l_app0_svc0,svc0,20000000,1,2000,1
8.8,app4,0,1,l_app4_db4,db4,5000000,1,5000,1
9.2,app3,0,1,l_app3_db3,db3,20000000,1,50000,2
9.6,db0,0,1,l_db0_app1,app1,75000000,1,5000,2
10.1,web1,0,1,l_web1_app2,app2,50000000,1,10000,3
10.5,app0,0,1,l_app0_db0,db0,75000000,1,50000,2
10.7,app3,0,1,l_app3_web4,web4,10000000,1,5000,3
11.0,web0,0,1,l_web0_app0,app0,5000000,1,2000,2
11.3,app4,0,1,l_app4_db0,db0,150000000,1,10000,2
11.6,web3,0,1,l_web3_app3,app3,5000000,1,20000,3
11.8,db0,0,1,l_db0_app1,app1,100000000,1,20000,3
12.2,db0,0,1,l_db0_app1,app1,100000000,1,50000,3
12.6,app1,0,1,l_app1_svc1,svc1,10000000,1,1000,1
13.1,web3,0,1,l_web3_app3,app3,150000000,1,200,2
13.5,app3,0,1,l_app3_db3,db3,5000000,1,80000,1
13.8,app1,0,1,l_app1_db2,db2,150000000,1,200,2
14.2,web4,0,1,l_web4_app4,app4,150000000,1,500,1
14.6,web1,0,1,l_web1_app2,app2,50000000,1,50000,2
15.1,app3,0,1,l_app3_db3,db3,20000000,1,50000,1
15.5,web4,0,1,l_web4_app0,app0,75000000,1,2000,3
16.1,app4,0,1,l_app4_db4,db4,5000000,1,1000,1
16.6,app2,0,1,l_app2_db3,db3,100000000,1,10000,2
16.9,app0,0,1,l_app0_web0,web0,75000000,1,1000,1
17.2,web0,0,1,l_web0_app0,app0,5000000,1,1000,3
17.7,app1,0,1,l_app1_web1,web1,200000000,1,10000,3
