start,source,z,w1,dest,link,psize,w2,len_cloudlet,priority
1.0,db1,0,1,l_db1_app1,app1,5000000,1,500,2
1.6,app0,0,1,l_app0_db1,db1,75000000,1,5000,1
2.5,app0,0,1,l_app0_db0,db0,10000000,1,5000,1
3.2,app0,0,1,l_app0_db1,db1,50000000,1,200,3
3.9,app1,0,1,l_app1_db0,db0,5000000,1,200,3
4.9,db0,0,1,l_db0_app0,app0,5000000,1,10000,1
5.8,db1,0,1,l_db1_app1,app1,50000000,1,500,1
6.5,db0,0,1,l_db0_app1,app1,75000000,1,200,2
7.4,cache0,0,1,l_cache0_app0,app0,20000000,1,500,1
7.9,cache1,0,1,l_cache1_app1,app1,50000000,1,200,1
8.8,app0,0,1,l_app0_db1,db1,50000000,1,500,1
9.6,db0,0,1,l_db0_app0,app0,5000000,1,2000,3
10.4,app0,0,1,l_app0_db0,db0,5000000,1,1000,1
10.9,cache0,0,1,l_cache0_app0,app0,5000000,1,2000,1
11.8,app1,0,1,l_app1_db1,db1,50000000,1,2000,1
12.7,web0,0,1,l_web0_app0,app0,5000000,1,200,2
13.3,app1,0,1,l_app1_web0,web0,100000000,1,2000,2
14.1,web0,0,1,l_web0_app0,app0,20000000,1,500,2
15.0,db0,0,1,l_db0_app0,app0,20000000,1,1000,3
15.8,cache0,0,1,l_cache0_app0,app0,5000000,1,50000,3
16.4,cache0,0,1,l_cache0_app0,app0,5000000,1,200,2
17.1,cache1,0,1,l_cache1_app1,app1,5000000,1,500,1
17.9,db0,0,1,l_db0_app0,app0,100000000,1,20000,3
18.7,app0,0,1,l_app0_db1,db1,50000000,1,50000,2
19.3,app0,0,1,l_app0_cache0,cache0,100000000,1,200,1
