timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_11;9;1.5625;6.2500;6.0000;LFF;0.3335
10;h_10;8|3;1.5625;6.2500;5.0000;LFF;0.3335
10;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;0.3335
10;h_8;10;6.2500;12.5000;10.0000;LFF;0.3338
10;h_7;2|7;1.5625;6.2500;5.0000;LFF;0.3335
10;h_6;11|5;1.9531;4.6875;4.0000;LFF;0.3335
10;h_5;12;6.2500;12.5000;10.0000;LFF;0.3338
10;h_4;16;0.7813;3.1250;4.0000;LFF;0.3334
10;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;0.3335
10;h_2;0;1.5625;6.2500;4.0000;LFF;0.3335
10;h_1;13;3.1250;6.2500;5.0000;LFF;0.3336
10;h_0;14|17;1.9531;4.6875;4.5000;LFF;0.3335
20;h_11;9;1.5625;6.2500;6.0000;LFF;0.6670
20;h_10;8|3;1.5625;6.2500;5.0000;LFF;0.6670
20;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;0.6669
20;h_8;10;6.2500;12.5000;10.0000;LFF;0.6676
20;h_7;2|7;1.5625;6.2500;5.0000;LFF;0.6670
20;h_6;11|5;1.9531;4.6875;4.0000;LFF;0.6670
20;h_5;12;6.2500;12.5000;10.0000;LFF;0.6676
20;h_4;16;0.7813;3.1250;4.0000;LFF;0.6668
20;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;0.6669
20;h_2;0;1.5625;6.2500;4.0000;LFF;0.6670
20;h_1;13;3.1250;6.2500;5.0000;LFF;0.6671
20;h_0;14|17;1.9531;4.6875;4.5000;LFF;0.6670
30;h_11;9;1.5625;6.2500;6.0000;LFF;1.0005
30;h_10;8|3;1.5625;6.2500;5.0000;LFF;1.0005
30;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;1.0004
30;h_8;10;6.2500;12.5000;10.0000;LFF;1.0014
30;h_7;2|7;1.5625;6.2500;5.0000;LFF;1.0005
30;h_6;11|5;1.9531;4.6875;4.0000;LFF;1.0005
30;h_5;12;6.2500;12.5000;10.0000;LFF;1.0014
30;h_4;16;0.7813;3.1250;4.0000;LFF;1.0003
30;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;1.0004
30;h_2;0;1.5625;6.2500;4.0000;LFF;1.0005
30;h_1;13;3.1250;6.2500;5.0000;LFF;1.0007
30;h_0;14|17;1.9531;4.6875;4.5000;LFF;1.0005
40;h_11;9;1.5625;6.2500;6.0000;LFF;1.3340
40;h_10;8|3;1.5625;6.2500;5.0000;LFF;1.3340
40;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;1.3338
40;h_8;10;6.2500;12.5000;10.0000;LFF;1.3352
40;h_7;2|7;1.5625;6.2500;5.0000;LFF;1.3340
40;h_6;11|5;1.9531;4.6875;4.0000;LFF;1.3340
40;h_5;12;6.2500;12.5000;10.0000;LFF;1.3352
40;h_4;16;0.7813;3.1250;4.0000;LFF;1.3337
40;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;1.3338
40;h_2;0;1.5625;6.2500;4.0000;LFF;1.3340
40;h_1;13;3.1250;6.2500;5.0000;LFF;1.3343
40;h_0;14|17;1.9531;4.6875;4.5000;LFF;1.3340
50;h_11;9;1.5625;6.2500;6.0000;LFF;1.6675
50;h_10;8|3;1.5625;6.2500;5.0000;LFF;1.6675
50;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;1.6673
50;h_8;10;6.2500;12.5000;10.0000;LFF;1.6690
50;h_7;2|7;1.5625;6.2500;5.0000;LFF;1.6675
50;h_6;11|5;1.9531;4.6875;4.0000;LFF;1.6675
50;h_5;12;6.2500;12.5000;10.0000;LFF;1.6690
50;h_4;16;0.7813;3.1250;4.0000;LFF;1.6671
50;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;1.6673
50;h_2;0;1.5625;6.2500;4.0000;LFF;1.6675
50;h_1;13;3.1250;6.2500;5.0000;LFF;1.6678
50;h_0;14|17;1.9531;4.6875;4.5000;LFF;1.6675
60;h_11;9;1.5625;6.2500;6.0000;LFF;2.0010
60;h_10;8|3;1.5625;6.2500;5.0000;LFF;2.0010
60;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;2.0008
60;h_8;10;6.2500;12.5000;10.0000;LFF;2.0028
60;h_7;2|7;1.5625;6.2500;5.0000;LFF;2.0010
60;h_6;11|5;1.9531;4.6875;4.0000;LFF;2.0010
60;h_5;12;6.2500;12.5000;10.0000;LFF;2.0028
60;h_4;16;0.7813;3.1250;4.0000;LFF;2.0005
60;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;2.0008
60;h_2;0;1.5625;6.2500;4.0000;LFF;2.0010
60;h_1;13;3.1250;6.2500;5.0000;LFF;2.0014
60;h_0;14|17;1.9531;4.6875;4.5000;LFF;2.0010
70;h_11;9;1.5625;6.2500;6.0000;LFF;2.3345
70;h_10;8|3;1.5625;6.2500;5.0000;LFF;2.3345
70;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;2.3342
70;h_8;10;6.2500;12.5000;10.0000;LFF;2.3366
70;h_7;2|7;1.5625;6.2500;5.0000;LFF;2.3345
70;h_6;11|5;1.9531;4.6875;4.0000;LFF;2.3345
70;h_5;12;6.2500;12.5000;10.0000;LFF;2.3366
70;h_4;16;0.7813;3.1250;4.0000;LFF;2.3339
70;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;2.3342
70;h_2;0;1.5625;6.2500;4.0000;LFF;2.3345
70;h_1;13;3.1250;6.2500;5.0000;LFF;2.3350
70;h_0;14|17;1.9531;4.6875;4.5000;LFF;2.3345
80;h_11;9;1.5625;6.2500;6.0000;LFF;2.6680
80;h_10;8|3;1.5625;6.2500;5.0000;LFF;2.6680
80;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;2.6677
80;h_8;10;6.2500;12.5000;10.0000;LFF;2.6704
80;h_7;2|7;1.5625;6.2500;5.0000;LFF;2.6680
80;h_6;11|5;1.9531;4.6875;4.0000;LFF;2.6679
80;h_5;12;6.2500;12.5000;10.0000;LFF;2.6704
80;h_4;16;0.7813;3.1250;4.0000;LFF;2.6674
80;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;2.6677
80;h_2;0;1.5625;6.2500;4.0000;LFF;2.6680
80;h_1;13;3.1250;6.2500;5.0000;LFF;2.6685
80;h_0;14|17;1.9531;4.6875;4.5000;LFF;2.6680
90;h_11;9;1.5625;6.2500;6.0000;LFF;3.0015
90;h_10;8|3;1.5625;6.2500;5.0000;LFF;3.0015
90;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;3.0012
90;h_8;10;6.2500;12.5000;10.0000;LFF;3.0042
90;h_7;2|7;1.5625;6.2500;5.0000;LFF;3.0015
90;h_6;11|5;1.9531;4.6875;4.0000;LFF;3.0014
90;h_5;12;6.2500;12.5000;10.0000;LFF;3.0042
90;h_4;16;0.7813;3.1250;4.0000;LFF;3.0008
90;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;3.0011
90;h_2;0;1.5625;6.2500;4.0000;LFF;3.0015
90;h_1;13;3.1250;6.2500;5.0000;LFF;3.0021
90;h_0;14|17;1.9531;4.6875;4.5000;LFF;3.0015
100;h_11;9;1.5625;6.2500;6.0000;LFF;3.3350
100;h_10;8|3;1.5625;6.2500;5.0000;LFF;3.3350
100;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;3.3346
100;h_8;10;6.2500;12.5000;10.0000;LFF;3.3380
100;h_7;2|7;1.5625;6.2500;5.0000;LFF;3.3350
100;h_6;11|5;1.9531;4.6875;4.0000;LFF;3.3349
100;h_5;12;6.2500;12.5000;10.0000;LFF;3.3380
100;h_4;16;0.7813;3.1250;4.0000;LFF;3.3342
100;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;3.3346
100;h_2;0;1.5625;6.2500;4.0000;LFF;3.3350
100;h_1;13;3.1250;6.2500;5.0000;LFF;3.3357
100;h_0;14|17;1.9531;4.6875;4.5000;LFF;3.3349
110;h_11;9;1.5625;6.2500;6.0000;LFF;3.6685
110;h_10;8|3;1.5625;6.2500;5.0000;LFF;3.6685
110;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;3.6681
110;h_8;10;6.2500;12.5000;10.0000;LFF;3.6718
110;h_7;2|7;1.5625;6.2500;5.0000;LFF;3.6685
110;h_6;11|5;1.9531;4.6875;4.0000;LFF;3.6684
110;h_5;12;6.2500;12.5000;10.0000;LFF;3.6718
110;h_4;16;0.7813;3.1250;4.0000;LFF;3.6676
110;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;3.6681
110;h_2;0;1.5625;6.2500;4.0000;LFF;3.6685
110;h_1;13;3.1250;6.2500;5.0000;LFF;3.6692
110;h_0;14|17;1.9531;4.6875;4.5000;LFF;3.6684
120;h_11;9;1.5625;6.2500;6.0000;LFF;4.0020
120;h_10;8|3;1.5625;6.2500;5.0000;LFF;4.0020
120;h_9;15|19|4;1.1719;4.6875;5.0000;LFF;4.0015
120;h_8;10;6.2500;12.5000;10.0000;LFF;4.0056
120;h_7;2|7;1.5625;6.2500;5.0000;LFF;4.0020
120;h_6;11|5;1.9531;4.6875;4.0000;LFF;4.0019
120;h_5;12;6.2500;12.5000;10.0000;LFF;4.0056
120;h_4;16;0.7813;3.1250;4.0000;LFF;4.0011
120;h_3;6|1|18;1.1719;4.6875;4.5000;LFF;4.0015
120;h_2;0;1.5625;6.2500;4.0000;LFF;4.0020
