# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
32;web3;app3;300000000;9859.9996;4000.0000;0.0000;0.0000;5859.9996
32;web3;app3;300000000;9859.9996;4000.0000;0.0000;0.0000;5859.9996
460;app3;web3;150000000;10319.9997;4000.0000;0.0000;0.0000;6319.9997
460;app3;web3;150000000;10319.9997;4000.0000;0.0000;0.0000;6319.9997
86;app2;web2;100000000;12759.9999;4000.0000;0.0000;0.0000;8759.9999
86;app2;web2;100000000;12759.9999;4000.0000;0.0000;0.0000;8759.9999
351;web2;app2;20000000;9209.9996;4000.0000;0.0000;0.0000;5209.9996
351;web2;app2;20000000;9209.9996;4000.0000;0.0000;0.0000;5209.9996
248;app1;web1;400000000;12719.9999;4000.0000;0.0000;0.0000;8719.9999
248;app1;web1;400000000;12719.9999;4000.0000;0.0000;0.0000;8719.9999
333;db1;app2;20000000;12120.1999;2000.0000;0.1000;160.0000;9959.8999
333;db1;app2;20000000;12120.1999;2000.0000;0.1000;160.0000;9959.8999
333;db1;app2;20000000;14280.3000;2000.0000;0.1000;160.0000;12119.9999
333;db1;app2;20000000;14280.3000;2000.0000;0.1000;160.0000;12119.9999
333;db1;app2;20000000;14280.3000;2000.0000;0.1000;160.0000;12119.9999
333;db1;app2;20000000;14280.3000;2000.0000;0.1000;160.0000;12119.9999
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
53;db2;app2;10000000;16430.6619;2000.0000;0.2206;320.0000;14110.0013
57;app4;app4;300000000;15819.9998;4000.0000;0.0000;0.0000;11819.7298
