# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;12800.3570;0.0000;9400.0000;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;8179.8999;9380.0000;true
10;h_0;h_6;h_0->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;6400.3465;2969.6535;9370.0000;true
10;h_0;h_6;h_0->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;1280.3465;8069.6535;9350.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9330.0000;9330.0000;true
10;h_1;h_6;h_1->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;12800.3465;0.0000;9320.0000;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;80.1000;9139.8999;9220.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9170.0000;9170.0000;true
10;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;0.00;0.00;8400.4274;759.5726;9160.0000;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;8400.4274;639.5726;9040.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8979.9999;8979.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8879.9999;8879.9999;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;22400.4275;0.0000;8859.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8779.9999;8779.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;3200.3570;5529.6429;8729.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;12800.3570;0.0000;8679.9999;true
10;h_0;h_6;h_0->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;4800.3465;3779.6534;8579.9999;true
10;h_1;h_6;h_1->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;640.3465;7929.6534;8569.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;320.3570;8239.6429;8559.9999;true
10;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;0.00;0.00;1120.4273;7429.5726;8549.9999;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1600.1000;6929.8999;8529.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;1280.3570;7099.6429;8379.9999;true
10;h_1;h_6;h_1->edge0->agg0->core0->agg2->edge3->h_6;250.0000;0.00;0.00;6400.3465;1859.6534;8259.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0000;0.00;0.00;6400.3570;1849.6429;8249.9999;true
