# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
7;web2;app2;400000000;16499.9998;10000.0000;0.0000;0.0000;6499.9998
7;web2;app2;400000000;16499.9998;10000.0000;0.0000;0.0000;6499.9998
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
10;app2;db0;20000000;19021.0708;4000.0000;0.3570;640.0000;14379.9438
10;app2;db0;20000000;19021.0708;4000.0000;0.3570;640.0000;14379.9438
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
10;app2;db0;20000000;23661.4278;4000.0000;0.3570;640.0000;19020.3008
18;app4;app4;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.7298
18;app4;app4;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.7298
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
53;db2;app2;10000000;16160.6617;2000.0000;0.2206;320.0000;13840.0010
57;app4;app4;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.7298
57;app4;app4;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.7298
53;db2;app2;10000000;18480.8823;2000.0000;0.2206;320.0000;16160.2217
53;db2;app2;10000000;18480.8823;2000.0000;0.2206;320.0000;16160.2217
53;db2;app2;10000000;18480.8823;2000.0000;0.2206;320.0000;16160.2217
53;db2;app2;10000000;18480.8823;2000.0000;0.2206;320.0000;16160.2217
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.7298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.7298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.7298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.7298
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.7298
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.7298
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.7298
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.7298
86;app2;web2;100000000;8299.9998;4000.0000;0.0000;0.0000;4299.9998
86;app2;web2;100000000;8299.9998;4000.0000;0.0000;0.0000;4299.9998
58;db2;db0;10000000;23041.0107;5000.0000;0.3369;280.0000;17759.9438
58;db2;db0;10000000;23041.0107;5000.0000;0.3369;280.0000;17759.9438
46;web4;db1;150000000;28001.0706;4000.0000;0.3570;4800.0000;19200.0936
46;web4;db1;150000000;28001.0706;4000.0000;0.3570;4800.0000;19200.0936
46;web4;db1;150000000;28001.0706;4000.0000;0.3570;4800.0000;19200.0936
