# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
7;web2;app2;400000000;16499.9999;10000.0000;0.0000;0.0000;6499.9999
7;web2;app2;400000000;16499.9999;10000.0000;0.0000;0.0000;6499.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
10;app2;db0;20000000;19021.0710;4000.0000;0.3570;640.0000;14379.9440
10;app2;db0;20000000;19021.0710;4000.0000;0.3570;640.0000;14379.9440
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
10;app2;db0;20000000;23661.4280;4000.0000;0.3570;640.0000;19020.3010
18;app4;app4;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.7299
18;app4;app4;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.7299
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
53;db2;app2;10000000;16160.6619;2000.0000;0.2206;320.0000;13840.0013
57;app4;app4;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.7300
57;app4;app4;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.7300
53;db2;app2;10000000;18480.8825;2000.0000;0.2206;320.0000;16160.2219
53;db2;app2;10000000;18480.8825;2000.0000;0.2206;320.0000;16160.2219
53;db2;app2;10000000;18480.8825;2000.0000;0.2206;320.0000;16160.2219
53;db2;app2;10000000;18480.8825;2000.0000;0.2206;320.0000;16160.2219
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.7299
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.7299
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.7299
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.7299
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15399.7300
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15399.7300
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15399.7300
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15399.7300
86;app2;web2;100000000;8300.0000;4000.0000;0.0000;0.0000;4300.0000
86;app2;web2;100000000;8300.0000;4000.0000;0.0000;0.0000;4300.0000
58;db2;db0;10000000;23041.0106;5000.0000;0.3369;280.0000;17759.9437
58;db2;db0;10000000;23041.0106;5000.0000;0.3369;280.0000;17759.9437
