# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;1.56;6.25;6.00;0.3335
10.00;10;1.56;6.25;5.00;0.3335
10.00;9;1.17;4.69;5.00;0.3335
10.00;8;6.25;12.50;10.00;0.3338
10.00;7;1.56;6.25;5.00;0.3335
10.00;6;1.95;4.69;4.00;0.3335
10.00;5;6.25;12.50;10.00;0.3338
10.00;4;0.78;3.13;4.00;0.3334
10.00;3;1.17;4.69;4.50;0.3335
10.00;2;1.56;6.25;4.00;0.3335
10.00;1;3.13;6.25;5.00;0.3336
10.00;0;1.95;4.69;4.50;0.3335
10.00;11;1.56;6.25;368.80;0.0748
10.00;10;1.56;6.25;253.68;0.0732
10.00;9;1.17;4.69;77.52;0.0707
10.00;8;6.25;12.50;253.12;0.0734
10.00;7;1.56;6.25;262.24;0.0733
10.00;6;1.95;4.69;140.12;0.0716
10.00;5;6.25;12.50;124.64;0.0717
10.00;4;0.78;3.13;41.52;0.0701
10.00;3;1.17;4.69;135.72;0.0715
10.00;2;1.56;6.25;202.72;0.0725
10.00;1;3.13;6.25;72.48;0.0707
10.00;0;1.95;4.69;61.96;0.0705
20.00;11;1.56;6.25;6.00;0.3335
20.00;10;1.56;6.25;5.00;0.3335
20.00;9;1.17;4.69;5.00;0.3335
20.00;8;6.25;12.50;10.00;0.3338
20.00;7;1.56;6.25;5.00;0.3335
20.00;6;1.95;4.69;4.00;0.3335
20.00;5;6.25;12.50;10.00;0.3338
20.00;4;0.78;3.13;4.00;0.3334
20.00;3;1.17;4.69;4.50;0.3335
20.00;2;1.56;6.25;4.00;0.3335
20.00;1;3.13;6.25;5.00;0.3336
20.00;0;1.95;4.69;4.50;0.3335
20.00;11;1.56;6.25;0.00;0.0696
20.00;10;1.56;6.25;0.00;0.0696
20.00;9;1.17;4.69;0.00;0.0696
20.00;8;6.25;12.50;0.00;0.0699
20.00;7;1.56;6.25;0.00;0.0696
20.00;6;1.95;4.69;0.00;0.0696
20.00;5;6.25;12.50;0.00;0.0699
20.00;4;0.78;3.13;0.00;0.0695
20.00;3;1.17;4.69;0.00;0.0696
20.00;2;1.56;6.25;0.00;0.0696
20.00;1;3.13;6.25;0.00;0.0697
20.00;0;1.95;4.69;0.00;0.0696
30.00;11;1.56;6.25;6.00;0.3335
30.00;10;1.56;6.25;5.00;0.3335
30.00;9;1.17;4.69;5.00;0.3335
30.00;8;6.25;12.50;10.00;0.3338
30.00;7;1.56;6.25;5.00;0.3335
30.00;6;1.95;4.69;4.00;0.3335
30.00;5;6.25;12.50;10.00;0.3338
30.00;4;0.78;3.13;4.00;0.3334
30.00;3;1.17;4.69;4.50;0.3335
30.00;2;1.56;6.25;4.00;0.3335
30.00;1;3.13;6.25;5.00;0.3336
