# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
32;web3;app3;300000000;12679.9999;4000.0000;0.0000;0.0000;8679.9999
32;web3;app3;300000000;12679.9999;4000.0000;0.0000;0.0000;8679.9999
460;app3;web3;150000000;12609.9999;4000.0000;0.0000;0.0000;8609.9999
460;app3;web3;150000000;12609.9999;4000.0000;0.0000;0.0000;8609.9999
86;app2;web2;100000000;9709.9996;4000.0000;0.0000;0.0000;5709.9996
86;app2;web2;100000000;9709.9996;4000.0000;0.0000;0.0000;5709.9996
351;web2;app2;20000000;13320.0000;4000.0000;0.0000;0.0000;9320.0000
351;web2;app2;20000000;13320.0000;4000.0000;0.0000;0.0000;9320.0000
248;app1;web1;400000000;12279.9999;4000.0000;0.0000;0.0000;8279.9999
248;app1;web1;400000000;12279.9999;4000.0000;0.0000;0.0000;8279.9999
333;db1;app2;20000000;9500.1997;2000.0000;0.1000;160.0000;7340.0996
333;db1;app2;20000000;9500.1997;2000.0000;0.1000;160.0000;7340.0996
333;db1;app2;20000000;11660.2997;2000.0000;0.1000;160.0000;9500.1997
333;db1;app2;20000000;11660.2997;2000.0000;0.1000;160.0000;9500.1997
333;db1;app2;20000000;11660.2997;2000.0000;0.1000;160.0000;9500.1997
333;db1;app2;20000000;11660.2997;2000.0000;0.1000;160.0000;9500.1997
451;app4;app4;400000000;16659.9999;4000.0000;0.0000;0.0000;12659.9999
451;app4;app4;400000000;16659.9999;4000.0000;0.0000;0.0000;12659.9999
57;app4;app4;300000000;16019.9999;4000.0000;0.0000;0.0000;12019.9999
57;app4;app4;300000000;16019.9999;4000.0000;0.0000;0.0000;12019.9999
433;app4;app4;40000000;15579.9998;4000.0000;0.0000;0.0000;11579.9998
433;app4;app4;40000000;15579.9998;4000.0000;0.0000;0.0000;11579.9998
112;app4;app4;150000000;13549.9996;4000.0000;0.0000;0.0000;9549.9996
112;app4;app4;150000000;13549.9996;4000.0000;0.0000;0.0000;9549.9996
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
53;db2;app2;10000000;14540.6616;2000.0000;0.2206;800.0000;11740.4409
160;db1;web3;20000000;15511.2817;2000.0000;0.4273;1120.0000;12390.8544
160;db1;web3;20000000;15511.2817;2000.0000;0.4273;1120.0000;12390.8544
427;web3;app3;20000000;18489.9999;10000.0000;0.0000;0.0000;8489.9999
427;web3;app3;20000000;18489.9999;10000.0000;0.0000;0.0000;8489.9999
262;app3;web3;150000000;18309.9999;10000.0000;0.0000;0.0000;8309.9999
262;app3;web3;150000000;18309.9999;10000.0000;0.0000;0.0000;8309.9999
266;app2;web2;200000000;16049.9997;10000.0000;0.0000;0.0000;6049.9997
266;app2;web2;200000000;16049.9997;10000.0000;0.0000;0.0000;6049.9997
7;web2;app2;400000000;19060.0000;10000.0000;0.0000;0.0000;9060.0000
7;web2;app2;400000000;19060.0000;10000.0000;0.0000;0.0000;9060.0000
148;app0;db1;100000000;19220.0000;10000.0000;0.0000;0.0000;9220.0000
148;app0;db1;100000000;19220.0000;10000.0000;0.0000;0.0000;9220.0000
360;app0;db1;100000000;18209.9999;10000.0000;0.0000;0.0000;8209.9999
360;app0;db1;100000000;18209.9999;10000.0000;0.0000;0.0000;8209.9999
13;web1;app1;200000000;17849.9998;10000.0000;0.0000;0.0000;7849.9998
13;web1;app1;200000000;17849.9998;10000.0000;0.0000;0.0000;7849.9998
1;web1;app1;10000000;14799.9995;10000.0000;0.0000;0.0000;4799.9995
1;web1;app1;10000000;14799.9995;10000.0000;0.0000;0.0000;4799.9995
53;db2;app2;10000000;17340.8822;2000.0000;0.2206;800.0000;14540.6616
53;db2;app2;10000000;17340.8822;2000.0000;0.2206;800.0000;14540.6616
53;db2;app2;10000000;17340.8822;2000.0000;0.2206;800.0000;14540.6616
53;db2;app2;10000000;17340.8822;2000.0000;0.2206;800.0000;14540.6616
451;app4;app4;400000000;20659.9999;4000.0000;0.0000;0.0000;16659.9999
451;app4;app4;400000000;20659.9999;4000.0000;0.0000;0.0000;16659.9999
451;app4;app4;400000000;20659.9999;4000.0000;0.0000;0.0000;16659.9999
451;app4;app4;400000000;20659.9999;4000.0000;0.0000;0.0000;16659.9999
57;app4;app4;300000000;20019.9999;4000.0000;0.0000;0.0000;16019.9999
57;app4;app4;300000000;20019.9999;4000.0000;0.0000;0.0000;16019.9999
