# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;24000.3570;0.0000;9500.0000;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;5600.4274;3789.5726;9390.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9380.0000;9380.0000;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;8099.8999;9300.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9270.0000;9270.0000;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;8400.4274;839.5726;9240.0000;true
10;h_0;h_6;h_0->edge0->agg0->core1->agg2->edge3->h_6;10.0000;0.00;0.00;160000.4304;0.0000;9130.0000;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;48000.3570;0.0000;9110.0000;true
10;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;0.00;0.00;8400.4274;689.5726;9090.0000;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1600.1000;7469.8999;9070.0000;true
10;h_1;h_6;h_1->edge0->agg0->core1->agg2->edge3->h_6;10.0000;0.00;0.00;8000.4304;1039.5695;9040.0000;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;64000.3570;0.0000;9020.0000;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;1600.3570;7409.6430;9010.0000;true
10;h_0;h_6;h_0->edge0->agg0->core1->agg2->edge3->h_6;10.0000;0.00;0.00;160000.4304;0.0000;8959.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;32000.3570;0.0000;8919.9999;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;560.4273;8329.5726;8889.9999;true
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;3200.3570;5599.6429;8799.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8659.9999;8659.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8619.9999;8619.9999;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;22400.4275;0.0000;8579.9999;true
