# units: time(s); hostId; energy(Wh)
10;11;0.0698
10;10;0.0698
10;9;0.0696
10;8;0.0700
10;7;0.0697
10;6;0.0697
10;5;0.0700
10;4;0.0696
10;3;0.0697
10;2;0.0696
10;1;0.0697
10;0;0.0697
20;11;0.0700
20;10;0.0699
20;9;0.0697
20;8;0.0702
20;7;0.0698
20;6;0.0697
20;5;0.0700
20;4;0.0695
20;3;0.0697
20;2;0.0698
20;1;0.0697
20;0;0.0696
30;11;0.0699
30;10;0.0698
30;9;0.0696
30;8;0.0701
30;7;0.0699
30;6;0.0697
30;5;0.0700
30;4;0.0696
30;3;0.0697
30;2;0.0697
30;1;0.0697
30;0;0.0696
40;11;0.0703
40;10;0.0698
40;9;0.0696
40;8;0.0701
40;7;0.0698
40;6;0.0697
40;5;0.0700
40;4;0.0696
40;3;0.0697
40;2;0.0698
40;1;0.0697
40;0;0.0697
50;11;0.0700
50;10;0.0699
50;9;0.0696
50;8;0.0701
50;7;0.0698
50;6;0.0698
50;5;0.0700
50;4;0.0696
50;3;0.0697
50;2;0.0700
50;1;0.0697
50;0;0.0697
60;11;0.0697
60;10;0.0698
60;9;0.0696
60;8;0.0700
60;7;0.0699
60;6;0.0696
60;5;0.0702
60;4;0.0695
60;3;0.0697
60;2;0.0697
60;1;0.0697
60;0;0.0696
70;11;0.0697
70;10;0.0698
70;9;0.0696
70;8;0.0701
70;7;0.0701
70;6;0.0697
70;5;0.0701
70;4;0.0695
70;3;0.0696
70;2;0.0697
70;1;0.0698
70;0;0.0697
80;11;0.0702
80;10;0.0699
80;9;0.0697
80;8;0.0700
80;7;0.0697
80;6;0.0698
80;5;0.0699
80;4;0.0695
80;3;0.0696
80;2;0.0697
80;1;0.0699
80;0;0.0696
90;11;0.0699
90;10;0.0697
90;9;0.0697
90;8;0.0701
90;7;0.0698
90;6;0.0698
90;5;0.0701
90;4;0.0696
90;3;0.0696
90;2;0.0697
90;1;0.0697
90;0;0.0696
100;11;0.0698
100;10;0.0697
100;9;0.0697
100;8;0.0700
100;7;0.0697
100;6;0.0697
100;5;0.0700
100;4;0.0695
100;3;0.0696
100;2;0.0699
100;1;0.0697
100;0;0.0696
110;11;0.0699
110;10;0.0697
110;9;0.0696
110;8;0.0701
110;7;0.0698
110;6;0.0697
110;5;0.0699
110;4;0.0696
110;3;0.0697
110;2;0.0697
110;1;0.0697
110;0;0.0697
120;11;0.0698
120;10;0.0698
120;9;0.0696
120;8;0.0702
120;7;0.0699
120;6;0.0697
120;5;0.0699
120;4;0.0695
120;3;0.0697
120;2;0.0698
120;1;0.0697
120;0;0.0697
130;11;0.0698
130;10;0.0698
130;9;0.0696
130;8;0.0701
130;7;0.0699
130;6;0.0698
130;5;0.0700
130;4;0.0695
130;3;0.0697
130;2;0.0697
130;1;0.0697
130;0;0.0697
140;11;0.0698
140;10;0.0697
140;9;0.0696
140;8;0.0700
140;7;0.0697
140;6;0.0697
140;5;0.0700
140;4;0.0695
140;3;0.0697
140;2;0.0698
140;1;0.0697
140;0;0.0696
150;11;0.0698
150;10;0.0698
150;9;0.0697
150;8;0.0700
150;7;0.0697
150;6;0.0697
150;5;0.0700
150;4;0.0696
150;3;0.0697
150;2;0.0699
150;1;0.0697
150;0;0.0697
160;11;0.0698
160;10;0.0700
160;9;0.0696
160;8;0.0702
160;7;0.0698
160;6;0.0698
160;5;0.0700
160;4;0.0696
160;3;0.0697
160;2;0.0697
160;1;0.0698
160;0;0.0697
170;11;0.0698
170;10;0.0698
170;9;0.0696
170;8;0.0700
170;7;0.0699
170;6;0.0697
170;5;0.0700
170;4;0.0696
170;3;0.0697
170;2;0.0698
170;1;0.0697
170;0;0.0696
180;11;0.0700
180;10;0.0699
180;9;0.0697
180;8;0.0703
180;7;0.0698
180;6;0.0697
180;5;0.0701
180;4;0.0697
180;3;0.0697
180;2;0.0697
180;1;0.0697
180;0;0.0697
190;11;0.0698
