# units: time(s); hostId; vmIds
0,00;h_11;1
0,00;h_10;2
0,00;h_9;3
0,00;h_8;1
0,00;h_7;2
0,00;h_6;2
0,00;h_5;1
0,00;h_4;1
0,00;h_3;3
0,00;h_2;1
0,00;h_1;1
0,00;h_0;2
10;11;9
10;10;8|3
10;9;15|19|4
10;8;10
10;7;2|7
10;6;11|5
10;5;12
10;4;16
10;3;6|1|18
10;2;0
10;1;13
10;0;14|17
20;11;9
20;10;8|3
20;9;15|19|4
20;8;10
20;7;2|7
20;6;11|5
20;5;12
20;4;16
20;3;6|1|18
20;2;0
20;1;13
20;0;14|17
30;11;9
30;10;8|3
30;9;15|19|4
30;8;10
30;7;2|7
30;6;11|5
30;5;12
30;4;16
30;3;6|1|18
30;2;0
30;1;13
30;0;14|17
40;11;9
40;10;8|3
40;9;15|19|4
40;8;10
40;7;2|7
40;6;11|5
40;5;12
40;4;16
40;3;6|1|18
40;2;0
40;1;13
40;0;14|17
50;11;9
50;10;8|3
50;9;15|19|4
50;8;10
50;7;2|7
50;6;11|5
50;5;12
50;4;16
50;3;6|1|18
50;2;0
50;1;13
50;0;14|17
60;11;9
60;10;8|3
60;9;15|19|4
60;8;10
60;7;2|7
60;6;11|5
60;5;12
60;4;16
60;3;6|1|18
60;2;0
60;1;13
60;0;14|17
70;11;9
70;10;8|3
70;9;15|19|4
70;8;10
70;7;2|7
70;6;11|5
70;5;12
70;4;16
70;3;6|1|18
70;2;0
70;1;13
70;0;14|17
80;11;9
80;10;8|3
80;9;15|19|4
80;8;10
80;7;2|7
80;6;11|5
80;5;12
80;4;16
80;3;6|1|18
80;2;0
80;1;13
80;0;14|17
90;11;9
90;10;8|3
90;9;15|19|4
90;8;10
90;7;2|7
90;6;11|5
90;5;12
90;4;16
90;3;6|1|18
90;2;0
90;1;13
90;0;14|17
100;11;9
100;10;8|3
100;9;15|19|4
100;8;10
100;7;2|7
100;6;11|5
100;5;12
100;4;16
100;3;6|1|18
100;2;0
100;1;13
100;0;14|17
110;11;9
110;10;8|3
110;9;15|19|4
110;8;10
110;7;2|7
110;6;11|5
110;5;12
110;4;16
110;3;6|1|18
110;2;0
110;1;13
110;0;14|17
120;11;9
120;10;8|3
120;9;15|19|4
120;8;10
120;7;2|7
120;6;11|5
120;5;12
120;4;16
120;3;6|1|18
120;2;0
120;1;13
120;0;14|17
130;11;9
130;10;8|3
130;9;15|19|4
130;8;10
130;7;2|7
130;6;11|5
130;5;12
130;4;16
130;3;6|1|18
130;2;0
130;1;13
130;0;14|17
140;11;9
140;10;8|3
