# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
7;web2;app2;400000000;16499.9998;10000.0000;0.0000;0.0000;6499.9998
7;web2;app2;400000000;16499.9998;10000.0000;0.0000;0.0000;6499.9998
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
18;app4;app4;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.9998
18;app4;app4;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.9998
10;app2;db0;20000000;26701.0708;4000.0000;0.3570;3200.0000;19500.7138
10;app2;db0;20000000;26701.0708;4000.0000;0.3570;3200.0000;19500.7138
57;app4;app4;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.9998
57;app4;app4;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.9998
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
53;db2;app2;10000000;17600.6617;2000.0000;0.2206;800.0000;14800.4410
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
10;app2;db0;20000000;33901.4278;4000.0000;0.3570;3200.0000;26701.0708
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
53;db2;app2;10000000;20400.8823;2000.0000;0.2206;800.0000;17600.6617
53;db2;app2;10000000;20400.8823;2000.0000;0.2206;800.0000;17600.6617
53;db2;app2;10000000;20400.8823;2000.0000;0.2206;800.0000;17600.6617
53;db2;app2;10000000;20400.8823;2000.0000;0.2206;800.0000;17600.6617
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.9998
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.9998
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.9998
57;app4;app4;300000000;19399.9998;4000.0000;0.0000;0.0000;15399.9998
86;app2;web2;100000000;8299.9998;4000.0000;0.0000;0.0000;4299.9998
86;app2;web2;100000000;8299.9998;4000.0000;0.0000;0.0000;4299.9998
58;db2;db0;10000000;27001.0107;5000.0000;0.3369;1600.0000;20400.6738
58;db2;db0;10000000;27001.0107;5000.0000;0.3369;1600.0000;20400.6738
61;web2;app2;10000000;25599.9998;20000.0000;0.0000;0.0000;5599.9998
61;web2;app2;10000000;25599.9998;20000.0000;0.0000;0.0000;5599.9998
91;app3;app4;150000000;18000.3001;4000.0000;0.1000;1200.0000;12800.2001
