# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;0.00;0.00;64000.3570;0.0000;9500.0000;true
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.00;0.00;560.4273;7139.5723;7699.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4599.9996;4599.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2099.9998;2099.9998;true
10;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;0.00;0.00;2240.4274;0.0000;1699.9996;true
10;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;50.0000;0.00;0.00;3200.3570;2299.6426;5499.9996;true
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.00;0.00;11200.4274;0.0000;7199.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5999.9996;5999.9996;true
10;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;50.0000;0.00;0.00;3200.3570;1899.6428;5099.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3599.9996;3599.9996;true
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.00;0.00;2240.4274;659.5723;2899.9996;true
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.00;0.00;16800.4274;0.0000;2499.9998;true
10;h_8;h_10;h_8->edge4->agg3->edge5->h_10;50.0000;0.00;0.00;24000.2709;0.0000;399.9998;true
10;h_3;h_9;h_3->edge1->agg0->core1->agg3->edge4->h_9;50.0000;0.00;0.00;24000.4090;0.0000;8299.9996;true
10;h_0;h_7;h_0->edge0->agg0->core1->agg2->edge3->h_7;10.0000;0.00;0.00;80000.4304;0.0000;8599.9998;true
10;h_7;h_7;h_7->(LOCAL)->h_7;10000.0000;0.00;0.00;0.0000;6499.9998;6499.9998;true
10;h_0;h_3;h_0->edge0->agg0->edge1->h_3;10.0000;0.00;0.00;240000.2307;0.0000;6999.9996;true
10;h_3;h_6;h_3->edge1->agg0->core1->agg2->edge3->h_6;250.0000;0.00;0.00;4800.4606;0.0000;3399.9998;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8999.9996;8999.9996;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4200.0000;4200.0000;true
10;h_10;h_3;h_10->edge5->agg3->core1->agg0->edge1->h_3;142.8571;0.00;0.00;2240.4794;0.0000;799.9998;true
10;h_11;h_2;h_11->edge5->agg3->core1->agg0->edge1->h_2;142.8571;0.00;0.00;560.4793;3839.5203;4399.9996;true
10;h_11;h_2;h_11->edge5->agg3->core1->agg0->edge1->h_2;142.8571;0.00;0.00;560.4793;639.5203;1199.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;396.00;39.60;160.1000;9139.8999;9300.0000;true
20;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;800.00;418.19;48000.3570;0.0000;5799.9996;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1799.9998;1799.9998;true
20;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;50.0000;800.00;418.19;24000.3570;0.0000;1599.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;396.00;39.60;3200.1000;0.0000;1000.0000;true
20;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;700.00;178.32;2240.4274;0.0000;600.0000;true
20;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;852.00;247.20;8400.4274;1099.5724;9499.9998;true
20;h_11;h_10;h_11->edge5->h_10;1000.0000;324.00;32.40;2400.1000;6299.8997;8699.9998;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8400.0000;8400.0000;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6899.9998;6899.9998;true
20;h_8;h_10;h_8->edge4->agg3->edge5->h_10;50.0000;660.00;624.40;32000.2709;0.0000;8200.0000;true
20;h_8;h_10;h_8->edge4->agg3->edge5->h_10;50.0000;660.00;624.40;32000.2709;0.0000;7800.0000;true
20;h_3;h_9;h_3->edge1->agg0->core1->agg3->edge4->h_9;50.0000;406.67;139.33;3200.4090;4199.5906;7399.9996;true
20;h_6;h_7;h_6->edge3->h_7;1000.0000;544.00;54.40;1200.1000;1899.8996;3099.9996;true
20;h_3;h_7;h_3->edge1->agg0->core1->agg2->edge3->h_7;250.0000;536.00;138.13;3200.4606;6699.5394;9900.0000;true
20;h_3;h_7;h_3->edge1->agg0->core1->agg2->edge3->h_7;250.0000;536.00;138.13;3200.4606;2199.5392;5399.9998;true
20;h_3;h_7;h_3->edge1->agg0->core1->agg2->edge3->h_7;250.0000;536.00;138.13;1280.4606;719.5394;2000.0000;true
20;h_5;h_7;h_5->edge2->agg2->edge3->h_7;100.0000;252.00;88.80;8000.2206;0.0000;300.0000;true
20;h_2;h_3;h_2->edge1->h_3;1000.0000;588.00;58.80;80.1000;8919.8997;8999.9998;true
20;h_3;h_6;h_3->edge1->agg0->core1->agg2->edge3->h_6;250.0000;624.00;146.93;9600.4606;0.0000;6199.9998;true
20;h_9;h_3;h_9->edge4->agg3->core1->agg0->edge1->h_3;50.0000;964.00;462.65;24000.4090;0.0000;4500.0000;true
20;h_2;h_3;h_2->edge1->h_3;1000.0000;588.00;58.80;80.1000;2719.8999;2800.0000;true
20;h_10;h_3;h_10->edge5->agg3->core1->agg0->edge1->h_3;142.8571;864.00;222.79;560.4793;5939.5203;6499.9996;true
20;h_10;h_3;h_10->edge5->agg3->core1->agg0->edge1->h_3;142.8571;864.00;222.79;2240.4794;2659.5202;4899.9996;true
20;h_7;h_3;h_7->edge3->agg2->core1->agg0->edge1->h_3;250.0000;902.67;241.00;6400.4606;0.0000;3399.9998;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;2300.0000;2300.0000;true
20;h_11;h_2;h_11->edge5->agg3->core1->agg0->edge1->h_2;142.8571;609.33;197.32;560.4793;3339.5203;3899.9996;true
20;h_10;h_2;h_10->edge5->agg3->core1->agg0->edge1->h_2;142.8571;670.67;203.45;22400.4795;0.0000;1199.9998;true
30;h_10;h_11;h_10->edge5->h_11;1000.0000;1092.00;109.20;800.1000;7999.8997;8799.9998;true
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7399.9998;7399.9998;true
30;h_0;h_6;h_0->edge0->agg0->core1->agg2->edge3->h_6;10.0000;648.00;166.00;16000.4304;0.0000;6600.0000;true
30;h_0;h_6;h_0->edge0->agg0->core1->agg2->edge3->h_6;10.0000;648.00;166.00;160000.4304;0.0000;5099.9998;true
30;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;604.00;186.59;8400.4274;0.0000;1699.9996;true
30;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;50.0000;514.67;348.45;16000.3570;0.0000;8399.9998;true
30;h_5;h_8;h_5->edge2->agg2->core1->agg3->edge4->h_8;50.0000;401.33;327.12;24000.3369;0.0000;7899.9996;true
30;h_5;h_8;h_5->edge2->agg2->core1->agg3->edge4->h_8;50.0000;401.33;327.12;1600.3369;5599.6631;7200.0000;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
30;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;50.0000;514.67;348.45;64000.3570;0.0000;4199.9996;true
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3099.9998;3099.9998;true
30;h_4;h_10;h_4->edge2->agg2->core1->agg3->edge5->h_10;100.0000;429.33;159.12;16000.4072;0.0000;500.0000;true
30;h_6;h_7;h_6->edge3->h_7;1000.0000;572.00;57.20;2400.1000;2199.8997;4599.9998;true
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0000;0.00;0.00;0.0000;3699.9998;3699.9998;true
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0000;0.00;0.00;0.0000;2200.0000;2200.0000;true
30;h_11;h_7;h_11->edge5->agg3->core1->agg2->edge3->h_7;142.8571;1136.00;346.43;8400.4274;0.0000;1399.9998;true
30;h_3;h_7;h_3->edge1->agg0->core1->agg2->edge3->h_7;250.0000;889.33;222.93;9600.4606;199.5392;9799.9998;true
30;h_5;h_7;h_5->edge2->agg2->edge3->h_7;100.0000;574.00;191.80;800.2206;8399.7791;9199.9998;true
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0000;0.00;0.00;0.0000;5599.9998;5599.9998;true
30;h_9;h_3;h_9->edge4->agg3->core1->agg0->edge1->h_3;50.0000;1268.00;733.89;3200.4090;6199.5906;9399.9996;true
