# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
7;web2;app2;400000000;16499.9999;10000.0000;0.0000;0.0000;6499.9999
7;web2;app2;400000000;16499.9999;10000.0000;0.0000;0.0000;6499.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
18;app4;app4;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.9999
18;app4;app4;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.9999
10;app2;db0;20000000;26701.0710;4000.0000;0.3570;3200.0000;19500.7140
10;app2;db0;20000000;26701.0710;4000.0000;0.3570;3200.0000;19500.7140
57;app4;app4;300000000;15400.0000;4000.0000;0.0000;0.0000;11400.0000
57;app4;app4;300000000;15400.0000;4000.0000;0.0000;0.0000;11400.0000
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
53;db2;app2;10000000;17600.6619;2000.0000;0.2206;800.0000;14800.4413
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
10;app2;db0;20000000;33901.4280;4000.0000;0.3570;3200.0000;26701.0710
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
53;db2;app2;10000000;20400.8825;2000.0000;0.2206;800.0000;17600.6619
53;db2;app2;10000000;20400.8825;2000.0000;0.2206;800.0000;17600.6619
53;db2;app2;10000000;20400.8825;2000.0000;0.2206;800.0000;17600.6619
53;db2;app2;10000000;20400.8825;2000.0000;0.2206;800.0000;17600.6619
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15400.0000
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15400.0000
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15400.0000
57;app4;app4;300000000;19400.0000;4000.0000;0.0000;0.0000;15400.0000
86;app2;web2;100000000;8300.0000;4000.0000;0.0000;0.0000;4300.0000
86;app2;web2;100000000;8300.0000;4000.0000;0.0000;0.0000;4300.0000
58;db2;db0;10000000;27001.0106;5000.0000;0.3369;1600.0000;20400.6737
58;db2;db0;10000000;27001.0106;5000.0000;0.3369;1600.0000;20400.6737
