# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9480.0000;9480.0000;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;3200.2307;6169.7693;9370.0000;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;320.3465;9019.6535;9340.0000;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;9230.0000;9230.0000;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;1280.3465;7899.6535;9180.0000;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;12800.2307;0.0000;8859.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8719.9999;8719.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8529.9999;8529.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8329.9999;8329.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8249.9999;8249.9999;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;320.3465;7839.6534;8159.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8069.9999;8069.9999;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;7879.9998;7879.9998;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;3200.3465;4569.6533;7769.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7579.9998;7579.9998;true
