# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;5499.9996;5499.9996;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;6400.2307;799.7691;7199.9998;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;1280.2307;419.7689;1699.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;4599.9996;4599.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2099.9998;2099.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8999.9996;8999.9996;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;2800.3789;5799.6209;8599.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6499.9998;6499.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;4200.0000;4200.0000;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;3399.9998;3399.9998;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2899.9996;2899.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2499.9998;2499.9998;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;4800.3465;0.0000;399.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8299.9996;8299.9996;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;640.3465;4459.6533;5099.9998;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;280.3789;4119.6208;4399.9996;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;280.3789;919.6208;1199.9996;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;799.9998;799.9998;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6999.9996;6999.9996;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;11200.3789;0.0000;9500.0000;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;280.3789;7419.6208;7699.9996;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;11200.3789;0.0000;5999.9996;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;1120.3789;2479.6208;3599.9996;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8400.0000;8400.0000;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6899.9998;6899.9998;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;2300.0000;2300.0000;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9900.0000;9900.0000;true
20;h_3;h_9;h_3->edge1->agg1->core1->agg3->edge4->h_9;285.7143;492.00;90.60;4200.3054;5299.6943;9499.9998;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9300.0000;9300.0000;true
20;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;596.00;123.03;8400.3789;299.6209;8699.9998;true
20;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;698.67;155.95;6400.3465;1799.6535;8200.0000;true
20;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;698.67;155.95;6400.3465;1399.6535;7800.0000;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6199.9998;6199.9998;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;5399.9998;5399.9998;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;2000.0000;2000.0000;true
20;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;596.00;123.03;2800.3789;0.0000;1799.9998;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;1000.0000;1000.0000;true
