# units: time(s); hostId; vmIds
0,00;h_11;0
0,00;h_10;0
0,00;h_9;7
0,00;h_8;0
0,00;h_7;0
0,00;h_6;4
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;5
10;11;
10;10;
10;9;8|1|15|19|6|2|3
10;8;
10;7;
10;6;7|10|12|4
10;5;
10;4;
10;3;14|5|13|16
10;2;
10;1;
10;0;9|11|0|18|17
20;11;
20;10;
20;9;8|1|15|19|6|2|3
20;8;
20;7;
20;6;7|10|12|4
20;5;
20;4;
20;3;14|5|13|16
20;2;
20;1;
20;0;9|11|0|18|17
30;11;
30;10;
30;9;8|1|15|19|6|2|3
30;8;
30;7;
30;6;7|10|12|4
30;5;
30;4;
30;3;14|5|13|16
30;2;
30;1;
30;0;9|11|0|18|17
40;11;
40;10;
40;9;8|1|15|19|6|2|3
40;8;
40;7;
40;6;7|10|12|4
40;5;
40;4;
40;3;14|5|13|16
40;2;
40;1;
40;0;9|11|0|18|17
50;11;
50;10;
50;9;8|1|15|19|6|2|3
50;8;
50;7;
50;6;7|10|12|4
50;5;
50;4;
50;3;14|5|13|16
50;2;
50;1;
50;0;9|11|0|18|17
60;11;
60;10;
60;9;8|1|15|19|6|2|3
60;8;
60;7;
60;6;7|10|12|4
60;5;
60;4;
60;3;14|5|13|16
60;2;
60;1;
60;0;9|11|0|18|17
70;11;
70;10;
70;9;8|1|15|19|6|2|3
70;8;
70;7;
70;6;7|10|12|4
70;5;
70;4;
70;3;14|5|13|16
70;2;
70;1;
70;0;9|11|0|18|17
80;11;
80;10;
80;9;8|1|15|19|6|2|3
80;8;
80;7;
80;6;7|10|12|4
80;5;
80;4;
80;3;14|5|13|16
80;2;
80;1;
80;0;9|11|0|18|17
90;11;
90;10;
90;9;8|1|15|19|6|2|3
90;8;
90;7;
90;6;7|10|12|4
90;5;
90;4;
90;3;14|5|13|16
90;2;
90;1;
90;0;9|11|0|18|17
100;11;
100;10;
100;9;8|1|15|19|6|2|3
100;8;
100;7;
100;6;7|10|12|4
100;5;
100;4;
100;3;14|5|13|16
100;2;
100;1;
100;0;9|11|0|18|17
110;11;
110;10;
110;9;8|1|15|19|6|2|3
110;8;
110;7;
110;6;7|10|12|4
110;5;
110;4;
110;3;14|5|13|16
110;2;
110;1;
110;0;9|11|0|18|17
120;11;
120;10;
120;9;8|1|15|19|6|2|3
120;8;
120;7;
120;6;7|10|12|4
120;5;
120;4;
120;3;14|5|13|16
120;2;
120;1;
120;0;9|11|0|18|17
130;11;
130;10;
130;9;8|1|15|19|6|2|3
130;8;
130;7;
130;6;7|10|12|4
130;5;
130;4;
130;3;14|5|13|16
130;2;
130;1;
130;0;9|11|0|18|17
140;11;
140;10;
140;9;8|1|15|19|6|2|3
140;8;
140;7;
140;6;7|10|12|4
140;5;
140;4;
140;3;14|5|13|16
140;2;
140;1;
140;0;9|11|0|18|17
150;11;
150;10;
150;9;8|1|15|19|6|2|3
150;8;
150;7;
150;6;7|10|12|4
150;5;
150;4;
150;3;14|5|13|16
150;2;
150;1;
150;0;9|11|0|18|17
160;11;
160;10;
160;9;8|1|15|19|6|2|3
160;8;
160;7;
160;6;7|10|12|4
160;5;
160;4;
160;3;14|5|13|16
160;2;
160;1;
160;0;9|11|0|18|17
170;11;
170;10;
170;9;8|1|15|19|6|2|3
170;8;
170;7;
170;6;7|10|12|4
170;5;
170;4;
170;3;14|5|13|16
170;2;
170;1;
170;0;9|11|0|18|17
180;11;
180;10;
180;9;8|1|15|19|6|2|3
180;8;
180;7;
180;6;7|10|12|4
180;5;
180;4;
180;3;14|5|13|16
180;2;
180;1;
180;0;9|11|0|18|17
190;11;
190;10;
190;9;8|1|15|19|6|2|3
190;8;
190;7;
190;6;7|10|12|4
190;5;
190;4;
190;3;14|5|13|16
190;2;
190;1;
190;0;9|11|0|18|17
200;11;
200;10;
200;9;8|1|15|19|6|2|3
200;8;
200;7;
200;6;7|10|12|4
200;5;
200;4;
200;3;14|5|13|16
200;2;
200;1;
200;0;9|11|0|18|17
210;11;
210;10;
210;9;8|1|15|19|6|2|3
210;8;
210;7;
210;6;7|10|12|4
210;5;
210;4;
210;3;14|5|13|16
210;2;
210;1;
210;0;9|11|0|18|17
220;11;
220;10;
220;9;8|1|15|19|6|2|3
220;8;
220;7;
220;6;7|10|12|4
220;5;
220;4;
220;3;14|5|13|16
220;2;
220;1;
220;0;9|11|0|18|17
230;11;
230;10;
230;9;8|1|15|19|6|2|3
230;8;
230;7;
230;6;7|10|12|4
230;5;
230;4;
230;3;14|5|13|16
230;2;
230;1;
230;0;9|11|0|18|17
240;11;
240;10;
240;9;8|1|15|19|6|2|3
240;8;
240;7;
240;6;7|10|12|4
240;5;
240;4;
240;3;14|5|13|16
240;2;
240;1;
240;0;9|11|0|18|17
250;11;
250;10;
250;9;8|1|15|19|6|2|3
250;8;
250;7;
250;6;7|10|12|4
250;5;
250;4;
250;3;14|5|13|16
250;2;
250;1;
250;0;9|11|0|18|17
260;11;
260;10;
260;9;8|1|15|19|6|2|3
260;8;
260;7;
260;6;7|10|12|4
260;5;
260;4;
260;3;14|5|13|16
260;2;
260;1;
260;0;9|11|0|18|17
270;11;
270;10;
270;9;8|1|15|19|6|2|3
270;8;
270;7;
270;6;7|10|12|4
270;5;
270;4;
270;3;14|5|13|16
270;2;
270;1;
270;0;9|11|0|18|17
280;11;
280;10;
280;9;8|1|15|19|6|2|3
280;8;
280;7;
280;6;7|10|12|4
280;5;
280;4;
280;3;14|5|13|16
280;2;
280;1;
280;0;9|11|0|18|17
290;11;
290;10;
290;9;8|1|15|19|6|2|3
290;8;
290;7;
290;6;7|10|12|4
290;5;
290;4;
290;3;14|5|13|16
290;2;
290;1;
290;0;9|11|0|18|17
300;11;
300;10;
300;9;8|1|15|19|6|2|3
300;8;
300;7;
300;6;7|10|12|4
300;5;
300;4;
300;3;14|5|13|16
300;2;
300;1;
300;0;9|11|0|18|17
310;11;
310;10;
310;9;8|1|15|19|6|2|3
310;8;
310;7;
310;6;7|10|12|4
310;5;
310;4;
310;3;14|5|13|16
310;2;
310;1;
310;0;9|11|0|18|17
320;11;
320;10;
320;9;8|1|15|19|6|2|3
320;8;
320;7;
320;6;7|10|12|4
320;5;
320;4;
320;3;14|5|13|16
320;2;
320;1;
320;0;9|11|0|18|17
330;11;
330;10;
330;9;8|1|15|19|6|2|3
330;8;
330;7;
330;6;7|10|12|4
330;5;
330;4;
330;3;14|5|13|16
330;2;
330;1;
330;0;9|11|0|18|17
340;11;
340;10;
340;9;8|1|15|19|6|2|3
340;8;
340;7;
340;6;7|10|12|4
340;5;
340;4;
340;3;14|5|13|16
340;2;
340;1;
340;0;9|11|0|18|17
350;11;
350;10;
350;9;8|1|15|19|6|2|3
350;8;
350;7;
350;6;7|10|12|4
350;5;
350;4;
350;3;14|5|13|16
350;2;
350;1;
350;0;9|11|0|18|17
360;11;
360;10;
360;9;8|1|15|19|6|2|3
360;8;
360;7;
360;6;7|10|12|4
360;5;
360;4;
360;3;14|5|13|16
360;2;
360;1;
360;0;9|11|0|18|17
370;11;
370;10;
370;9;8|1|15|19|6|2|3
370;8;
370;7;
370;6;7|10|12|4
370;5;
370;4;
370;3;14|5|13|16
370;2;
370;1;
370;0;9|11|0|18|17
380;11;
380;10;
380;9;8|1|15|19|6|2|3
380;8;
380;7;
380;6;7|10|12|4
380;5;
380;4;
380;3;14|5|13|16
380;2;
380;1;
380;0;9|11|0|18|17
390;11;
390;10;
390;9;8|1|15|19|6|2|3
390;8;
390;7;
390;6;7|10|12|4
390;5;
390;4;
390;3;14|5|13|16
390;2;
390;1;
390;0;9|11|0|18|17
400;11;
400;10;
400;9;8|1|15|19|6|2|3
400;8;
400;7;
400;6;7|10|12|4
400;5;
400;4;
400;3;14|5|13|16
400;2;
400;1;
400;0;9|11|0|18|17
410;11;
410;10;
410;9;8|1|15|19|6|2|3
410;8;
410;7;
410;6;7|10|12|4
410;5;
410;4;
410;3;14|5|13|16
410;2;
410;1;
