# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;5499.9998;5499.9998;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;6400.2307;799.7689;7199.9995;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;250.0000;0.00;0.00;1280.2307;419.7691;1699.9998;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;4599.9997;4599.9997;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2099.9999;2099.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8999.9999;8999.9999;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;2800.3789;5799.6211;8599.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6499.9999;6499.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;4199.9999;4199.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;3399.9997;3399.9997;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2899.9997;2899.9997;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2499.9999;2499.9999;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;4800.3465;0.0000;399.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8299.9999;8299.9999;true
10;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;0.00;0.00;640.3465;4459.6535;5100.0000;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;280.3789;4119.6209;4399.9997;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;0.00;0.00;280.3789;919.6209;1199.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;799.9996;799.9996;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6999.9997;6999.9997;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;11200.3789;0.0000;9499.9997;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;280.3789;7419.6207;7699.9996;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;11200.3789;0.0000;5999.9998;true
10;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;285.7143;0.00;0.00;1120.3789;2479.6207;3599.9996;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8399.9997;8399.9997;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6900.0000;6900.0000;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;2299.9997;2299.9997;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9899.9997;9899.9997;true
20;h_3;h_9;h_3->edge1->agg1->core1->agg3->edge4->h_9;285.7143;492.00;90.60;4200.3054;5299.6942;9499.9996;true
20;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9299.9998;9299.9998;true
20;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;285.7143;596.00;123.03;8400.3789;299.6208;8699.9997;true
20;h_6;h_0;h_6->edge3->agg2->core0->agg0->edge0->h_0;250.0000;698.67;155.95;6400.3465;1799.6531;8199.9997;true
