# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;0.00;0.00;0.00;0.0000
10.00;10;0.00;0.00;0.00;0.0000
10.00;9;2.73;10.94;10.00;0.3336
10.00;8;0.00;0.00;0.00;0.0000
10.00;7;0.00;0.00;0.00;0.0000
10.00;6;3.91;9.38;7.50;0.3337
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;3.91;9.38;8.50;0.3337
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;3.13;9.38;9.00;0.3336
10.00;9;2.73;10.94;218.72;0.0728
10.00;6;3.91;9.38;162.24;0.0720
10.00;3;3.91;9.38;164.56;0.0721
10.00;0;3.13;9.38;275.76;0.0736
20.00;11;0.00;0.00;0.00;0.0000
20.00;10;0.00;0.00;0.00;0.0000
20.00;9;2.73;10.94;10.00;0.3336
20.00;8;0.00;0.00;0.00;0.0000
20.00;7;0.00;0.00;0.00;0.0000
20.00;6;3.91;9.38;7.50;0.3337
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;3.91;9.38;8.50;0.3337
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;3.13;9.38;9.00;0.3336
20.00;9;2.73;10.94;0.00;0.0698
20.00;6;3.91;9.38;0.00;0.0698
20.00;3;3.91;9.38;0.00;0.0698
20.00;0;3.13;9.38;0.00;0.0698
30.00;11;0.00;0.00;0.00;0.0000
30.00;10;0.00;0.00;0.00;0.0000
30.00;9;2.73;10.94;10.00;0.3336
30.00;8;0.00;0.00;0.00;0.0000
30.00;7;0.00;0.00;0.00;0.0000
30.00;6;3.91;9.38;7.50;0.3337
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;3.91;9.38;8.50;0.3337
30.00;2;0.00;0.00;0.00;0.0000
