# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
127;db2;app2;200000000;10559.9999;2000.0000;0.0000;0.0000;8559.9999
127;db2;app2;200000000;10559.9999;2000.0000;0.0000;0.0000;8559.9999
53;db2;app2;10000000;6999.9996;2000.0000;0.0000;0.0000;4999.9996
53;db2;app2;10000000;6999.9996;2000.0000;0.0000;0.0000;4999.9996
271;db4;app0;300000000;10429.9999;2000.0000;0.0000;0.0000;8429.9999
271;db4;app0;300000000;10429.9999;2000.0000;0.0000;0.0000;8429.9999
32;web3;app3;300000000;12689.9999;4000.0000;0.0000;0.0000;8689.9999
32;web3;app3;300000000;12689.9999;4000.0000;0.0000;0.0000;8689.9999
220;web2;app3;10000000;11299.9998;4000.0000;0.0000;0.0000;7299.9998
220;web2;app3;10000000;11299.9998;4000.0000;0.0000;0.0000;7299.9998
329;web2;app3;150000000;11139.9998;4000.0000;0.0000;0.0000;7139.9998
329;web2;app3;150000000;11139.9998;4000.0000;0.0000;0.0000;7139.9998
248;app1;web1;400000000;10899.9997;4000.0000;0.0000;0.0000;6899.9997
248;app1;web1;400000000;10899.9997;4000.0000;0.0000;0.0000;6899.9997
488;app1;web2;20000000;10769.9997;4000.0000;0.0000;0.0000;6769.9997
488;app1;web2;20000000;10769.9997;4000.0000;0.0000;0.0000;6769.9997
460;app3;web3;150000000;12829.9999;4000.0000;0.0000;0.0000;8829.9999
460;app3;web3;150000000;12829.9999;4000.0000;0.0000;0.0000;8829.9999
441;app2;db2;150000000;12309.9999;4000.0000;0.0000;0.0000;8309.9999
441;app2;db2;150000000;12309.9999;4000.0000;0.0000;0.0000;8309.9999
430;app4;web0;20000000;11029.9998;4000.0000;0.0000;0.0000;7029.9998
430;app4;web0;20000000;11029.9998;4000.0000;0.0000;0.0000;7029.9998
136;app4;web0;100000000;8949.9995;4000.0000;0.0000;0.0000;4949.9995
136;app4;web0;100000000;8949.9995;4000.0000;0.0000;0.0000;4949.9995
205;db2;app2;10000000;14480.0000;5000.0000;0.0000;0.0000;9480.0000
205;db2;app2;10000000;14480.0000;5000.0000;0.0000;0.0000;9480.0000
214;db2;app2;300000000;13419.9999;5000.0000;0.0000;0.0000;8419.9999
214;db2;app2;300000000;13419.9999;5000.0000;0.0000;0.0000;8419.9999
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
160;db1;app4;20000000;15200.0000;2000.0000;0.0000;0.0000;13200.0000
55;web2;app3;100000000;17539.9998;10000.0000;0.0000;0.0000;7539.9998
55;web2;app3;100000000;17539.9998;10000.0000;0.0000;0.0000;7539.9998
