# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;9390.0000;9390.0000;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;8000.4304;1269.5696;9270.0000;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;8000.4304;1259.5696;9260.0000;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;9190.0000;9190.0000;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8889.9999;8889.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8689.9999;8689.9999;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;320000.2307;0.0000;8669.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8639.9999;8639.9999;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;160000.4304;0.0000;8449.9999;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;80000.2307;0.0000;8409.9999;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;32000.4304;0.0000;8279.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8119.9999;8119.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8099.9999;8099.9999;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7929.9998;7929.9998;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;8000.2307;0.0000;7909.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7539.9998;7539.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7489.9998;7489.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7469.9998;7469.9998;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;320000.4304;0.0000;7459.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7299.9998;7299.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;7139.9998;7139.9998;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;240000.2307;0.0000;7099.9998;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;7089.9998;7089.9998;true
