timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;0.3336
10;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_7;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_6;7|10|12|4;3.9063;9.3750;7.5000;LWFF;0.3337
10;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_3;14|5|13|16;3.9063;9.3750;8.5000;LWFF;0.3337
10;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_0;9|11|0|18|17;3.1250;9.3750;9.0000;LWFF;0.3336
20;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;0.6673
20;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_7;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_6;7|10|12|4;3.9063;9.3750;7.5000;LWFF;0.6673
20;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_3;14|5|13|16;3.9063;9.3750;8.5000;LWFF;0.6673
20;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_0;9|11|0|18|17;3.1250;9.3750;9.0000;LWFF;0.6672
30;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;1.0009
30;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_7;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_6;7|10|12|4;3.9063;9.3750;7.5000;LWFF;1.0010
30;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_3;14|5|13|16;3.9063;9.3750;8.5000;LWFF;1.0010
30;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_0;9|11|0|18|17;3.1250;9.3750;9.0000;LWFF;1.0009
40;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;1.3345
40;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_7;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_6;7|10|12|4;3.9063;9.3750;7.5000;LWFF;1.3346
40;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_3;14|5|13|16;3.9063;9.3750;8.5000;LWFF;1.3346
40;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_0;9|11|0|18|17;3.1250;9.3750;9.0000;LWFF;1.3345
50;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;1.6681
50;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_7;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_6;7|10|12|4;3.9063;9.3750;7.5000;LWFF;1.6683
50;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_3;14|5|13|16;3.9063;9.3750;8.5000;LWFF;1.6683
50;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_0;9|11|0|18|17;3.1250;9.3750;9.0000;LWFF;1.6681
60;h_11;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_10;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_9;8|1|15|19|6|2|3;2.7344;10.9375;10.0000;LWFF;2.0018
60;h_8;;0.0000;0.0000;0.0000;LWFF;0.0000
