# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.9998
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.9998
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.9998
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10400.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16300.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12700.0000
127;db2;app2;200000000;9799.9996;2000.0000;0.0000;0.0000;7799.9996
127;db2;app2;200000000;9799.9996;2000.0000;0.0000;0.0000;7799.9996
136;app4;web0;100000000;8399.9996;4000.0000;0.0000;0.0000;4399.9996
136;app4;web0;100000000;8399.9996;4000.0000;0.0000;0.0000;4399.9996
58;db2;app4;10000000;46201.2913;5000.0000;0.4304;8000.0000;33200.8608
58;db2;app4;10000000;46201.2913;5000.0000;0.4304;8000.0000;33200.8608
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
3;app1;web3;150000000;68299.9996;20000.0000;0.0000;0.0000;48299.9996
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
85;web1;app1;300000000;34799.9998;10000.0000;0.0000;0.0000;24799.9998
10;app2;app4;20000000;65101.2911;4000.0000;0.4304;16000.0000;45100.8606
10;app2;app4;20000000;65101.2911;4000.0000;0.4304;16000.0000;45100.8606
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
128;app1;app1;300000000;19199.9996;4000.0000;0.0000;0.0000;15199.9996
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
160;db1;app4;20000000;10899.9999;2000.0000;0.0000;0.0000;8899.9999
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
31;app1;web3;20000000;67399.9996;20000.0000;0.0000;0.0000;47399.9996
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
162;svc3;app4;40000000;15999.9999;4000.0000;0.0000;0.0000;11999.9999
58;db2;app4;10000000;59201.7217;5000.0000;0.4304;8000.0000;46201.2913
