# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;5499.9996;5499.9996;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;160000.2307;0.0000;7199.9998;true
10;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0000;0.00;0.00;32000.2307;0.0000;1699.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;4599.9996;4599.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2099.9998;2099.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8999.9996;8999.9996;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0000;0.00;0.00;80000.3789;0.0000;8599.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;6499.9998;6499.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;4200.0000;4200.0000;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;3399.9998;3399.9998;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2899.9996;2899.9996;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;2499.9998;2499.9998;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;120000.4304;0.0000;399.9998;true
10;h_9;h_9;h_9->(LOCAL)->h_9;10000.0000;0.00;0.00;0.0000;8299.9996;8299.9996;true
10;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0000;0.00;0.00;16000.4304;0.0000;5099.9998;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0000;0.00;0.00;8000.3789;0.0000;4399.9996;true
10;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0000;0.00;0.00;8000.3789;0.0000;1199.9996;true
