# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;0.00;0.00;0.00;0.0000
10.00;10;0.00;0.00;0.00;0.0000
10.00;9;2.73;10.94;10.00;0.3336
10.00;8;0.00;0.00;0.00;0.0000
10.00;7;0.00;0.00;0.00;0.0000
10.00;6;3.91;9.38;7.50;0.3337
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;3.91;9.38;8.50;0.3337
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;3.13;9.38;9.00;0.3336
10.00;9;2.73;10.94;13.40;0.0700
10.00;6;3.91;9.38;3.96;0.0698
10.00;3;3.91;9.38;2.76;0.0698
10.00;0;3.13;9.38;10.92;0.0699
20.00;11;0.00;0.00;0.00;0.0000
20.00;10;0.00;0.00;0.00;0.0000
20.00;9;2.73;10.94;10.00;0.3336
20.00;8;0.00;0.00;0.00;0.0000
20.00;7;0.00;0.00;0.00;0.0000
20.00;6;3.91;9.38;7.50;0.3337
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;3.91;9.38;8.50;0.3337
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;3.13;9.38;9.00;0.3336
20.00;9;2.73;10.94;11.36;0.0699
20.00;6;3.91;9.38;15.64;0.0700
20.00;3;3.91;9.38;5.80;0.0699
20.00;0;3.13;9.38;10.16;0.0699
30.00;11;0.00;0.00;0.00;0.0000
30.00;10;0.00;0.00;0.00;0.0000
30.00;9;2.73;10.94;10.00;0.3336
30.00;8;0.00;0.00;0.00;0.0000
30.00;7;0.00;0.00;0.00;0.0000
30.00;6;3.91;9.38;7.50;0.3337
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;3.91;9.38;8.50;0.3337
30.00;2;0.00;0.00;0.00;0.0000
