# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;34.38;87.50;76.00;0.3362
10.00;10;10.16;34.38;32.00;0.3343
10.00;9;0.00;0.00;0.00;0.0000
10.00;8;0.00;0.00;0.00;0.0000
10.00;7;0.00;0.00;0.00;0.0000
10.00;6;0.00;0.00;0.00;0.0000
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;0.00;0.00;0.00;0.0000
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;0.00;0.00;0.00;0.0000
10.00;11;34.38;87.50;901.76;0.0851
10.00;10;10.16;34.38;450.88;0.0768
20.00;11;34.38;87.50;76.00;0.3362
20.00;10;10.16;34.38;32.00;0.3343
20.00;9;0.00;0.00;0.00;0.0000
20.00;8;0.00;0.00;0.00;0.0000
20.00;7;0.00;0.00;0.00;0.0000
20.00;6;0.00;0.00;0.00;0.0000
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;0.00;0.00;0.00;0.0000
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;0.00;0.00;0.00;0.0000
20.00;11;34.38;87.50;0.00;0.0725
20.00;10;10.16;34.38;0.00;0.0705
30.00;11;34.38;87.50;76.00;0.3362
30.00;10;10.16;34.38;32.00;0.3343
30.00;9;0.00;0.00;0.00;0.0000
30.00;8;0.00;0.00;0.00;0.0000
30.00;7;0.00;0.00;0.00;0.0000
30.00;6;0.00;0.00;0.00;0.0000
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;0.00;0.00;0.00;0.0000
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;0.00;0.00;0.00;0.0000
30.00;11;34.38;87.50;0.00;0.0725
30.00;10;10.16;34.38;0.00;0.0705
40.00;11;34.38;87.50;76.00;0.3362
40.00;10;10.16;34.38;32.00;0.3343
40.00;9;0.00;0.00;0.00;0.0000
40.00;8;0.00;0.00;0.00;0.0000
40.00;7;0.00;0.00;0.00;0.0000
40.00;6;0.00;0.00;0.00;0.0000
40.00;5;0.00;0.00;0.00;0.0000
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;0.00;0.00;0.00;0.0000
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;0.00;0.00;0.00;0.0000
40.00;11;34.38;87.50;0.00;0.0725
40.00;10;10.16;34.38;0.00;0.0705
50.00;11;34.38;87.50;76.00;0.3362
50.00;10;10.16;34.38;32.00;0.3343
50.00;9;0.00;0.00;0.00;0.0000
50.00;8;0.00;0.00;0.00;0.0000
50.00;7;0.00;0.00;0.00;0.0000
50.00;6;0.00;0.00;0.00;0.0000
50.00;5;0.00;0.00;0.00;0.0000
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;0.00;0.00;0.00;0.0000
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;0.00;0.00;0.00;0.0000
50.00;11;34.38;87.50;0.00;0.0725
50.00;10;10.16;34.38;0.00;0.0705
60.00;11;34.38;87.50;76.00;0.3362
60.00;10;10.16;34.38;32.00;0.3343
60.00;9;0.00;0.00;0.00;0.0000
60.00;8;0.00;0.00;0.00;0.0000
60.00;7;0.00;0.00;0.00;0.0000
60.00;6;0.00;0.00;0.00;0.0000
60.00;5;0.00;0.00;0.00;0.0000
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;0.00;0.00;0.00;0.0000
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;0.00;0.00;0.00;0.0000
60.00;11;34.38;87.50;0.00;0.0725
60.00;10;10.16;34.38;0.00;0.0705
70.00;11;34.38;87.50;76.00;0.3362
70.00;10;10.16;34.38;32.00;0.3343
70.00;9;0.00;0.00;0.00;0.0000
70.00;8;0.00;0.00;0.00;0.0000
70.00;7;0.00;0.00;0.00;0.0000
70.00;6;0.00;0.00;0.00;0.0000
70.00;5;0.00;0.00;0.00;0.0000
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;0.00;0.00;0.00;0.0000
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;0.00;0.00;0.00;0.0000
70.00;11;34.38;87.50;0.00;0.0725
70.00;10;10.16;34.38;0.00;0.0705
80.00;11;34.38;87.50;76.00;0.3362
80.00;10;10.16;34.38;32.00;0.3343
80.00;9;0.00;0.00;0.00;0.0000
80.00;8;0.00;0.00;0.00;0.0000
80.00;7;0.00;0.00;0.00;0.0000
80.00;6;0.00;0.00;0.00;0.0000
80.00;5;0.00;0.00;0.00;0.0000
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;0.00;0.00;0.00;0.0000
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;0.00;0.00;0.00;0.0000
80.00;11;34.38;87.50;0.00;0.0725
80.00;10;10.16;34.38;0.00;0.0705
90.00;11;34.38;87.50;76.00;0.3362
90.00;10;10.16;34.38;32.00;0.3343
90.00;9;0.00;0.00;0.00;0.0000
90.00;8;0.00;0.00;0.00;0.0000
90.00;7;0.00;0.00;0.00;0.0000
90.00;6;0.00;0.00;0.00;0.0000
90.00;5;0.00;0.00;0.00;0.0000
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;0.00;0.00;0.00;0.0000
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;0.00;0.00;0.00;0.0000
90.00;11;34.38;87.50;0.00;0.0725
90.00;10;10.16;34.38;0.00;0.0705
100.00;11;34.38;87.50;76.00;0.3362
100.00;10;10.16;34.38;32.00;0.3343
100.00;9;0.00;0.00;0.00;0.0000
100.00;8;0.00;0.00;0.00;0.0000
100.00;7;0.00;0.00;0.00;0.0000
100.00;6;0.00;0.00;0.00;0.0000
100.00;5;0.00;0.00;0.00;0.0000
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;0.00;0.00;0.00;0.0000
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;0.00;0.00;0.00;0.0000
100.00;11;34.38;87.50;0.00;0.0725
100.00;10;10.16;34.38;0.00;0.0705
110.00;11;34.38;87.50;76.00;0.3362
110.00;10;10.16;34.38;32.00;0.3343
110.00;9;0.00;0.00;0.00;0.0000
110.00;8;0.00;0.00;0.00;0.0000
110.00;7;0.00;0.00;0.00;0.0000
110.00;6;0.00;0.00;0.00;0.0000
