# units: time(s); hostId; energy(Wh)
10;11;0.0851
10;10;0.0768
10;9;0.0000
10;8;0.0000
10;7;0.0000
10;6;0.0000
10;5;0.0000
10;4;0.0000
10;3;0.0000
10;2;0.0000
10;1;0.0000
10;0;0.0000
20;11;0.0725
20;10;0.0705
20;9;0.0000
20;8;0.0000
20;7;0.0000
20;6;0.0000
20;5;0.0000
20;4;0.0000
20;3;0.0000
20;2;0.0000
20;1;0.0000
20;0;0.0000
30;11;0.0725
30;10;0.0705
30;9;0.0000
30;8;0.0000
30;7;0.0000
30;6;0.0000
30;5;0.0000
30;4;0.0000
30;3;0.0000
30;2;0.0000
30;1;0.0000
30;0;0.0000
40;11;0.0725
40;10;0.0705
40;9;0.0000
40;8;0.0000
40;7;0.0000
40;6;0.0000
40;5;0.0000
40;4;0.0000
40;3;0.0000
40;2;0.0000
40;1;0.0000
40;0;0.0000
50;11;0.0725
50;10;0.0705
50;9;0.0000
50;8;0.0000
50;7;0.0000
50;6;0.0000
50;5;0.0000
50;4;0.0000
50;3;0.0000
50;2;0.0000
50;1;0.0000
50;0;0.0000
60;11;0.0725
60;10;0.0705
60;9;0.0000
60;8;0.0000
60;7;0.0000
60;6;0.0000
60;5;0.0000
60;4;0.0000
60;3;0.0000
60;2;0.0000
60;1;0.0000
60;0;0.0000
70;11;0.0725
70;10;0.0705
70;9;0.0000
70;8;0.0000
70;7;0.0000
70;6;0.0000
70;5;0.0000
70;4;0.0000
70;3;0.0000
70;2;0.0000
70;1;0.0000
70;0;0.0000
80;11;0.0725
80;10;0.0705
80;9;0.0000
80;8;0.0000
80;7;0.0000
80;6;0.0000
80;5;0.0000
80;4;0.0000
80;3;0.0000
80;2;0.0000
80;1;0.0000
80;0;0.0000
90;11;0.0725
90;10;0.0705
90;9;0.0000
90;8;0.0000
90;7;0.0000
90;6;0.0000
90;5;0.0000
90;4;0.0000
90;3;0.0000
90;2;0.0000
90;1;0.0000
90;0;0.0000
100;11;0.0725
100;10;0.0705
100;9;0.0000
100;8;0.0000
100;7;0.0000
100;6;0.0000
100;5;0.0000
100;4;0.0000
100;3;0.0000
100;2;0.0000
100;1;0.0000
100;0;0.0000
110;11;0.0725
110;10;0.0705
110;9;0.0000
110;8;0.0000
110;7;0.0000
110;6;0.0000
110;5;0.0000
110;4;0.0000
110;3;0.0000
110;2;0.0000
110;1;0.0000
110;0;0.0000
120;11;0.0725
120;10;0.0705
120;9;0.0000
120;8;0.0000
120;7;0.0000
120;6;0.0000
120;5;0.0000
120;4;0.0000
120;3;0.0000
120;2;0.0000
120;1;0.0000
120;0;0.0000
130;11;0.0725
130;10;0.0705
130;9;0.0000
130;8;0.0000
130;7;0.0000
130;6;0.0000
130;5;0.0000
130;4;0.0000
130;3;0.0000
130;2;0.0000
130;1;0.0000
130;0;0.0000
140;11;0.0725
140;10;0.0705
140;9;0.0000
140;8;0.0000
140;7;0.0000
140;6;0.0000
140;5;0.0000
140;4;0.0000
140;3;0.0000
140;2;0.0000
140;1;0.0000
140;0;0.0000
150;11;0.0725
150;10;0.0705
150;9;0.0000
150;8;0.0000
150;7;0.0000
150;6;0.0000
150;5;0.0000
150;4;0.0000
150;3;0.0000
150;2;0.0000
150;1;0.0000
150;0;0.0000
160;11;0.0725
160;10;0.0705
160;9;0.0000
160;8;0.0000
160;7;0.0000
160;6;0.0000
160;5;0.0000
160;4;0.0000
160;3;0.0000
160;2;0.0000
160;1;0.0000
160;0;0.0000
170;11;0.0725
170;10;0.0705
170;9;0.0000
170;8;0.0000
170;7;0.0000
170;6;0.0000
170;5;0.0000
170;4;0.0000
170;3;0.0000
170;2;0.0000
170;1;0.0000
170;0;0.0000
180;11;0.0725
180;10;0.0705
180;9;0.0000
180;8;0.0000
180;7;0.0000
180;6;0.0000
180;5;0.0000
180;4;0.0000
180;3;0.0000
180;2;0.0000
180;1;0.0000
180;0;0.0000
190;11;0.0725
190;10;0.0705
190;9;0.0000
190;8;0.0000
190;7;0.0000
190;6;0.0000
190;5;0.0000
190;4;0.0000
190;3;0.0000
190;2;0.0000
190;1;0.0000
190;0;0.0000
200;11;0.0725
200;10;0.0705
200;9;0.0000
200;8;0.0000
200;7;0.0000
200;6;0.0000
200;5;0.0000
200;4;0.0000
200;3;0.0000
200;2;0.0000
200;1;0.0000
200;0;0.0000
210;11;0.0725
210;10;0.0705
210;9;0.0000
210;8;0.0000
210;7;0.0000
210;6;0.0000
210;5;0.0000
210;4;0.0000
210;3;0.0000
210;2;0.0000
210;1;0.0000
210;0;0.0000
220;11;0.0725
220;10;0.0705
220;9;0.0000
220;8;0.0000
220;7;0.0000
220;6;0.0000
220;5;0.0000
220;4;0.0000
220;3;0.0000
220;2;0.0000
220;1;0.0000
220;0;0.0000
230;11;0.0725
230;10;0.0705
230;9;0.0000
230;8;0.0000
230;7;0.0000
230;6;0.0000
230;5;0.0000
230;4;0.0000
230;3;0.0000
230;2;0.0000
230;1;0.0000
230;0;0.0000
240;11;0.0725
240;10;0.0705
240;9;0.0000
240;8;0.0000
240;7;0.0000
240;6;0.0000
240;5;0.0000
240;4;0.0000
240;3;0.0000
240;2;0.0000
240;1;0.0000
240;0;0.0000
250;11;0.0725
250;10;0.0705
250;9;0.0000
250;8;0.0000
250;7;0.0000
250;6;0.0000
250;5;0.0000
250;4;0.0000
250;3;0.0000
250;2;0.0000
250;1;0.0000
250;0;0.0000
260;11;0.0725
260;10;0.0705
260;9;0.0000
260;8;0.0000
260;7;0.0000
260;6;0.0000
260;5;0.0000
260;4;0.0000
260;3;0.0000
260;2;0.0000
260;1;0.0000
260;0;0.0000
270;11;0.0725
270;10;0.0705
270;9;0.0000
270;8;0.0000
270;7;0.0000
270;6;0.0000
270;5;0.0000
270;4;0.0000
270;3;0.0000
270;2;0.0000
270;1;0.0000
270;0;0.0000
280;11;0.0725
280;10;0.0705
280;9;0.0000
280;8;0.0000
280;7;0.0000
280;6;0.0000
280;5;0.0000
280;4;0.0000
280;3;0.0000
280;2;0.0000
280;1;0.0000
280;0;0.0000
290;11;0.0725
290;10;0.0705
290;9;0.0000
290;8;0.0000
290;7;0.0000
290;6;0.0000
290;5;0.0000
290;4;0.0000
290;3;0.0000
290;2;0.0000
290;1;0.0000
290;0;0.0000
300;11;0.0725
300;10;0.0705
300;9;0.0000
300;8;0.0000
300;7;0.0000
300;6;0.0000
300;5;0.0000
300;4;0.0000
300;3;0.0000
300;2;0.0000
300;1;0.0000
300;0;0.0000
310;11;0.0725
310;10;0.0705
310;9;0.0000
310;8;0.0000
310;7;0.0000
310;6;0.0000
310;5;0.0000
310;4;0.0000
310;3;0.0000
310;2;0.0000
310;1;0.0000
310;0;0.0000
320;11;0.0725
320;10;0.0705
320;9;0.0000
320;8;0.0000
320;7;0.0000
320;6;0.0000
320;5;0.0000
320;4;0.0000
320;3;0.0000
320;2;0.0000
320;1;0.0000
320;0;0.0000
330;11;0.0725
330;10;0.0705
330;9;0.0000
330;8;0.0000
330;7;0.0000
330;6;0.0000
330;5;0.0000
330;4;0.0000
330;3;0.0000
330;2;0.0000
330;1;0.0000
330;0;0.0000
340;11;0.0725
340;10;0.0705
340;9;0.0000
340;8;0.0000
340;7;0.0000
340;6;0.0000
340;5;0.0000
340;4;0.0000
340;3;0.0000
340;2;0.0000
340;1;0.0000
340;0;0.0000
350;11;0.0725
350;10;0.0705
350;9;0.0000
350;8;0.0000
350;7;0.0000
350;6;0.0000
350;5;0.0000
350;4;0.0000
350;3;0.0000
350;2;0.0000
350;1;0.0000
350;0;0.0000
360;11;0.0725
360;10;0.0705
360;9;0.0000
360;8;0.0000
360;7;0.0000
360;6;0.0000
360;5;0.0000
360;4;0.0000
360;3;0.0000
360;2;0.0000
360;1;0.0000
360;0;0.0000
370;11;0.0725
370;10;0.0705
370;9;0.0000
370;8;0.0000
370;7;0.0000
370;6;0.0000
370;5;0.0000
370;4;0.0000
370;3;0.0000
370;2;0.0000
370;1;0.0000
370;0;0.0000
380;11;0.0725
380;10;0.0705
380;9;0.0000
380;8;0.0000
380;7;0.0000
380;6;0.0000
380;5;0.0000
380;4;0.0000
380;3;0.0000
380;2;0.0000
380;1;0.0000
380;0;0.0000
390;11;0.0725
390;10;0.0705
390;9;0.0000
390;8;0.0000
390;7;0.0000
390;6;0.0000
390;5;0.0000
390;4;0.0000
390;3;0.0000
390;2;0.0000
390;1;0.0000
390;0;0.0000
400;11;0.0725
400;10;0.0705
400;9;0.0000
400;8;0.0000
400;7;0.0000
400;6;0.0000
400;5;0.0000
400;4;0.0000
400;3;0.0000
400;2;0.0000
400;1;0.0000
400;0;0.0000
410;11;0.0725
410;10;0.0705
410;9;0.0000
410;8;0.0000
410;7;0.0000
410;6;0.0000
410;5;0.0000
410;4;0.0000
410;3;0.0000
410;2;0.0000
410;1;0.0000
410;0;0.0000
420;11;0.0725
420;10;0.0705
420;9;0.0000
420;8;0.0000
420;7;0.0000
420;6;0.0000
420;5;0.0000
420;4;0.0000
420;3;0.0000
420;2;0.0000
420;1;0.0000
420;0;0.0000
430;11;0.0725
430;10;0.0705
430;9;0.0000
430;8;0.0000
430;7;0.0000
430;6;0.0000
430;5;0.0000
430;4;0.0000
430;3;0.0000
430;2;0.0000
430;1;0.0000
430;0;0.0000
440;11;0.0725
440;10;0.0705
440;9;0.0000
440;8;0.0000
440;7;0.0000
440;6;0.0000
440;5;0.0000
440;4;0.0000
440;3;0.0000
440;2;0.0000
440;1;0.0000
440;0;0.0000
450;11;0.0725
450;10;0.0705
450;9;0.0000
450;8;0.0000
450;7;0.0000
450;6;0.0000
450;5;0.0000
450;4;0.0000
450;3;0.0000
450;2;0.0000
450;1;0.0000
450;0;0.0000
460;11;0.0725
460;10;0.0705
460;9;0.0000
460;8;0.0000
460;7;0.0000
460;6;0.0000
460;5;0.0000
460;4;0.0000
460;3;0.0000
460;2;0.0000
460;1;0.0000
460;0;0.0000
470;11;0.0725
470;10;0.0705
470;9;0.0000
470;8;0.0000
470;7;0.0000
470;6;0.0000
470;5;0.0000
470;4;0.0000
470;3;0.0000
470;2;0.0000
470;1;0.0000
470;0;0.0000
480;11;0.0725
480;10;0.0705
480;9;0.0000
480;8;0.0000
480;7;0.0000
480;6;0.0000
480;5;0.0000
480;4;0.0000
480;3;0.0000
480;2;0.0000
480;1;0.0000
480;0;0.0000
490;11;0.0725
490;10;0.0705
490;9;0.0000
490;8;0.0000
490;7;0.0000
490;6;0.0000
490;5;0.0000
490;4;0.0000
490;3;0.0000
490;2;0.0000
490;1;0.0000
490;0;0.0000
500;11;0.0725
500;10;0.0705
500;9;0.0000
500;8;0.0000
500;7;0.0000
500;6;0.0000
500;5;0.0000
