# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
333;db1;app2;20000000;11000.0000;2000.0000;0.0000;0.0000;9000.0000
333;db1;app2;20000000;11000.0000;2000.0000;0.0000;0.0000;9000.0000
53;db2;app2;10000000;9159.9998;2000.0000;0.0000;0.0000;7159.9998
53;db2;app2;10000000;9159.9998;2000.0000;0.0000;0.0000;7159.9998
127;db2;app2;200000000;7619.9996;2000.0000;0.0000;0.0000;5619.9996
127;db2;app2;200000000;7619.9996;2000.0000;0.0000;0.0000;5619.9996
271;db4;app0;300000000;10639.9999;2000.0000;0.0000;0.0000;8639.9999
271;db4;app0;300000000;10639.9999;2000.0000;0.0000;0.0000;8639.9999
226;web3;app4;10000000;10369.9997;4000.0000;0.0000;0.0000;6369.9997
226;web3;app4;10000000;10369.9997;4000.0000;0.0000;0.0000;6369.9997
367;web3;app4;100000000;10299.9997;4000.0000;0.0000;0.0000;6299.9997
367;web3;app4;100000000;10299.9997;4000.0000;0.0000;0.0000;6299.9997
136;app4;web0;100000000;11759.9998;4000.0000;0.0000;0.0000;7759.9998
136;app4;web0;100000000;11759.9998;4000.0000;0.0000;0.0000;7759.9998
430;app4;web0;20000000;10019.9997;4000.0000;0.0000;0.0000;6019.9997
430;app4;web0;20000000;10019.9997;4000.0000;0.0000;0.0000;6019.9997
490;app2;web3;100000000;13330.0000;4000.0000;0.0000;0.0000;9330.0000
490;app2;web3;100000000;13330.0000;4000.0000;0.0000;0.0000;9330.0000
10;app2;web3;20000000;9439.9996;4000.0000;0.0000;0.0000;5439.9996
10;app2;web3;20000000;9439.9996;4000.0000;0.0000;0.0000;5439.9996
441;app2;db2;150000000;11749.9998;4000.0000;0.0000;0.0000;7749.9998
441;app2;db2;150000000;11749.9998;4000.0000;0.0000;0.0000;7749.9998
332;app2;db3;10000000;9129.9996;4000.0000;0.0000;0.0000;5129.9996
332;app2;db3;10000000;9129.9996;4000.0000;0.0000;0.0000;5129.9996
398;app2;svc2;400000000;11899.9998;4000.0000;0.0000;0.0000;7899.9998
398;app2;svc2;400000000;11899.9998;4000.0000;0.0000;0.0000;7899.9998
346;app2;svc2;300000000;11079.9998;4000.0000;0.0000;0.0000;7079.9998
346;app2;svc2;300000000;11079.9998;4000.0000;0.0000;0.0000;7079.9998
248;app1;web1;400000000;12159.9999;4000.0000;0.0000;0.0000;8159.9999
248;app1;web1;400000000;12159.9999;4000.0000;0.0000;0.0000;8159.9999
488;app1;web2;20000000;11029.9998;4000.0000;0.0000;0.0000;7029.9998
488;app1;web2;20000000;11029.9998;4000.0000;0.0000;0.0000;7029.9998
329;web2;app3;150000000;13110.0000;4000.0000;0.0000;0.0000;9110.0000
329;web2;app3;150000000;13110.0000;4000.0000;0.0000;0.0000;9110.0000
220;web2;app3;10000000;9549.9996;4000.0000;0.0000;0.0000;5549.9996
220;web2;app3;10000000;9549.9996;4000.0000;0.0000;0.0000;5549.9996
276;svc3;app3;10000000;9169.9996;4000.0000;0.0000;0.0000;5169.9996
276;svc3;app3;10000000;9169.9996;4000.0000;0.0000;0.0000;5169.9996
162;svc3;app3;40000000;8949.9995;4000.0000;0.0000;0.0000;4949.9995
162;svc3;app3;40000000;8949.9995;4000.0000;0.0000;0.0000;4949.9995
91;app3;web4;150000000;8759.9995;4000.0000;0.0000;0.0000;4759.9995
91;app3;web4;150000000;8759.9995;4000.0000;0.0000;0.0000;4759.9995
374;web4;app0;10000000;11869.9998;4000.0000;0.0000;0.0000;7869.9998
374;web4;app0;10000000;11869.9998;4000.0000;0.0000;0.0000;7869.9998
454;web4;app0;40000000;10969.9997;4000.0000;0.0000;0.0000;6969.9997
454;web4;app0;40000000;10969.9997;4000.0000;0.0000;0.0000;6969.9997
78;svc0;app0;150000000;8839.9995;4000.0000;0.0000;0.0000;4839.9995
78;svc0;app0;150000000;8839.9995;4000.0000;0.0000;0.0000;4839.9995
479;db0;db0;300000000;11889.9998;2000.0000;0.0000;0.0000;9889.8998
479;db0;db0;300000000;11889.9998;2000.0000;0.0000;0.0000;9889.8998
479;db0;db0;300000000;11889.9998;2000.0000;0.0000;0.0000;9889.8998
479;db0;db0;300000000;11889.9998;2000.0000;0.0000;0.0000;9889.8998
160;db1;db0;20000000;11799.9998;2000.0000;0.0000;0.0000;9799.8998
160;db1;db0;20000000;11799.9998;2000.0000;0.0000;0.0000;9799.8998
160;db1;db0;20000000;11799.9998;2000.0000;0.0000;0.0000;9799.8998
160;db1;db0;20000000;11799.9998;2000.0000;0.0000;0.0000;9799.8998
406;db3;app4;200000000;10989.9996;5000.0000;0.0000;0.0000;5989.9996
406;db3;app4;200000000;10989.9996;5000.0000;0.0000;0.0000;5989.9996
303;db1;app2;300000000;14400.0000;5000.0000;0.0000;0.0000;9400.0000
303;db1;app2;300000000;14400.0000;5000.0000;0.0000;0.0000;9400.0000
205;db2;app2;10000000;13819.9999;5000.0000;0.0000;0.0000;8819.9999
205;db2;app2;10000000;13819.9999;5000.0000;0.0000;0.0000;8819.9999
214;db2;app2;300000000;12119.9998;5000.0000;0.0000;0.0000;7119.9998
214;db2;app2;300000000;12119.9998;5000.0000;0.0000;0.0000;7119.9998
257;db4;db1;200000000;15760.2000;2000.0000;0.1000;1600.0000;12159.9000
257;db4;db1;200000000;15760.2000;2000.0000;0.1000;1600.0000;12159.9000
313;db4;db1;200000000;15740.2000;2000.0000;0.1000;1600.0000;12139.9000
313;db4;db1;200000000;15740.2000;2000.0000;0.1000;1600.0000;12139.9000
451;app4;db0;400000000;17360.0000;4000.0000;0.0000;0.0000;13359.9000
451;app4;db0;400000000;17360.0000;4000.0000;0.0000;0.0000;13359.9000
451;app4;db0;400000000;17360.0000;4000.0000;0.0000;0.0000;13359.9000
451;app4;db0;400000000;17360.0000;4000.0000;0.0000;0.0000;13359.9000
101;app4;db0;40000000;17310.0000;4000.0000;0.0000;0.0000;13309.9000
101;app4;db0;40000000;17310.0000;4000.0000;0.0000;0.0000;13309.9000
101;app4;db0;40000000;17310.0000;4000.0000;0.0000;0.0000;13309.9000
101;app4;db0;40000000;17310.0000;4000.0000;0.0000;0.0000;13309.9000
433;app4;db0;40000000;17250.0000;4000.0000;0.0000;0.0000;13249.9000
433;app4;db0;40000000;17250.0000;4000.0000;0.0000;0.0000;13249.9000
433;app4;db0;40000000;17250.0000;4000.0000;0.0000;0.0000;13249.9000
433;app4;db0;40000000;17250.0000;4000.0000;0.0000;0.0000;13249.9000
177;svc1;db0;20000000;17130.0000;4000.0000;0.0000;0.0000;13129.9000
177;svc1;db0;20000000;17130.0000;4000.0000;0.0000;0.0000;13129.9000
177;svc1;db0;20000000;17130.0000;4000.0000;0.0000;0.0000;13129.9000
177;svc1;db0;20000000;17130.0000;4000.0000;0.0000;0.0000;13129.9000
112;app4;db0;150000000;16729.9999;4000.0000;0.0000;0.0000;12729.8999
112;app4;db0;150000000;16729.9999;4000.0000;0.0000;0.0000;12729.8999
112;app4;db0;150000000;16729.9999;4000.0000;0.0000;0.0000;12729.8999
112;app4;db0;150000000;16729.9999;4000.0000;0.0000;0.0000;12729.8999
86;app2;db0;100000000;15349.9998;4000.0000;0.0000;0.0000;11349.8998
86;app2;db0;100000000;15349.9998;4000.0000;0.0000;0.0000;11349.8998
86;app2;db0;100000000;15349.9998;4000.0000;0.0000;0.0000;11349.8998
86;app2;db0;100000000;15349.9998;4000.0000;0.0000;0.0000;11349.8998
236;web0;db0;200000000;15049.9998;4000.0000;0.0000;0.0000;11049.8998
236;web0;db0;200000000;15049.9998;4000.0000;0.0000;0.0000;11049.8998
236;web0;db0;200000000;15049.9998;4000.0000;0.0000;0.0000;11049.8998
236;web0;db0;200000000;15049.9998;4000.0000;0.0000;0.0000;11049.8998
32;web3;db0;300000000;14929.9997;4000.0000;0.0000;0.0000;10929.8997
32;web3;db0;300000000;14929.9997;4000.0000;0.0000;0.0000;10929.8997
32;web3;db0;300000000;14929.9997;4000.0000;0.0000;0.0000;10929.8997
32;web3;db0;300000000;14929.9997;4000.0000;0.0000;0.0000;10929.8997
469;app4;db0;10000000;14439.9997;4000.0000;0.0000;0.0000;10439.8997
469;app4;db0;10000000;14439.9997;4000.0000;0.0000;0.0000;10439.8997
469;app4;db0;10000000;14439.9997;4000.0000;0.0000;0.0000;10439.8997
469;app4;db0;10000000;14439.9997;4000.0000;0.0000;0.0000;10439.8997
485;app4;db0;150000000;14399.9997;4000.0000;0.0000;0.0000;10399.8997
485;app4;db0;150000000;14399.9997;4000.0000;0.0000;0.0000;10399.8997
485;app4;db0;150000000;14399.9997;4000.0000;0.0000;0.0000;10399.8997
485;app4;db0;150000000;14399.9997;4000.0000;0.0000;0.0000;10399.8997
432;app4;db0;200000000;14269.9997;4000.0000;0.0000;0.0000;10269.8997
432;app4;db0;200000000;14269.9997;4000.0000;0.0000;0.0000;10269.8997
432;app4;db0;200000000;14269.9997;4000.0000;0.0000;0.0000;10269.8997
432;app4;db0;200000000;14269.9997;4000.0000;0.0000;0.0000;10269.8997
57;app4;db0;300000000;13219.9996;4000.0000;0.0000;0.0000;9219.8996
57;app4;db0;300000000;13219.9996;4000.0000;0.0000;0.0000;9219.8996
57;app4;db0;300000000;13219.9996;4000.0000;0.0000;0.0000;9219.8996
57;app4;db0;300000000;13219.9996;4000.0000;0.0000;0.0000;9219.8996
119;web0;db0;400000000;12859.9995;4000.0000;0.0000;0.0000;8859.8995
119;web0;db0;400000000;12859.9995;4000.0000;0.0000;0.0000;8859.8995
119;web0;db0;400000000;12859.9995;4000.0000;0.0000;0.0000;8859.8995
119;web0;db0;400000000;12859.9995;4000.0000;0.0000;0.0000;8859.8995
397;app0;db1;10000000;17050.2000;4000.0000;0.1000;80.0000;12969.9000
397;app0;db1;10000000;17050.2000;4000.0000;0.1000;80.0000;12969.9000
353;app1;db1;20000000;15180.1998;4000.0000;0.1000;160.0000;11019.8998
353;app1;db1;20000000;15180.1998;4000.0000;0.1000;160.0000;11019.8998
400;app1;db1;20000000;16590.2000;4000.0000;0.1000;160.0000;12429.8999
400;app1;db1;20000000;16590.2000;4000.0000;0.1000;160.0000;12429.8999
351;web2;db1;20000000;16400.2000;4000.0000;0.1000;160.0000;12239.8999
351;web2;db1;20000000;16400.2000;4000.0000;0.1000;160.0000;12239.8999
187;web4;db1;40000000;14040.1997;4000.0000;0.1000;320.0000;9719.8996
187;web4;db1;40000000;14040.1997;4000.0000;0.1000;320.0000;9719.8996
139;app0;db1;40000000;14390.1997;4000.0000;0.1000;320.0000;10069.8997
139;app0;db1;40000000;14390.1997;4000.0000;0.1000;320.0000;10069.8997
471;db4;db1;300000000;14950.1998;2000.0000;0.1000;2400.0000;10549.8997
471;db4;db1;300000000;14950.1998;2000.0000;0.1000;2400.0000;10549.8997
331;web4;db1;100000000;14350.1996;4000.0000;0.1000;800.0000;9549.8996
331;web4;db1;100000000;14350.1996;4000.0000;0.1000;800.0000;9549.8996
75;app1;db1;100000000;14710.1997;4000.0000;0.1000;800.0000;9909.8996
75;app1;db1;100000000;14710.1997;4000.0000;0.1000;800.0000;9909.8996
76;web3;app4;100000000;16999.9998;10000.0000;0.0000;0.0000;6999.9998
76;web3;app4;100000000;16999.9998;10000.0000;0.0000;0.0000;6999.9998
250;db3;app4;100000000;16579.9997;10000.0000;0.0000;0.0000;6579.9997
250;db3;app4;100000000;16579.9997;10000.0000;0.0000;0.0000;6579.9997
324;db3;app4;10000000;15929.9996;10000.0000;0.0000;0.0000;5929.9996
324;db3;app4;10000000;15929.9996;10000.0000;0.0000;0.0000;5929.9996
385;app2;web3;10000000;17249.9998;10000.0000;0.0000;0.0000;7249.9998
