# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9480.0000;9480.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9460.0000;9460.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9410.0000;9410.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9380.0000;9380.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9360.0000;9360.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9320.0000;9320.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9310.0000;9310.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9260.0000;9260.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9250.0000;9250.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9240.0000;9240.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9230.0000;9230.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9200.0000;9200.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9160.0000;9160.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9150.0000;9150.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9130.0000;9130.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9120.0000;9120.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9100.0000;9100.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9060.0000;9060.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9020.0000;9020.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;9010.0000;9010.0000;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;2400.1000;6579.8999;8979.9999;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;80.1000;8809.8999;8889.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8879.9999;8879.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8869.9999;8869.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8859.9999;8859.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8799.9999;8799.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8739.9999;8739.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8729.9999;8729.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8659.9999;8659.9999;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;320.1000;8329.8999;8649.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8619.9999;8619.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8569.9999;8569.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8519.9999;8519.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8419.9999;8419.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8399.9999;8399.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8389.9999;8389.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8349.9999;8349.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8329.9999;8329.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8319.9999;8319.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8299.9999;8299.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8229.9999;8229.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8209.9999;8209.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8169.9999;8169.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8149.9999;8149.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8119.9999;8119.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8099.9999;8099.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8089.9999;8089.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8069.9999;8069.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8019.9999;8019.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7889.9998;7889.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7849.9998;7849.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7819.9998;7819.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7799.9998;7799.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7789.9998;7789.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7769.9998;7769.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7719.9998;7719.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7699.9998;7699.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7679.9998;7679.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7589.9998;7589.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7579.9998;7579.9998;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;2400.1000;5169.8998;7569.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7559.9998;7559.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7549.9998;7549.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7529.9998;7529.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7519.9998;7519.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7489.9998;7489.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7469.9998;7469.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7419.9998;7419.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7349.9998;7349.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7319.9998;7319.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7299.9998;7299.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7179.9998;7179.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7139.9998;7139.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7089.9998;7089.9998;true
