# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
10;11;34.3750;87.5000;76.0000;0.3362
10;10;10.1563;34.3750;32.0000;0.3343
10;9;0.0000;0.0000;0.0000;0.0000
10;8;0.0000;0.0000;0.0000;0.0000
10;7;0.0000;0.0000;0.0000;0.0000
10;6;0.0000;0.0000;0.0000;0.0000
10;5;0.0000;0.0000;0.0000;0.0000
10;4;0.0000;0.0000;0.0000;0.0000
10;3;0.0000;0.0000;0.0000;0.0000
10;2;0.0000;0.0000;0.0000;0.0000
10;1;0.0000;0.0000;0.0000;0.0000
10;0;0.0000;0.0000;0.0000;0.0000
20;11;34.3750;87.5000;76.0000;0.6725
20;10;10.1563;34.3750;32.0000;0.6687
20;9;0.0000;0.0000;0.0000;0.0000
20;8;0.0000;0.0000;0.0000;0.0000
20;7;0.0000;0.0000;0.0000;0.0000
20;6;0.0000;0.0000;0.0000;0.0000
20;5;0.0000;0.0000;0.0000;0.0000
20;4;0.0000;0.0000;0.0000;0.0000
20;3;0.0000;0.0000;0.0000;0.0000
20;2;0.0000;0.0000;0.0000;0.0000
20;1;0.0000;0.0000;0.0000;0.0000
20;0;0.0000;0.0000;0.0000;0.0000
30;11;34.3750;87.5000;76.0000;1.0087
30;10;10.1563;34.3750;32.0000;1.0030
30;9;0.0000;0.0000;0.0000;0.0000
30;8;0.0000;0.0000;0.0000;0.0000
30;7;0.0000;0.0000;0.0000;0.0000
30;6;0.0000;0.0000;0.0000;0.0000
30;5;0.0000;0.0000;0.0000;0.0000
30;4;0.0000;0.0000;0.0000;0.0000
30;3;0.0000;0.0000;0.0000;0.0000
30;2;0.0000;0.0000;0.0000;0.0000
30;1;0.0000;0.0000;0.0000;0.0000
30;0;0.0000;0.0000;0.0000;0.0000
40;11;34.3750;87.5000;76.0000;1.3449
40;10;10.1563;34.3750;32.0000;1.3373
40;9;0.0000;0.0000;0.0000;0.0000
40;8;0.0000;0.0000;0.0000;0.0000
40;7;0.0000;0.0000;0.0000;0.0000
40;6;0.0000;0.0000;0.0000;0.0000
40;5;0.0000;0.0000;0.0000;0.0000
40;4;0.0000;0.0000;0.0000;0.0000
40;3;0.0000;0.0000;0.0000;0.0000
40;2;0.0000;0.0000;0.0000;0.0000
40;1;0.0000;0.0000;0.0000;0.0000
40;0;0.0000;0.0000;0.0000;0.0000
50;11;34.3750;87.5000;76.0000;1.6812
50;10;10.1563;34.3750;32.0000;1.6717
50;9;0.0000;0.0000;0.0000;0.0000
50;8;0.0000;0.0000;0.0000;0.0000
50;7;0.0000;0.0000;0.0000;0.0000
50;6;0.0000;0.0000;0.0000;0.0000
50;5;0.0000;0.0000;0.0000;0.0000
50;4;0.0000;0.0000;0.0000;0.0000
50;3;0.0000;0.0000;0.0000;0.0000
50;2;0.0000;0.0000;0.0000;0.0000
50;1;0.0000;0.0000;0.0000;0.0000
50;0;0.0000;0.0000;0.0000;0.0000
60;11;34.3750;87.5000;76.0000;2.0174
60;10;10.1563;34.3750;32.0000;2.0060
60;9;0.0000;0.0000;0.0000;0.0000
60;8;0.0000;0.0000;0.0000;0.0000
60;7;0.0000;0.0000;0.0000;0.0000
60;6;0.0000;0.0000;0.0000;0.0000
60;5;0.0000;0.0000;0.0000;0.0000
60;4;0.0000;0.0000;0.0000;0.0000
60;3;0.0000;0.0000;0.0000;0.0000
60;2;0.0000;0.0000;0.0000;0.0000
60;1;0.0000;0.0000;0.0000;0.0000
60;0;0.0000;0.0000;0.0000;0.0000
70;11;34.3750;87.5000;76.0000;2.3536
70;10;10.1563;34.3750;32.0000;2.3403
70;9;0.0000;0.0000;0.0000;0.0000
70;8;0.0000;0.0000;0.0000;0.0000
70;7;0.0000;0.0000;0.0000;0.0000
70;6;0.0000;0.0000;0.0000;0.0000
70;5;0.0000;0.0000;0.0000;0.0000
70;4;0.0000;0.0000;0.0000;0.0000
70;3;0.0000;0.0000;0.0000;0.0000
70;2;0.0000;0.0000;0.0000;0.0000
70;1;0.0000;0.0000;0.0000;0.0000
70;0;0.0000;0.0000;0.0000;0.0000
80;11;34.3750;87.5000;76.0000;2.6898
80;10;10.1563;34.3750;32.0000;2.6747
80;9;0.0000;0.0000;0.0000;0.0000
80;8;0.0000;0.0000;0.0000;0.0000
80;7;0.0000;0.0000;0.0000;0.0000
80;6;0.0000;0.0000;0.0000;0.0000
80;5;0.0000;0.0000;0.0000;0.0000
80;4;0.0000;0.0000;0.0000;0.0000
80;3;0.0000;0.0000;0.0000;0.0000
80;2;0.0000;0.0000;0.0000;0.0000
80;1;0.0000;0.0000;0.0000;0.0000
80;0;0.0000;0.0000;0.0000;0.0000
90;11;34.3750;87.5000;76.0000;3.0261
90;10;10.1563;34.3750;32.0000;3.0090
90;9;0.0000;0.0000;0.0000;0.0000
90;8;0.0000;0.0000;0.0000;0.0000
90;7;0.0000;0.0000;0.0000;0.0000
90;6;0.0000;0.0000;0.0000;0.0000
90;5;0.0000;0.0000;0.0000;0.0000
90;4;0.0000;0.0000;0.0000;0.0000
90;3;0.0000;0.0000;0.0000;0.0000
90;2;0.0000;0.0000;0.0000;0.0000
90;1;0.0000;0.0000;0.0000;0.0000
90;0;0.0000;0.0000;0.0000;0.0000
100;11;34.3750;87.5000;76.0000;3.3623
100;10;10.1563;34.3750;32.0000;3.3433
100;9;0.0000;0.0000;0.0000;0.0000
100;8;0.0000;0.0000;0.0000;0.0000
100;7;0.0000;0.0000;0.0000;0.0000
100;6;0.0000;0.0000;0.0000;0.0000
100;5;0.0000;0.0000;0.0000;0.0000
100;4;0.0000;0.0000;0.0000;0.0000
100;3;0.0000;0.0000;0.0000;0.0000
100;2;0.0000;0.0000;0.0000;0.0000
100;1;0.0000;0.0000;0.0000;0.0000
100;0;0.0000;0.0000;0.0000;0.0000
110;11;34.3750;87.5000;76.0000;3.6985
110;10;10.1563;34.3750;32.0000;3.6777
110;9;0.0000;0.0000;0.0000;0.0000
110;8;0.0000;0.0000;0.0000;0.0000
110;7;0.0000;0.0000;0.0000;0.0000
110;6;0.0000;0.0000;0.0000;0.0000
110;5;0.0000;0.0000;0.0000;0.0000
110;4;0.0000;0.0000;0.0000;0.0000
110;3;0.0000;0.0000;0.0000;0.0000
110;2;0.0000;0.0000;0.0000;0.0000
110;1;0.0000;0.0000;0.0000;0.0000
110;0;0.0000;0.0000;0.0000;0.0000
120;11;34.3750;87.5000;76.0000;4.0348
120;10;10.1563;34.3750;32.0000;4.0120
120;9;0.0000;0.0000;0.0000;0.0000
120;8;0.0000;0.0000;0.0000;0.0000
120;7;0.0000;0.0000;0.0000;0.0000
120;6;0.0000;0.0000;0.0000;0.0000
120;5;0.0000;0.0000;0.0000;0.0000
120;4;0.0000;0.0000;0.0000;0.0000
120;3;0.0000;0.0000;0.0000;0.0000
120;2;0.0000;0.0000;0.0000;0.0000
120;1;0.0000;0.0000;0.0000;0.0000
120;0;0.0000;0.0000;0.0000;0.0000
130;11;34.3750;87.5000;76.0000;4.3710
130;10;10.1563;34.3750;32.0000;4.3463
130;9;0.0000;0.0000;0.0000;0.0000
130;8;0.0000;0.0000;0.0000;0.0000
130;7;0.0000;0.0000;0.0000;0.0000
130;6;0.0000;0.0000;0.0000;0.0000
130;5;0.0000;0.0000;0.0000;0.0000
130;4;0.0000;0.0000;0.0000;0.0000
130;3;0.0000;0.0000;0.0000;0.0000
130;2;0.0000;0.0000;0.0000;0.0000
130;1;0.0000;0.0000;0.0000;0.0000
130;0;0.0000;0.0000;0.0000;0.0000
140;11;34.3750;87.5000;76.0000;4.7072
140;10;10.1563;34.3750;32.0000;4.6807
140;9;0.0000;0.0000;0.0000;0.0000
140;8;0.0000;0.0000;0.0000;0.0000
140;7;0.0000;0.0000;0.0000;0.0000
140;6;0.0000;0.0000;0.0000;0.0000
140;5;0.0000;0.0000;0.0000;0.0000
140;4;0.0000;0.0000;0.0000;0.0000
140;3;0.0000;0.0000;0.0000;0.0000
140;2;0.0000;0.0000;0.0000;0.0000
140;1;0.0000;0.0000;0.0000;0.0000
140;0;0.0000;0.0000;0.0000;0.0000
150;11;34.3750;87.5000;76.0000;5.0435
150;10;10.1563;34.3750;32.0000;5.0150
150;9;0.0000;0.0000;0.0000;0.0000
150;8;0.0000;0.0000;0.0000;0.0000
150;7;0.0000;0.0000;0.0000;0.0000
150;6;0.0000;0.0000;0.0000;0.0000
150;5;0.0000;0.0000;0.0000;0.0000
150;4;0.0000;0.0000;0.0000;0.0000
150;3;0.0000;0.0000;0.0000;0.0000
150;2;0.0000;0.0000;0.0000;0.0000
150;1;0.0000;0.0000;0.0000;0.0000
150;0;0.0000;0.0000;0.0000;0.0000
160;11;34.3750;87.5000;76.0000;5.3797
160;10;10.1563;34.3750;32.0000;5.3493
160;9;0.0000;0.0000;0.0000;0.0000
160;8;0.0000;0.0000;0.0000;0.0000
160;7;0.0000;0.0000;0.0000;0.0000
160;6;0.0000;0.0000;0.0000;0.0000
160;5;0.0000;0.0000;0.0000;0.0000
160;4;0.0000;0.0000;0.0000;0.0000
160;3;0.0000;0.0000;0.0000;0.0000
160;2;0.0000;0.0000;0.0000;0.0000
160;1;0.0000;0.0000;0.0000;0.0000
160;0;0.0000;0.0000;0.0000;0.0000
170;11;34.3750;87.5000;76.0000;5.7159
170;10;10.1563;34.3750;32.0000;5.6837
170;9;0.0000;0.0000;0.0000;0.0000
170;8;0.0000;0.0000;0.0000;0.0000
170;7;0.0000;0.0000;0.0000;0.0000
170;6;0.0000;0.0000;0.0000;0.0000
170;5;0.0000;0.0000;0.0000;0.0000
170;4;0.0000;0.0000;0.0000;0.0000
170;3;0.0000;0.0000;0.0000;0.0000
170;2;0.0000;0.0000;0.0000;0.0000
170;1;0.0000;0.0000;0.0000;0.0000
170;0;0.0000;0.0000;0.0000;0.0000
180;11;34.3750;87.5000;76.0000;6.0521
180;10;10.1563;34.3750;32.0000;6.0180
180;9;0.0000;0.0000;0.0000;0.0000
180;8;0.0000;0.0000;0.0000;0.0000
180;7;0.0000;0.0000;0.0000;0.0000
180;6;0.0000;0.0000;0.0000;0.0000
180;5;0.0000;0.0000;0.0000;0.0000
180;4;0.0000;0.0000;0.0000;0.0000
180;3;0.0000;0.0000;0.0000;0.0000
180;2;0.0000;0.0000;0.0000;0.0000
180;1;0.0000;0.0000;0.0000;0.0000
180;0;0.0000;0.0000;0.0000;0.0000
190;11;34.3750;87.5000;76.0000;6.3884
190;10;10.1563;34.3750;32.0000;6.3523
190;9;0.0000;0.0000;0.0000;0.0000
190;8;0.0000;0.0000;0.0000;0.0000
190;7;0.0000;0.0000;0.0000;0.0000
190;6;0.0000;0.0000;0.0000;0.0000
190;5;0.0000;0.0000;0.0000;0.0000
190;4;0.0000;0.0000;0.0000;0.0000
190;3;0.0000;0.0000;0.0000;0.0000
190;2;0.0000;0.0000;0.0000;0.0000
190;1;0.0000;0.0000;0.0000;0.0000
190;0;0.0000;0.0000;0.0000;0.0000
200;11;34.3750;87.5000;76.0000;6.7246
200;10;10.1563;34.3750;32.0000;6.6867
200;9;0.0000;0.0000;0.0000;0.0000
200;8;0.0000;0.0000;0.0000;0.0000
200;7;0.0000;0.0000;0.0000;0.0000
200;6;0.0000;0.0000;0.0000;0.0000
200;5;0.0000;0.0000;0.0000;0.0000
200;4;0.0000;0.0000;0.0000;0.0000
200;3;0.0000;0.0000;0.0000;0.0000
200;2;0.0000;0.0000;0.0000;0.0000
200;1;0.0000;0.0000;0.0000;0.0000
200;0;0.0000;0.0000;0.0000;0.0000
210;11;34.3750;87.5000;76.0000;7.0608
210;10;10.1563;34.3750;32.0000;7.0210
210;9;0.0000;0.0000;0.0000;0.0000
210;8;0.0000;0.0000;0.0000;0.0000
210;7;0.0000;0.0000;0.0000;0.0000
210;6;0.0000;0.0000;0.0000;0.0000
210;5;0.0000;0.0000;0.0000;0.0000
210;4;0.0000;0.0000;0.0000;0.0000
210;3;0.0000;0.0000;0.0000;0.0000
210;2;0.0000;0.0000;0.0000;0.0000
210;1;0.0000;0.0000;0.0000;0.0000
210;0;0.0000;0.0000;0.0000;0.0000
220;11;34.3750;87.5000;76.0000;7.3971
220;10;10.1563;34.3750;32.0000;7.3554
220;9;0.0000;0.0000;0.0000;0.0000
220;8;0.0000;0.0000;0.0000;0.0000
220;7;0.0000;0.0000;0.0000;0.0000
220;6;0.0000;0.0000;0.0000;0.0000
220;5;0.0000;0.0000;0.0000;0.0000
220;4;0.0000;0.0000;0.0000;0.0000
220;3;0.0000;0.0000;0.0000;0.0000
220;2;0.0000;0.0000;0.0000;0.0000
220;1;0.0000;0.0000;0.0000;0.0000
220;0;0.0000;0.0000;0.0000;0.0000
230;11;34.3750;87.5000;76.0000;7.7333
230;10;10.1563;34.3750;32.0000;7.6897
230;9;0.0000;0.0000;0.0000;0.0000
