# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
10;app2;web3;20000000;9099.9998;4000.0000;0.0000;0.0000;5099.9998
10;app2;web3;20000000;9099.9998;4000.0000;0.0000;0.0000;5099.9998
2;svc2;app2;100000000;18599.9998;10000.0000;0.0000;0.0000;8599.9998
2;svc2;app2;100000000;18599.9998;10000.0000;0.0000;0.0000;8599.9998
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
17;db1;db0;300000000;12499.9998;5000.0000;0.0000;0.0000;7499.8998
17;db1;db0;300000000;12499.9998;5000.0000;0.0000;0.0000;7499.8998
17;db1;db0;300000000;12499.9998;5000.0000;0.0000;0.0000;7499.8998
17;db1;db0;300000000;12499.9998;5000.0000;0.0000;0.0000;7499.8998
32;web3;db0;300000000;14899.9998;4000.0000;0.0000;0.0000;10899.8998
32;web3;db0;300000000;14899.9998;4000.0000;0.0000;0.0000;10899.8998
32;web3;db0;300000000;14899.9998;4000.0000;0.0000;0.0000;10899.8998
32;web3;db0;300000000;14899.9998;4000.0000;0.0000;0.0000;10899.8998
18;app4;db0;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.8998
18;app4;db0;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.8998
18;app4;db0;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.8998
18;app4;db0;20000000;22099.9998;10000.0000;0.0000;0.0000;12099.8998
46;web4;db1;150000000;12000.1997;4000.0000;0.1000;1200.0000;6799.8997
46;web4;db1;150000000;12000.1997;4000.0000;0.1000;1200.0000;6799.8997
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
34;app1;db1;300000000;19000.1999;4000.0000;0.1000;2400.0000;12599.8998
34;app1;db1;300000000;19000.1999;4000.0000;0.1000;2400.0000;12599.8998
46;web4;db1;150000000;17200.2998;4000.0000;0.1000;1200.0000;11999.9997
46;web4;db1;150000000;17200.2998;4000.0000;0.1000;1200.0000;11999.9997
46;web4;db1;150000000;17200.2998;4000.0000;0.1000;1200.0000;11999.9997
46;web4;db1;150000000;17200.2998;4000.0000;0.1000;1200.0000;11999.9997
7;web2;db1;400000000;32900.1999;10000.0000;0.1000;3200.0000;19699.8998
7;web2;db1;400000000;32900.1999;10000.0000;0.1000;3200.0000;19699.8998
57;app4;db0;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.8998
57;app4;db0;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.8998
57;app4;db0;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.8998
57;app4;db0;300000000;15399.9998;4000.0000;0.0000;0.0000;11399.8998
34;app1;db1;300000000;25400.2999;4000.0000;0.1000;2400.0000;18999.9999
34;app1;db1;300000000;25400.2999;4000.0000;0.1000;2400.0000;18999.9999
34;app1;db1;300000000;25400.2999;4000.0000;0.1000;2400.0000;18999.9999
34;app1;db1;300000000;25400.2999;4000.0000;0.1000;2400.0000;18999.9999
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
58;db2;db0;10000000;17200.0000;5000.0000;0.0000;0.0000;12199.9000
58;db2;db0;10000000;17200.0000;5000.0000;0.0000;0.0000;12199.9000
58;db2;db0;10000000;17200.0000;5000.0000;0.0000;0.0000;12199.9000
58;db2;db0;10000000;17200.0000;5000.0000;0.0000;0.0000;12199.9000
91;app3;web4;150000000;6400.0000;4000.0000;0.0000;0.0000;2400.0000
91;app3;web4;150000000;6400.0000;4000.0000;0.0000;0.0000;2400.0000
78;svc0;app0;150000000;12300.0000;4000.0000;0.0000;0.0000;8300.0000
78;svc0;app0;150000000;12300.0000;4000.0000;0.0000;0.0000;8300.0000
35;web4;db1;300000000;30600.1997;10000.0000;0.1000;2400.0000;18199.8997
35;web4;db1;300000000;30600.1997;10000.0000;0.1000;2400.0000;18199.8997
86;app2;db0;100000000;12299.9998;4000.0000;0.0000;0.0000;8299.8998
86;app2;db0;100000000;12299.9998;4000.0000;0.0000;0.0000;8299.8998
86;app2;db0;100000000;12299.9998;4000.0000;0.0000;0.0000;8299.8998
86;app2;db0;100000000;12299.9998;4000.0000;0.0000;0.0000;8299.8998
75;app1;db1;100000000;18800.1999;4000.0000;0.1000;800.0000;13999.8998
75;app1;db1;100000000;18800.1999;4000.0000;0.1000;800.0000;13999.8998
7;web2;db1;400000000;46100.2999;10000.0000;0.1000;3200.0000;32899.9999
7;web2;db1;400000000;46100.2999;10000.0000;0.1000;3200.0000;32899.9999
7;web2;db1;400000000;46100.2999;10000.0000;0.1000;3200.0000;32899.9999
7;web2;db1;400000000;46100.2999;10000.0000;0.1000;3200.0000;32899.9999
19;app0;svc0;40000000;41699.9996;40000.0000;0.0000;0.0000;1699.9996
19;app0;svc0;40000000;41699.9996;40000.0000;0.0000;0.0000;1699.9996
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
54;app3;web4;100000000;28799.9998;20000.0000;0.0000;0.0000;8799.9998
54;app3;web4;100000000;28799.9998;20000.0000;0.0000;0.0000;8799.9998
76;web3;app4;100000000;18899.9996;10000.0000;0.0000;0.0000;8899.9996
76;web3;app4;100000000;18899.9996;10000.0000;0.0000;0.0000;8899.9996
80;app0;web1;100000000;17300.0000;10000.0000;0.0000;0.0000;7300.0000
80;app0;web1;100000000;17300.0000;10000.0000;0.0000;0.0000;7300.0000
73;app0;svc0;20000000;20000.0000;10000.0000;0.0000;0.0000;10000.0000
73;app0;svc0;20000000;20000.0000;10000.0000;0.0000;0.0000;10000.0000
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
3;app1;db1;150000000;50700.1997;20000.0000;0.1000;1200.0000;29499.8997
3;app1;db1;150000000;50700.1997;20000.0000;0.1000;1200.0000;29499.8997
75;app1;db1;100000000;23600.2999;4000.0000;0.1000;800.0000;18799.9999
75;app1;db1;100000000;23600.2999;4000.0000;0.1000;800.0000;18799.9999
