# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
10;app2;web3;20000000;9100.0000;4000.0000;0.0000;0.0000;5100.0000
10;app2;web3;20000000;9100.0000;4000.0000;0.0000;0.0000;5100.0000
2;svc2;app2;100000000;18599.9999;10000.0000;0.0000;0.0000;8599.9999
2;svc2;app2;100000000;18599.9999;10000.0000;0.0000;0.0000;8599.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
17;db1;db0;300000000;12499.9999;5000.0000;0.0000;0.0000;7499.8999
17;db1;db0;300000000;12499.9999;5000.0000;0.0000;0.0000;7499.8999
17;db1;db0;300000000;12499.9999;5000.0000;0.0000;0.0000;7499.8999
17;db1;db0;300000000;12499.9999;5000.0000;0.0000;0.0000;7499.8999
32;web3;db0;300000000;14900.0000;4000.0000;0.0000;0.0000;10899.9000
32;web3;db0;300000000;14900.0000;4000.0000;0.0000;0.0000;10899.9000
32;web3;db0;300000000;14900.0000;4000.0000;0.0000;0.0000;10899.9000
32;web3;db0;300000000;14900.0000;4000.0000;0.0000;0.0000;10899.9000
18;app4;db0;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.8999
18;app4;db0;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.8999
18;app4;db0;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.8999
18;app4;db0;20000000;22099.9999;10000.0000;0.0000;0.0000;12099.8999
46;web4;db1;150000000;12000.2001;4000.0000;0.1000;1200.0000;6799.9000
46;web4;db1;150000000;12000.2001;4000.0000;0.1000;1200.0000;6799.9000
53;db2;app2;10000000;11200.0000;2000.0000;0.0000;0.0000;9200.0000
53;db2;app2;10000000;11200.0000;2000.0000;0.0000;0.0000;9200.0000
34;app1;db1;300000000;19000.2001;4000.0000;0.1000;2400.0000;12599.9000
34;app1;db1;300000000;19000.2001;4000.0000;0.1000;2400.0000;12599.9000
46;web4;db1;150000000;17200.3001;4000.0000;0.1000;1200.0000;12000.0001
46;web4;db1;150000000;17200.3001;4000.0000;0.1000;1200.0000;12000.0001
46;web4;db1;150000000;17200.3001;4000.0000;0.1000;1200.0000;12000.0001
46;web4;db1;150000000;17200.3001;4000.0000;0.1000;1200.0000;12000.0001
7;web2;db1;400000000;32900.2000;10000.0000;0.1000;3200.0000;19699.9000
7;web2;db1;400000000;32900.2000;10000.0000;0.1000;3200.0000;19699.9000
57;app4;db0;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.9000
57;app4;db0;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.9000
57;app4;db0;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.9000
57;app4;db0;300000000;15400.0000;4000.0000;0.0000;0.0000;11399.9000
34;app1;db1;300000000;25400.3001;4000.0000;0.1000;2400.0000;19000.0001
34;app1;db1;300000000;25400.3001;4000.0000;0.1000;2400.0000;19000.0001
34;app1;db1;300000000;25400.3001;4000.0000;0.1000;2400.0000;19000.0001
34;app1;db1;300000000;25400.3001;4000.0000;0.1000;2400.0000;19000.0001
55;web2;app3;100000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
55;web2;app3;100000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
58;db2;db0;10000000;17199.9999;5000.0000;0.0000;0.0000;12199.8999
58;db2;db0;10000000;17199.9999;5000.0000;0.0000;0.0000;12199.8999
58;db2;db0;10000000;17199.9999;5000.0000;0.0000;0.0000;12199.8999
58;db2;db0;10000000;17199.9999;5000.0000;0.0000;0.0000;12199.8999
91;app3;web4;150000000;6400.0000;4000.0000;0.0000;0.0000;2400.0000
91;app3;web4;150000000;6400.0000;4000.0000;0.0000;0.0000;2400.0000
78;svc0;app0;150000000;12300.0000;4000.0000;0.0000;0.0000;8300.0000
78;svc0;app0;150000000;12300.0000;4000.0000;0.0000;0.0000;8300.0000
35;web4;db1;300000000;30600.2000;10000.0000;0.1000;2400.0000;18199.9000
35;web4;db1;300000000;30600.2000;10000.0000;0.1000;2400.0000;18199.9000
86;app2;db0;100000000;12300.0000;4000.0000;0.0000;0.0000;8299.9000
86;app2;db0;100000000;12300.0000;4000.0000;0.0000;0.0000;8299.9000
