# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;34.38;87.50;76.00;0.3362
10.00;10;10.16;34.38;32.00;0.3343
10.00;9;0.00;0.00;0.00;0.0000
10.00;8;0.00;0.00;0.00;0.0000
10.00;7;0.00;0.00;0.00;0.0000
10.00;6;0.00;0.00;0.00;0.0000
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;0.00;0.00;0.00;0.0000
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;0.00;0.00;0.00;0.0000
10.00;11;34.38;87.50;45.28;0.0732
10.00;10;10.16;34.38;22.64;0.0709
20.00;11;34.38;87.50;76.00;0.3362
20.00;10;10.16;34.38;32.00;0.3343
20.00;9;0.00;0.00;0.00;0.0000
20.00;8;0.00;0.00;0.00;0.0000
20.00;7;0.00;0.00;0.00;0.0000
20.00;6;0.00;0.00;0.00;0.0000
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;0.00;0.00;0.00;0.0000
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;0.00;0.00;0.00;0.0000
20.00;11;34.38;87.50;56.96;0.0733
20.00;10;10.16;34.38;28.48;0.0709
30.00;11;34.38;87.50;76.00;0.3362
30.00;10;10.16;34.38;32.00;0.3343
30.00;9;0.00;0.00;0.00;0.0000
30.00;8;0.00;0.00;0.00;0.0000
30.00;7;0.00;0.00;0.00;0.0000
30.00;6;0.00;0.00;0.00;0.0000
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;0.00;0.00;0.00;0.0000
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;0.00;0.00;0.00;0.0000
30.00;11;34.38;87.50;39.36;0.0731
30.00;10;10.16;34.38;19.68;0.0708
40.00;11;34.38;87.50;76.00;0.3362
40.00;10;10.16;34.38;32.00;0.3343
40.00;9;0.00;0.00;0.00;0.0000
40.00;8;0.00;0.00;0.00;0.0000
40.00;7;0.00;0.00;0.00;0.0000
40.00;6;0.00;0.00;0.00;0.0000
40.00;5;0.00;0.00;0.00;0.0000
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;0.00;0.00;0.00;0.0000
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;0.00;0.00;0.00;0.0000
40.00;11;34.38;87.50;46.72;0.0732
40.00;10;10.16;34.38;23.36;0.0709
50.00;11;34.38;87.50;76.00;0.3362
50.00;10;10.16;34.38;32.00;0.3343
50.00;9;0.00;0.00;0.00;0.0000
50.00;8;0.00;0.00;0.00;0.0000
50.00;7;0.00;0.00;0.00;0.0000
50.00;6;0.00;0.00;0.00;0.0000
50.00;5;0.00;0.00;0.00;0.0000
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;0.00;0.00;0.00;0.0000
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;0.00;0.00;0.00;0.0000
50.00;11;34.38;87.50;41.92;0.0731
50.00;10;10.16;34.38;20.96;0.0708
60.00;11;34.38;87.50;76.00;0.3362
60.00;10;10.16;34.38;32.00;0.3343
60.00;9;0.00;0.00;0.00;0.0000
60.00;8;0.00;0.00;0.00;0.0000
60.00;7;0.00;0.00;0.00;0.0000
60.00;6;0.00;0.00;0.00;0.0000
60.00;5;0.00;0.00;0.00;0.0000
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;0.00;0.00;0.00;0.0000
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;0.00;0.00;0.00;0.0000
60.00;11;34.38;87.50;19.84;0.0728
60.00;10;10.16;34.38;9.92;0.0707
70.00;11;34.38;87.50;76.00;0.3362
70.00;10;10.16;34.38;32.00;0.3343
70.00;9;0.00;0.00;0.00;0.0000
70.00;8;0.00;0.00;0.00;0.0000
70.00;7;0.00;0.00;0.00;0.0000
70.00;6;0.00;0.00;0.00;0.0000
70.00;5;0.00;0.00;0.00;0.0000
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;0.00;0.00;0.00;0.0000
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;0.00;0.00;0.00;0.0000
70.00;11;34.38;87.50;40.96;0.0731
70.00;10;10.16;34.38;20.48;0.0708
80.00;11;34.38;87.50;76.00;0.3362
80.00;10;10.16;34.38;32.00;0.3343
80.00;9;0.00;0.00;0.00;0.0000
80.00;8;0.00;0.00;0.00;0.0000
80.00;7;0.00;0.00;0.00;0.0000
80.00;6;0.00;0.00;0.00;0.0000
80.00;5;0.00;0.00;0.00;0.0000
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;0.00;0.00;0.00;0.0000
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;0.00;0.00;0.00;0.0000
80.00;11;34.38;87.50;28.00;0.0729
80.00;10;10.16;34.38;14.00;0.0707
90.00;11;34.38;87.50;76.00;0.3362
90.00;10;10.16;34.38;32.00;0.3343
90.00;9;0.00;0.00;0.00;0.0000
90.00;8;0.00;0.00;0.00;0.0000
90.00;7;0.00;0.00;0.00;0.0000
90.00;6;0.00;0.00;0.00;0.0000
90.00;5;0.00;0.00;0.00;0.0000
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;0.00;0.00;0.00;0.0000
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;0.00;0.00;0.00;0.0000
90.00;11;34.38;87.50;42.40;0.0731
90.00;10;10.16;34.38;21.20;0.0708
100.00;11;34.38;87.50;76.00;0.3362
100.00;10;10.16;34.38;32.00;0.3343
100.00;9;0.00;0.00;0.00;0.0000
100.00;8;0.00;0.00;0.00;0.0000
100.00;7;0.00;0.00;0.00;0.0000
100.00;6;0.00;0.00;0.00;0.0000
100.00;5;0.00;0.00;0.00;0.0000
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;0.00;0.00;0.00;0.0000
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;0.00;0.00;0.00;0.0000
100.00;11;34.38;87.50;43.04;0.0731
100.00;10;10.16;34.38;21.52;0.0708
110.00;11;34.38;87.50;76.00;0.3362
110.00;10;10.16;34.38;32.00;0.3343
110.00;9;0.00;0.00;0.00;0.0000
110.00;8;0.00;0.00;0.00;0.0000
110.00;7;0.00;0.00;0.00;0.0000
110.00;6;0.00;0.00;0.00;0.0000
