# units: time(s); hostId; vmIds
0,00;h_11;10
0,00;h_10;10
0,00;h_9;0
0,00;h_8;0
0,00;h_7;0
0,00;h_6;0
0,00;h_5;0
0,00;h_4;0
0,00;h_3;0
0,00;h_2;0
0,00;h_1;0
0,00;h_0;0
10;11;10|9|16|0|11|3|12|13|17|7
10;10;1|14|15|2|8|19|4|6|18|5
10;9;
10;8;
10;7;
10;6;
10;5;
10;4;
10;3;
10;2;
10;1;
10;0;
20;11;10|9|16|0|11|3|12|13|17|7
20;10;1|14|15|2|8|19|4|6|18|5
20;9;
20;8;
20;7;
20;6;
20;5;
20;4;
20;3;
20;2;
20;1;
20;0;
30;11;10|9|16|0|11|3|12|13|17|7
30;10;1|14|15|2|8|19|4|6|18|5
30;9;
30;8;
30;7;
30;6;
30;5;
30;4;
30;3;
30;2;
30;1;
30;0;
40;11;10|9|16|0|11|3|12|13|17|7
40;10;1|14|15|2|8|19|4|6|18|5
40;9;
40;8;
40;7;
40;6;
40;5;
40;4;
40;3;
40;2;
40;1;
40;0;
50;11;10|9|16|0|11|3|12|13|17|7
50;10;1|14|15|2|8|19|4|6|18|5
50;9;
50;8;
50;7;
50;6;
50;5;
50;4;
50;3;
50;2;
50;1;
50;0;
60;11;10|9|16|0|11|3|12|13|17|7
60;10;1|14|15|2|8|19|4|6|18|5
60;9;
60;8;
60;7;
60;6;
60;5;
60;4;
60;3;
60;2;
60;1;
60;0;
70;11;10|9|16|0|11|3|12|13|17|7
70;10;1|14|15|2|8|19|4|6|18|5
70;9;
70;8;
70;7;
70;6;
70;5;
70;4;
70;3;
70;2;
70;1;
70;0;
80;11;10|9|16|0|11|3|12|13|17|7
80;10;1|14|15|2|8|19|4|6|18|5
80;9;
80;8;
80;7;
80;6;
80;5;
80;4;
80;3;
80;2;
80;1;
80;0;
90;11;10|9|16|0|11|3|12|13|17|7
90;10;1|14|15|2|8|19|4|6|18|5
90;9;
90;8;
90;7;
90;6;
90;5;
90;4;
90;3;
90;2;
90;1;
90;0;
100;11;10|9|16|0|11|3|12|13|17|7
100;10;1|14|15|2|8|19|4|6|18|5
100;9;
100;8;
100;7;
100;6;
100;5;
100;4;
100;3;
100;2;
100;1;
100;0;
110;11;10|9|16|0|11|3|12|13|17|7
110;10;1|14|15|2|8|19|4|6|18|5
110;9;
110;8;
110;7;
110;6;
110;5;
110;4;
110;3;
110;2;
110;1;
110;0;
120;11;10|9|16|0|11|3|12|13|17|7
120;10;1|14|15|2|8|19|4|6|18|5
120;9;
120;8;
120;7;
120;6;
120;5;
120;4;
120;3;
120;2;
120;1;
120;0;
130;11;10|9|16|0|11|3|12|13|17|7
130;10;1|14|15|2|8|19|4|6|18|5
130;9;
130;8;
130;7;
130;6;
130;5;
130;4;
130;3;
130;2;
130;1;
130;0;
140;11;10|9|16|0|11|3|12|13|17|7
140;10;1|14|15|2|8|19|4|6|18|5
140;9;
140;8;
140;7;
140;6;
140;5;
140;4;
140;3;
140;2;
140;1;
140;0;
150;11;10|9|16|0|11|3|12|13|17|7
150;10;1|14|15|2|8|19|4|6|18|5
150;9;
150;8;
150;7;
150;6;
150;5;
150;4;
150;3;
150;2;
150;1;
150;0;
160;11;10|9|16|0|11|3|12|13|17|7
160;10;1|14|15|2|8|19|4|6|18|5
160;9;
160;8;
160;7;
160;6;
160;5;
160;4;
160;3;
160;2;
160;1;
160;0;
170;11;10|9|16|0|11|3|12|13|17|7
170;10;1|14|15|2|8|19|4|6|18|5
170;9;
170;8;
170;7;
170;6;
170;5;
170;4;
170;3;
170;2;
170;1;
170;0;
180;11;10|9|16|0|11|3|12|13|17|7
180;10;1|14|15|2|8|19|4|6|18|5
180;9;
180;8;
180;7;
180;6;
180;5;
180;4;
180;3;
180;2;
180;1;
180;0;
190;11;10|9|16|0|11|3|12|13|17|7
190;10;1|14|15|2|8|19|4|6|18|5
190;9;
190;8;
190;7;
190;6;
190;5;
190;4;
190;3;
190;2;
190;1;
190;0;
200;11;10|9|16|0|11|3|12|13|17|7
200;10;1|14|15|2|8|19|4|6|18|5
200;9;
200;8;
200;7;
200;6;
200;5;
200;4;
200;3;
200;2;
200;1;
200;0;
210;11;10|9|16|0|11|3|12|13|17|7
210;10;1|14|15|2|8|19|4|6|18|5
210;9;
210;8;
210;7;
210;6;
210;5;
210;4;
210;3;
210;2;
210;1;
210;0;
220;11;10|9|16|0|11|3|12|13|17|7
220;10;1|14|15|2|8|19|4|6|18|5
220;9;
220;8;
220;7;
220;6;
220;5;
220;4;
220;3;
220;2;
220;1;
220;0;
230;11;10|9|16|0|11|3|12|13|17|7
230;10;1|14|15|2|8|19|4|6|18|5
230;9;
230;8;
230;7;
230;6;
230;5;
230;4;
230;3;
230;2;
230;1;
230;0;
240;11;10|9|16|0|11|3|12|13|17|7
240;10;1|14|15|2|8|19|4|6|18|5
240;9;
240;8;
240;7;
240;6;
240;5;
240;4;
240;3;
240;2;
240;1;
240;0;
250;11;10|9|16|0|11|3|12|13|17|7
250;10;1|14|15|2|8|19|4|6|18|5
250;9;
250;8;
250;7;
250;6;
250;5;
250;4;
250;3;
250;2;
250;1;
250;0;
260;11;10|9|16|0|11|3|12|13|17|7
260;10;1|14|15|2|8|19|4|6|18|5
260;9;
260;8;
260;7;
260;6;
260;5;
260;4;
260;3;
260;2;
260;1;
260;0;
270;11;10|9|16|0|11|3|12|13|17|7
270;10;1|14|15|2|8|19|4|6|18|5
270;9;
270;8;
270;7;
270;6;
270;5;
270;4;
270;3;
270;2;
270;1;
270;0;
280;11;10|9|16|0|11|3|12|13|17|7
280;10;1|14|15|2|8|19|4|6|18|5
280;9;
280;8;
280;7;
280;6;
280;5;
280;4;
280;3;
280;2;
280;1;
280;0;
290;11;10|9|16|0|11|3|12|13|17|7
290;10;1|14|15|2|8|19|4|6|18|5
290;9;
290;8;
290;7;
290;6;
290;5;
290;4;
290;3;
290;2;
290;1;
290;0;
300;11;10|9|16|0|11|3|12|13|17|7
300;10;1|14|15|2|8|19|4|6|18|5
300;9;
300;8;
300;7;
300;6;
300;5;
300;4;
300;3;
300;2;
300;1;
300;0;
310;11;10|9|16|0|11|3|12|13|17|7
310;10;1|14|15|2|8|19|4|6|18|5
310;9;
310;8;
310;7;
310;6;
310;5;
310;4;
310;3;
310;2;
310;1;
310;0;
320;11;10|9|16|0|11|3|12|13|17|7
320;10;1|14|15|2|8|19|4|6|18|5
320;9;
320;8;
320;7;
320;6;
320;5;
320;4;
320;3;
320;2;
320;1;
320;0;
330;11;10|9|16|0|11|3|12|13|17|7
330;10;1|14|15|2|8|19|4|6|18|5
330;9;
330;8;
330;7;
330;6;
330;5;
330;4;
330;3;
330;2;
330;1;
330;0;
340;11;10|9|16|0|11|3|12|13|17|7
340;10;1|14|15|2|8|19|4|6|18|5
340;9;
340;8;
340;7;
340;6;
340;5;
340;4;
340;3;
340;2;
340;1;
340;0;
350;11;10|9|16|0|11|3|12|13|17|7
350;10;1|14|15|2|8|19|4|6|18|5
350;9;
350;8;
350;7;
350;6;
350;5;
350;4;
350;3;
350;2;
350;1;
350;0;
360;11;10|9|16|0|11|3|12|13|17|7
360;10;1|14|15|2|8|19|4|6|18|5
360;9;
360;8;
360;7;
360;6;
360;5;
360;4;
360;3;
360;2;
360;1;
360;0;
370;11;10|9|16|0|11|3|12|13|17|7
370;10;1|14|15|2|8|19|4|6|18|5
370;9;
370;8;
370;7;
370;6;
370;5;
370;4;
370;3;
370;2;
370;1;
370;0;
380;11;10|9|16|0|11|3|12|13|17|7
380;10;1|14|15|2|8|19|4|6|18|5
380;9;
380;8;
380;7;
380;6;
380;5;
380;4;
380;3;
380;2;
380;1;
380;0;
390;11;10|9|16|0|11|3|12|13|17|7
390;10;1|14|15|2|8|19|4|6|18|5
390;9;
390;8;
390;7;
390;6;
390;5;
390;4;
390;3;
390;2;
390;1;
390;0;
400;11;10|9|16|0|11|3|12|13|17|7
400;10;1|14|15|2|8|19|4|6|18|5
400;9;
400;8;
400;7;
400;6;
400;5;
400;4;
400;3;
400;2;
400;1;
400;0;
410;11;10|9|16|0|11|3|12|13|17|7
410;10;1|14|15|2|8|19|4|6|18|5
410;9;
410;8;
410;7;
410;6;
410;5;
410;4;
410;3;
410;2;
410;1;
410;0;
420;11;10|9|16|0|11|3|12|13|17|7
420;10;1|14|15|2|8|19|4|6|18|5
420;9;
420;8;
420;7;
420;6;
420;5;
420;4;
420;3;
420;2;
420;1;
420;0;
430;11;10|9|16|0|11|3|12|13|17|7
430;10;1|14|15|2|8|19|4|6|18|5
430;9;
430;8;
430;7;
430;6;
430;5;
430;4;
430;3;
430;2;
430;1;
430;0;
440;11;10|9|16|0|11|3|12|13|17|7
440;10;1|14|15|2|8|19|4|6|18|5
440;9;
440;8;
440;7;
440;6;
440;5;
440;4;
440;3;
440;2;
440;1;
440;0;
450;11;10|9|16|0|11|3|12|13|17|7
450;10;1|14|15|2|8|19|4|6|18|5
450;9;
450;8;
450;7;
450;6;
450;5;
450;4;
450;3;
450;2;
450;1;
450;0;
460;11;10|9|16|0|11|3|12|13|17|7
460;10;1|14|15|2|8|19|4|6|18|5
460;9;
460;8;
460;7;
460;6;
460;5;
460;4;
460;3;
460;2;
460;1;
460;0;
470;11;10|9|16|0|11|3|12|13|17|7
470;10;1|14|15|2|8|19|4|6|18|5
470;9;
470;8;
470;7;
470;6;
470;5;
470;4;
470;3;
470;2;
470;1;
470;0;
480;11;10|9|16|0|11|3|12|13|17|7
480;10;1|14|15|2|8|19|4|6|18|5
480;9;
480;8;
480;7;
480;6;
480;5;
480;4;
480;3;
480;2;
480;1;
480;0;
490;11;10|9|16|0|11|3|12|13|17|7
490;10;1|14|15|2|8|19|4|6|18|5
490;9;
490;8;
490;7;
490;6;
490;5;
490;4;
490;3;
490;2;
490;1;
490;0;
500;11;10|9|16|0|11|3|12|13|17|7
500;10;1|14|15|2|8|19|4|6|18|5
500;9;
500;8;
500;7;
500;6;
500;5;
500;4;
500;3;
500;2;
500;1;
500;0;
510;11;10|9|16|0|11|3|12|13|17|7
510;10;1|14|15|2|8|19|4|6|18|5
510;9;
510;8;
510;7;
510;6;
510;5;
510;4;
510;3;
510;2;
510;1;
510;0;
520;11;10|9|16|0|11|3|12|13|17|7
520;10;1|14|15|2|8|19|4|6|18|5
520;9;
520;8;
520;7;
520;6;
520;5;
520;4;
520;3;
520;2;
520;1;
520;0;
