0;1;2;vm_policy;link_policy;wf_policy
10;11;0.0698;LFF;BLA;Priority
10;10;0.0698;LFF;BLA;Priority
10;9;0.0696;LFF;BLA;Priority
10;8;0.07;LFF;BLA;Priority
10;7;0.0697;LFF;BLA;Priority
10;6;0.0697;LFF;BLA;Priority
10;5;0.07;LFF;BLA;Priority
10;4;0.0696;LFF;BLA;Priority
10;3;0.0697;LFF;BLA;Priority
10;2;0.0696;LFF;BLA;Priority
10;1;0.0697;LFF;BLA;Priority
10;0;0.0697;LFF;BLA;Priority
20;11;0.07;LFF;BLA;Priority
20;10;0.0699;LFF;BLA;Priority
20;9;0.0697;LFF;BLA;Priority
20;8;0.0702;LFF;BLA;Priority
20;7;0.0698;LFF;BLA;Priority
20;6;0.0697;LFF;BLA;Priority
20;5;0.07;LFF;BLA;Priority
20;4;0.0695;LFF;BLA;Priority
20;3;0.0697;LFF;BLA;Priority
20;2;0.0698;LFF;BLA;Priority
20;1;0.0697;LFF;BLA;Priority
20;0;0.0696;LFF;BLA;Priority
30;11;0.0699;LFF;BLA;Priority
30;10;0.0698;LFF;BLA;Priority
30;9;0.0696;LFF;BLA;Priority
30;8;0.0701;LFF;BLA;Priority
30;7;0.0699;LFF;BLA;Priority
30;6;0.0697;LFF;BLA;Priority
30;5;0.07;LFF;BLA;Priority
30;4;0.0696;LFF;BLA;Priority
30;3;0.0697;LFF;BLA;Priority
30;2;0.0697;LFF;BLA;Priority
30;1;0.0697;LFF;BLA;Priority
30;0;0.0696;LFF;BLA;Priority
40;11;0.0703;LFF;BLA;Priority
40;10;0.0698;LFF;BLA;Priority
40;9;0.0696;LFF;BLA;Priority
40;8;0.0701;LFF;BLA;Priority
40;7;0.0698;LFF;BLA;Priority
40;6;0.0697;LFF;BLA;Priority
40;5;0.07;LFF;BLA;Priority
40;4;0.0696;LFF;BLA;Priority
40;3;0.0697;LFF;BLA;Priority
40;2;0.0698;LFF;BLA;Priority
40;1;0.0697;LFF;BLA;Priority
40;0;0.0697;LFF;BLA;Priority
50;11;0.07;LFF;BLA;Priority
50;10;0.0699;LFF;BLA;Priority
50;9;0.0696;LFF;BLA;Priority
50;8;0.0701;LFF;BLA;Priority
50;7;0.0698;LFF;BLA;Priority
50;6;0.0698;LFF;BLA;Priority
50;5;0.07;LFF;BLA;Priority
50;4;0.0696;LFF;BLA;Priority
50;3;0.0697;LFF;BLA;Priority
50;2;0.07;LFF;BLA;Priority
50;1;0.0697;LFF;BLA;Priority
50;0;0.0697;LFF;BLA;Priority
60;11;0.0697;LFF;BLA;Priority
60;10;0.0698;LFF;BLA;Priority
60;9;0.0696;LFF;BLA;Priority
60;8;0.07;LFF;BLA;Priority
60;7;0.0699;LFF;BLA;Priority
60;6;0.0696;LFF;BLA;Priority
60;5;0.0702;LFF;BLA;Priority
60;4;0.0695;LFF;BLA;Priority
60;3;0.0697;LFF;BLA;Priority
60;2;0.0697;LFF;BLA;Priority
60;1;0.0697;LFF;BLA;Priority
60;0;0.0696;LFF;BLA;Priority
70;11;0.0697;LFF;BLA;Priority
70;10;0.0698;LFF;BLA;Priority
70;9;0.0696;LFF;BLA;Priority
70;8;0.0701;LFF;BLA;Priority
70;7;0.0701;LFF;BLA;Priority
70;6;0.0697;LFF;BLA;Priority
70;5;0.0701;LFF;BLA;Priority
70;4;0.0695;LFF;BLA;Priority
70;3;0.0696;LFF;BLA;Priority
70;2;0.0697;LFF;BLA;Priority
70;1;0.0698;LFF;BLA;Priority
70;0;0.0697;LFF;BLA;Priority
80;11;0.0702;LFF;BLA;Priority
80;10;0.0699;LFF;BLA;Priority
80;9;0.0697;LFF;BLA;Priority
80;8;0.07;LFF;BLA;Priority
80;7;0.0697;LFF;BLA;Priority
80;6;0.0698;LFF;BLA;Priority
80;5;0.0699;LFF;BLA;Priority
80;4;0.0695;LFF;BLA;Priority
80;3;0.0696;LFF;BLA;Priority
80;2;0.0697;LFF;BLA;Priority
