time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
5020;h_11;11.0;167.2454;LFF;BLA;Priority
5020;h_10;10.0;167.244;LFF;BLA;Priority
5020;h_9;9.0;167.2248;LFF;BLA;Priority
5020;h_8;8.0;167.3951;LFF;BLA;Priority
5020;h_7;7.0;167.244;LFF;BLA;Priority
5020;h_6;6.0;167.2401;LFF;BLA;Priority
5020;h_5;5.0;167.3951;LFF;BLA;Priority
5020;h_4;4.0;167.2041;LFF;BLA;Priority
5020;h_3;3.0;167.2241;LFF;BLA;Priority
5020;h_2;2.0;167.2426;LFF;BLA;Priority
5020;h_1;1.0;167.2775;LFF;BLA;Priority
5020;h_0;0.0;167.2408;LFF;BLA;Priority
TOTAL;;;2007.1777;LFF;BLA;Priority
6422;h_11;11.0;214.1841;LFF;BLA;Priority
6422;h_10;10.0;214.1823;LFF;BLA;Priority
6422;h_9;9.0;214.1576;LFF;BLA;Priority
6422;h_8;8.0;214.3758;LFF;BLA;Priority
6422;h_7;7.0;214.1823;LFF;BLA;Priority
6422;h_6;6.0;214.1773;LFF;BLA;Priority
6422;h_5;5.0;214.3758;LFF;BLA;Priority
6422;h_4;4.0;214.1312;LFF;BLA;Priority
6422;h_3;3.0;214.1568;LFF;BLA;Priority
6422;h_2;2.0;214.1805;LFF;BLA;Priority
6422;h_1;1.0;214.2252;LFF;BLA;Priority
6422;h_0;0.0;214.1782;LFF;BLA;Priority
TOTAL;;;2570.5071;LFF;BLA;Priority
6422;h_11;11.0;214.1841;LFF;BLA;Priority
6422;h_10;10.0;214.1823;LFF;BLA;Priority
6422;h_9;9.0;214.1576;LFF;BLA;Priority
6422;h_8;8.0;214.3758;LFF;BLA;Priority
6422;h_7;7.0;214.1823;LFF;BLA;Priority
6422;h_6;6.0;214.1773;LFF;BLA;Priority
6422;h_5;5.0;214.3758;LFF;BLA;Priority
6422;h_4;4.0;214.1312;LFF;BLA;Priority
6422;h_3;3.0;214.1568;LFF;BLA;Priority
6422;h_2;2.0;214.1805;LFF;BLA;Priority
6422;h_1;1.0;214.2252;LFF;BLA;Priority
6422;h_0;0.0;214.1782;LFF;BLA;Priority
TOTAL;;;2570.5071;LFF;BLA;Priority
6422;h_11;11.0;214.1841;LFF;BLA;Priority
6422;h_10;10.0;214.1823;LFF;BLA;Priority
6422;h_9;9.0;214.1576;LFF;BLA;Priority
6422;h_8;8.0;214.3758;LFF;BLA;Priority
6422;h_7;7.0;214.1823;LFF;BLA;Priority
