pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy
7;web2;app2;400000000;16499.9998;10000.0;0.0;0.0;6499.9998;LFF;BLA;Priority
1;web1;app1;10000000;18999.9996;10000.0;0.0;0.0;8999.9996;LFF;BLA;Priority
13;web1;app1;200000000;14200.0;10000.0;0.0;0.0;4200.0;LFF;BLA;Priority
10;app2;db0;20000000;19021.0708;4000.0;0.357;640.0;14379.9438;LFF;BLA;Priority
32;web3;app3;300000000;10899.9998;4000.0;0.0;0.0;6899.9998;LFF;BLA;Priority
18;app4;app4;20000000;22099.9998;10000.0;0.0;0.0;12099.7298;LFF;BLA;Priority
53;db2;app2;10000000;16160.6617;2000.0;0.2206;320.0;13840.001;LFF;BLA;Priority
57;app4;app4;300000000;15399.9998;4000.0;0.0;0.0;11399.7298;LFF;BLA;Priority
86;app2;web2;100000000;8299.9998;4000.0;0.0;0.0;4299.9998;LFF;BLA;Priority
58;db2;db0;10000000;23041.0107;5000.0;0.3369;280.0;17759.9438;LFF;BLA;Priority
46;web4;db1;150000000;28001.0706;4000.0;0.357;4800.0;19200.0936;LFF;BLA;Priority
2;svc2;app2;100000000;48201.0393;10000.0;0.3465;3200.0;35000.0128;LFF;BLA;Priority
61;web2;app2;10000000;25599.9998;20000.0;0.0;0.0;5599.9998;LFF;BLA;Priority
91;app3;app4;150000000;18000.3001;4000.0;0.1;1200.0;12799.8301;LFF;BLA;Priority
112;app4;app4;150000000;12700.0;4000.0;0.0;0.0;8699.73;LFF;BLA;Priority
82;app4;app4;100000000;26200.0;10000.0;0.0;0.0;16199.73;LFF;BLA;Priority
34;app1;app0;300000000;47001.0708;4000.0;0.357;9600.0;33400.1138;LFF;BLA;Priority
75;app1;app0;100000000;30801.0708;4000.0;0.357;3200.0;23600.1138;LFF;BLA;Priority
78;svc0;app1;150000000;32900.9163;4000.0;0.3054;4200.0;24699.9609;LFF;BLA;Priority
101;app4;web0;40000000;27521.1273;4000.0;0.3758;2240.0;21279.9415;LFF;BLA;Priority
103;db4;db1;40000000;27141.0393;5000.0;0.3465;1280.0;20859.9128;LFF;BLA;Priority
55;web2;db0;100000000;48001.0708;10000.0;0.357;3200.0;34799.9438;LFF;BLA;Priority
65;app2;web2;20000000;43699.9998;40000.0;0.0;0.0;3699.9998;LFF;BLA;Priority
119;web0;app1;400000000;22900.2999;4000.0;0.1;3200.0;15699.7498;LFF;BLA;Priority
139;app0;web2;40000000;15860.2997;4000.0;0.1;320.0;11539.7497;LFF;BLA;Priority
73;app0;app4;20000000;43361.282;10000.0;0.4273;1120.0;32240.0847;LFF;BLA;Priority
118;db2;db0;100000000;25301.0105;5000.0;0.3369;2800.0;17499.9436;LFF;BLA;Priority
17;db1;web3;300000000;67901.2821;5000.0;0.4273;16800.0001;46100.0847;LFF;BLA;Priority
35;web4;db1;300000000;64601.0706;10000.0;0.357;9600.0;45000.0936;LFF;BLA;Priority
160;db1;web3;20000000;14261.282;2000.0;0.4273;1120.0;11140.0846;LFF;BLA;Priority
92;svc4;db1;100000000;41501.071;10000.0;0.357;3200.0;28300.094;LFF;BLA;Priority
96;app1;app2;100000000;40201.0706;10000.0;0.357;3200.0;27000.0136;LFF;BLA;Priority
126;app0;db1;200000000;28100.0;20000.0;0.0;0.0;8100.0;LFF;BLA;Priority
148;app0;db1;100000000;19099.9999;10000.0;0.0;0.0;9099.9999;LFF;BLA;Priority
