time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy
10;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0;0.0;0.0;12800.357;0.0;9500.0;True;LFF;BLA;Priority
10;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;0.0;0.0;560.4273;7139.5723;7699.9996;True;LFF;BLA;Priority
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0;0.0;0.0;0.0;4599.9996;4599.9996;True;LFF;BLA;Priority
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0;0.0;0.0;0.0;2099.9998;2099.9998;True;LFF;BLA;Priority
10;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;0.0;0.0;2240.4274;0.0;1699.9996;True;LFF;BLA;Priority
10;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;250.0;0.0;0.0;640.357;4859.6426;5499.9996;True;LFF;BLA;Priority
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.0;0.0;11200.4274;0.0;7199.9998;True;LFF;BLA;Priority
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;5999.9996;5999.9996;True;LFF;BLA;Priority
10;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;250.0;0.0;0.0;640.357;4459.6428;5099.9998;True;LFF;BLA;Priority
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;3599.9996;3599.9996;True;LFF;BLA;Priority
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.0;0.0;2240.4274;659.5723;2899.9996;True;LFF;BLA;Priority
10;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;0.0;0.0;16800.4274;0.0;2499.9998;True;LFF;BLA;Priority
10;h_8;h_10;h_8->edge4->agg3->edge5->h_10;142.8571;0.0;0.0;8400.2709;0.0;399.9998;True;LFF;BLA;Priority
10;h_3;h_9;h_3->edge1->agg1->core1->agg3->edge4->h_9;285.7143;0.0;0.0;4200.3054;4099.6942;8299.9996;True;LFF;BLA;Priority
10;h_0;h_7;h_0->edge0->agg0->core0->agg2->edge3->h_7;250.0;0.0;0.0;3200.3465;5399.6533;8599.9998;True;LFF;BLA;Priority
10;h_7;h_7;h_7->(LOCAL)->h_7;10000.0;0.0;0.0;0.0;6499.9998;6499.9998;True;LFF;BLA;Priority
10;h_0;h_3;h_0->edge0->agg0->edge1->h_3;250.0;0.0;0.0;9600.2307;0.0;6999.9996;True;LFF;BLA;Priority
10;h_3;h_6;h_3->edge1->agg1->core1->agg2->edge3->h_6;250.0;0.0;0.0;4800.357;0.0;3399.9998;True;LFF;BLA;Priority
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0;0.0;0.0;0.0;8999.9996;8999.9996;True;LFF;BLA;Priority
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0;0.0;0.0;0.0;4200.0;4200.0;True;LFF;BLA;Priority
10;h_10;h_3;h_10->edge5->agg3->core1->agg1->edge1->h_3;142.8571;0.0;0.0;2240.3758;0.0;799.9998;True;LFF;BLA;Priority
10;h_11;h_2;h_11->edge5->agg3->core1->agg1->edge1->h_2;142.8571;0.0;0.0;560.3758;3839.6238;4399.9996;True;LFF;BLA;Priority
10;h_11;h_2;h_11->edge5->agg3->core1->agg1->edge1->h_2;142.8571;0.0;0.0;560.3758;639.6238;1199.9996;True;LFF;BLA;Priority
20;h_10;h_11;h_10->edge5->h_11;1000.0;396.0;39.6;160.1;9139.8999;9300.0;True;LFF;BLA;Priority
20;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0;733.33;162.85;9600.357;0.0;5799.9996;True;LFF;BLA;Priority
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0;0.0;0.0;0.0;1799.9998;1799.9998;True;LFF;BLA;Priority
20;h_9;h_6;h_9->edge4->agg3->core1->agg2->edge3->h_6;250.0;733.33;162.85;4800.357;0.0;1599.9996;True;LFF;BLA;Priority
20;h_10;h_11;h_10->edge5->h_11;1000.0;396.0;39.6;3200.1;0.0;1000.0;True;LFF;BLA;Priority
20;h_10;h_6;h_10->edge5->agg3->core1->agg2->edge3->h_6;142.8571;633.33;164.99;2240.4274;0.0;600.0;True;LFF;BLA;Priority
20;h_6;h_10;h_6->edge3->agg2->core1->agg3->edge5->h_10;142.8571;852.0;247.2;8400.4274;1099.5724;9499.9998;True;LFF;BLA;Priority
20;h_11;h_10;h_11->edge5->h_10;1000.0;324.0;32.4;2400.1;6299.8997;8699.9998;True;LFF;BLA;Priority
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;8400.0;8400.0;True;LFF;BLA;Priority
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;6899.9998;6899.9998;True;LFF;BLA;Priority
20;h_8;h_10;h_8->edge4->agg3->edge5->h_10;142.8571;660.0;261.4;11200.2709;0.0;8200.0;True;LFF;BLA;Priority
20;h_8;h_10;h_8->edge4->agg3->edge5->h_10;142.8571;660.0;261.4;11200.2709;0.0;7800.0;True;LFF;BLA;Priority
20;h_3;h_9;h_3->edge1->agg1->core1->agg3->edge4->h_9;285.7143;380.0;70.07;560.3054;6839.6942;7399.9996;True;LFF;BLA;Priority
20;h_6;h_7;h_6->edge3->h_7;1000.0;544.0;54.4;1200.1;1899.8996;3099.9996;True;LFF;BLA;Priority
20;h_3;h_7;h_3->edge1->agg1->core1->agg2->edge3->h_7;250.0;442.67;114.93;3200.357;6699.643;9900.0;True;LFF;BLA;Priority
20;h_3;h_7;h_3->edge1->agg1->core1->agg2->edge3->h_7;250.0;442.67;114.93;3200.357;2199.6428;5399.9998;True;LFF;BLA;Priority
20;h_3;h_7;h_3->edge1->agg1->core1->agg2->edge3->h_7;250.0;442.67;114.93;1280.357;719.643;2000.0;True;LFF;BLA;Priority
20;h_5;h_7;h_5->edge2->agg2->edge3->h_7;250.0;252.0;88.8;3200.2206;0.0;300.0;True;LFF;BLA;Priority
20;h_2;h_3;h_2->edge1->h_3;1000.0;588.0;58.8;80.1;8919.8997;8999.9998;True;LFF;BLA;Priority
20;h_3;h_6;h_3->edge1->agg1->core1->agg2->edge3->h_6;250.0;530.67;123.73;9600.357;0.0;6199.9998;True;LFF;BLA;Priority
20;h_9;h_3;h_9->edge4->agg3->core1->agg1->edge1->h_3;285.7143;916.0;174.09;4200.3054;299.6946;4500.0;True;LFF;BLA;Priority
20;h_2;h_3;h_2->edge1->h_3;1000.0;588.0;58.8;80.1;2719.8999;2800.0;True;LFF;BLA;Priority
20;h_10;h_3;h_10->edge5->agg3->core1->agg1->edge1->h_3;142.8571;816.0;176.23;560.3758;5939.6238;6499.9996;True;LFF;BLA;Priority
20;h_10;h_3;h_10->edge5->agg3->core1->agg1->edge1->h_3;142.8571;816.0;176.23;2240.3758;2659.6238;4899.9996;True;LFF;BLA;Priority
20;h_7;h_3;h_7->edge3->agg2->core1->agg1->edge1->h_3;250.0;854.67;194.44;6400.357;0.0;3399.9998;True;LFF;BLA;Priority
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0;0.0;0.0;0.0;2300.0;2300.0;True;LFF;BLA;Priority
20;h_11;h_2;h_11->edge5->agg3->core1->agg1->edge1->h_2;142.8571;561.33;150.76;560.3758;3339.6238;3899.9996;True;LFF;BLA;Priority
20;h_10;h_2;h_10->edge5->agg3->core1->agg1->edge1->h_2;142.8571;622.67;156.89;22400.3759;0.0;1199.9998;True;LFF;BLA;Priority
30;h_10;h_11;h_10->edge5->h_11;1000.0;1092.0;109.2;800.1;7999.8997;8799.9998;True;LFF;BLA;Priority
30;h_11;h_11;h_11->(LOCAL)->h_11;10000.0;0.0;0.0;0.0;7399.9998;7399.9998;True;LFF;BLA;Priority
30;h_0;h_6;h_0->edge0->agg0->core0->agg2->edge3->h_6;250.0;346.67;100.27;640.3465;5959.6535;6600.0;True;LFF;BLA;Priority
30;h_0;h_6;h_0->edge0->agg0->core0->agg2->edge3->h_6;250.0;346.67;100.27;6400.3465;0.0;5099.9998;True;LFF;BLA;Priority
30;h_6;h_11;h_6->edge3->agg2->core1->agg3->edge5->h_11;142.8571;577.33;181.25;8400.4274;0.0;1699.9996;True;LFF;BLA;Priority
30;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;250.0;488.0;125.32;3200.357;5199.6428;8399.9998;True;LFF;BLA;Priority
30;h_5;h_8;h_5->edge2->agg2->core1->agg3->edge4->h_8;285.7143;374.67;86.65;4200.3369;3699.6627;7899.9996;True;LFF;BLA;Priority
30;h_5;h_8;h_5->edge2->agg2->core1->agg3->edge4->h_8;285.7143;374.67;86.65;280.3369;6919.6631;7200.0;True;LFF;BLA;Priority
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;6000.0;6000.0;True;LFF;BLA;Priority
30;h_7;h_8;h_7->edge3->agg2->core1->agg3->edge4->h_8;250.0;488.0;125.32;12800.357;0.0;4199.9996;True;LFF;BLA;Priority
30;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;3099.9998;3099.9998;True;LFF;BLA;Priority
30;h_4;h_10;h_4->edge2->agg2->core1->agg3->edge5->h_10;142.8571;402.67;136.45;11200.4073;0.0;500.0;True;LFF;BLA;Priority
30;h_6;h_7;h_6->edge3->h_7;1000.0;572.0;57.2;2400.1;2199.8997;4599.9998;True;LFF;BLA;Priority
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0;0.0;0.0;0.0;3699.9998;3699.9998;True;LFF;BLA;Priority
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0;0.0;0.0;0.0;2200.0;2200.0;True;LFF;BLA;Priority
30;h_11;h_7;h_11->edge5->agg3->core1->agg2->edge3->h_7;142.8571;1136.0;346.43;8400.4274;0.0;1399.9998;True;LFF;BLA;Priority
30;h_3;h_7;h_3->edge1->agg1->core1->agg2->edge3->h_7;250.0;932.0;218.19;9600.357;199.6428;9799.9998;True;LFF;BLA;Priority
30;h_5;h_7;h_5->edge2->agg2->edge3->h_7;250.0;574.0;165.8;320.2206;8879.7791;9199.9998;True;LFF;BLA;Priority
30;h_7;h_7;h_7->(LOCAL)->h_7;10000.0;0.0;0.0;0.0;5599.9998;5599.9998;True;LFF;BLA;Priority
30;h_9;h_3;h_9->edge4->agg3->core1->agg1->edge1->h_3;285.7143;1180.0;239.25;560.3054;8839.6942;9399.9996;True;LFF;BLA;Priority
30;h_9;h_3;h_9->edge4->agg3->core1->agg1->edge1->h_3;285.7143;1180.0;239.25;2800.3054;0.0;1100.0;True;LFF;BLA;Priority
30;h_7;h_3;h_7->edge3->agg2->core1->agg1->edge1->h_3;250.0;725.33;164.16;320.357;2279.643;2600.0;True;LFF;BLA;Priority
