0;1;2;vm_policy;link_policy;wf_policy
10;23;0.1853;LFF;BLA;Priority
10;22;0.1853;LFF;BLA;Priority
10;21;0.1853;LFF;BLA;Priority
10;20;0.1853;LFF;BLA;Priority
10;19;0.1853;LFF;BLA;Priority
10;18;0.1853;LFF;BLA;Priority
10;17;0.1853;LFF;BLA;Priority
10;16;0.1853;LFF;BLA;Priority
10;15;0.1853;LFF;BLA;Priority
10;14;0.1853;LFF;BLA;Priority
10;13;0.1853;LFF;BLA;Priority
10;12;0.1853;LFF;BLA;Priority
20;23;0.3706;LFF;BLA;Priority
20;22;0.3706;LFF;BLA;Priority
20;21;0.3706;LFF;BLA;Priority
20;20;0.3706;LFF;BLA;Priority
20;19;0.3706;LFF;BLA;Priority
20;18;0.3706;LFF;BLA;Priority
20;17;0.3706;LFF;BLA;Priority
20;16;0.3706;LFF;BLA;Priority
20;15;0.3706;LFF;BLA;Priority
20;14;0.3706;LFF;BLA;Priority
20;13;0.3706;LFF;BLA;Priority
20;12;0.3706;LFF;BLA;Priority
30;23;0.5558;LFF;BLA;Priority
30;22;0.5558;LFF;BLA;Priority
30;21;0.5558;LFF;BLA;Priority
30;20;0.5558;LFF;BLA;Priority
30;19;0.5558;LFF;BLA;Priority
30;18;0.5558;LFF;BLA;Priority
30;17;0.5558;LFF;BLA;Priority
30;16;0.5558;LFF;BLA;Priority
30;15;0.5558;LFF;BLA;Priority
30;14;0.5558;LFF;BLA;Priority
30;13;0.5558;LFF;BLA;Priority
30;12;0.5558;LFF;BLA;Priority
40;23;0.7411;LFF;BLA;Priority
40;22;0.7411;LFF;BLA;Priority
40;21;0.7411;LFF;BLA;Priority
40;20;0.7411;LFF;BLA;Priority
40;19;0.7411;LFF;BLA;Priority
40;18;0.7411;LFF;BLA;Priority
40;17;0.7411;LFF;BLA;Priority
40;16;0.7411;LFF;BLA;Priority
40;15;0.7411;LFF;BLA;Priority
40;14;0.7411;LFF;BLA;Priority
40;13;0.7411;LFF;BLA;Priority
40;12;0.7411;LFF;BLA;Priority
50;23;0.9264;LFF;BLA;Priority
50;22;0.9264;LFF;BLA;Priority
50;21;0.9264;LFF;BLA;Priority
50;20;0.9264;LFF;BLA;Priority
50;19;0.9264;LFF;BLA;Priority
50;18;0.9264;LFF;BLA;Priority
50;17;0.9264;LFF;BLA;Priority
50;16;0.9264;LFF;BLA;Priority
50;15;0.9264;LFF;BLA;Priority
50;14;0.9264;LFF;BLA;Priority
50;13;0.9264;LFF;BLA;Priority
50;12;0.9264;LFF;BLA;Priority
60;23;1.1117;LFF;BLA;Priority
60;22;1.1117;LFF;BLA;Priority
60;21;1.1117;LFF;BLA;Priority
60;20;1.1117;LFF;BLA;Priority
60;19;1.1117;LFF;BLA;Priority
60;18;1.1117;LFF;BLA;Priority
60;17;1.1117;LFF;BLA;Priority
60;16;1.1117;LFF;BLA;Priority
60;15;1.1117;LFF;BLA;Priority
60;14;1.1117;LFF;BLA;Priority
60;13;1.1117;LFF;BLA;Priority
60;12;1.1117;LFF;BLA;Priority
70;23;1.2969;LFF;BLA;Priority
70;22;1.2969;LFF;BLA;Priority
70;21;1.2969;LFF;BLA;Priority
70;20;1.2969;LFF;BLA;Priority
70;19;1.2969;LFF;BLA;Priority
70;18;1.2969;LFF;BLA;Priority
70;17;1.2969;LFF;BLA;Priority
70;16;1.2969;LFF;BLA;Priority
70;15;1.2969;LFF;BLA;Priority
70;14;1.2969;LFF;BLA;Priority
70;13;1.2969;LFF;BLA;Priority
70;12;1.2969;LFF;BLA;Priority
80;23;1.4822;LFF;BLA;Priority
80;22;1.4822;LFF;BLA;Priority
80;21;1.4822;LFF;BLA;Priority
80;20;1.4822;LFF;BLA;Priority
80;19;1.4822;LFF;BLA;Priority
80;18;1.4822;LFF;BLA;Priority
80;17;1.4822;LFF;BLA;Priority
80;16;1.4822;LFF;BLA;Priority
80;15;1.4822;LFF;BLA;Priority
80;14;1.4822;LFF;BLA;Priority
80;13;1.4822;LFF;BLA;Priority
80;12;1.4822;LFF;BLA;Priority
90;23;1.6675;LFF;BLA;Priority
90;22;1.6675;LFF;BLA;Priority
90;21;1.6675;LFF;BLA;Priority
90;20;1.6675;LFF;BLA;Priority
90;19;1.6675;LFF;BLA;Priority
90;18;1.6675;LFF;BLA;Priority
90;17;1.6675;LFF;BLA;Priority
90;16;1.6675;LFF;BLA;Priority
90;15;1.6675;LFF;BLA;Priority
90;14;1.6675;LFF;BLA;Priority
90;13;1.6675;LFF;BLA;Priority
90;12;1.6675;LFF;BLA;Priority
100;23;1.8528;LFF;BLA;Priority
100;22;1.8528;LFF;BLA;Priority
100;21;1.8528;LFF;BLA;Priority
100;20;1.8528;LFF;BLA;Priority
100;19;1.8528;LFF;BLA;Priority
100;18;1.8528;LFF;BLA;Priority
100;17;1.8528;LFF;BLA;Priority
100;16;1.8528;LFF;BLA;Priority
100;15;1.8528;LFF;BLA;Priority
100;14;1.8528;LFF;BLA;Priority
100;13;1.8528;LFF;BLA;Priority
100;12;1.8528;LFF;BLA;Priority
110;23;2.0381;LFF;BLA;Priority
110;22;2.0381;LFF;BLA;Priority
110;21;2.0381;LFF;BLA;Priority
110;20;2.0381;LFF;BLA;Priority
110;19;2.0381;LFF;BLA;Priority
110;18;2.0381;LFF;BLA;Priority
110;17;2.0381;LFF;BLA;Priority
110;16;2.0381;LFF;BLA;Priority
110;15;2.0381;LFF;BLA;Priority
110;14;2.0381;LFF;BLA;Priority
110;13;2.0381;LFF;BLA;Priority
110;12;2.0381;LFF;BLA;Priority
120;23;2.2233;LFF;BLA;Priority
120;22;2.2233;LFF;BLA;Priority
120;21;2.2233;LFF;BLA;Priority
120;20;2.2233;LFF;BLA;Priority
120;19;2.2233;LFF;BLA;Priority
120;18;2.2233;LFF;BLA;Priority
120;17;2.2233;LFF;BLA;Priority
120;16;2.2233;LFF;BLA;Priority
120;15;2.2233;LFF;BLA;Priority
120;14;2.2233;LFF;BLA;Priority
120;13;2.2233;LFF;BLA;Priority
120;12;2.2233;LFF;BLA;Priority
130;23;2.4086;LFF;BLA;Priority
130;22;2.4086;LFF;BLA;Priority
130;21;2.4086;LFF;BLA;Priority
130;20;2.4086;LFF;BLA;Priority
130;19;2.4086;LFF;BLA;Priority
130;18;2.4086;LFF;BLA;Priority
130;17;2.4086;LFF;BLA;Priority
130;16;2.4086;LFF;BLA;Priority
130;15;2.4086;LFF;BLA;Priority
130;14;2.4086;LFF;BLA;Priority
130;13;2.4086;LFF;BLA;Priority
130;12;2.4086;LFF;BLA;Priority
140;23;2.5939;LFF;BLA;Priority
140;22;2.5939;LFF;BLA;Priority
140;21;2.5939;LFF;BLA;Priority
140;20;2.5939;LFF;BLA;Priority
140;19;2.5939;LFF;BLA;Priority
140;18;2.5939;LFF;BLA;Priority
140;17;2.5939;LFF;BLA;Priority
140;16;2.5939;LFF;BLA;Priority
140;15;2.5939;LFF;BLA;Priority
140;14;2.5939;LFF;BLA;Priority
140;13;2.5939;LFF;BLA;Priority
140;12;2.5939;LFF;BLA;Priority
