vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LFF;BLA;Priority;10;7;0.1853
LFF;BLA;Priority;10;6;0.1853
LFF;BLA;Priority;10;5;0.1853
LFF;BLA;Priority;10;4;0.1853
LFF;BLA;Priority;20;7;0.3706
LFF;BLA;Priority;20;6;0.3706
LFF;BLA;Priority;20;5;0.3706
LFF;BLA;Priority;20;4;0.3706
LFF;BLA;Priority;30;7;0.5558
LFF;BLA;Priority;30;6;0.5558
LFF;BLA;Priority;30;5;0.5558
LFF;BLA;Priority;30;4;0.5558
LFF;BLA;Priority;40;7;0.7411
LFF;BLA;Priority;40;6;0.7411
LFF;BLA;Priority;40;5;0.7411
LFF;BLA;Priority;40;4;0.7411
LFF;BLA;Priority;50;7;0.9264
LFF;BLA;Priority;50;6;0.9264
LFF;BLA;Priority;50;5;0.9264
LFF;BLA;Priority;50;4;0.9264
LFF;BLA;Priority;60;7;1.1117
LFF;BLA;Priority;60;6;1.1117
LFF;BLA;Priority;60;5;1.1117
LFF;BLA;Priority;60;4;1.1117
LFF;BLA;Priority;70;7;1.2969
LFF;BLA;Priority;70;6;1.2969
LFF;BLA;Priority;70;5;1.2969
LFF;BLA;Priority;70;4;1.2969
LFF;BLA;Priority;80;7;1.4822
LFF;BLA;Priority;80;6;1.4822
LFF;BLA;Priority;80;5;1.4822
LFF;BLA;Priority;80;4;1.4822
LFF;BLA;Priority;90;7;1.6675
LFF;BLA;Priority;90;6;1.6675
LFF;BLA;Priority;90;5;1.6675
LFF;BLA;Priority;90;4;1.6675
LFF;BLA;Priority;100;7;1.8528
LFF;BLA;Priority;100;6;1.8528
LFF;BLA;Priority;100;5;1.8528
LFF;BLA;Priority;100;4;1.8528
LFF;BLA;Priority;110;7;2.0381
LFF;BLA;Priority;110;6;2.0381
LFF;BLA;Priority;110;5;2.0381
LFF;BLA;Priority;110;4;2.0381
LFF;BLA;Priority;120;7;2.2233
LFF;BLA;Priority;120;6;2.2233
LFF;BLA;Priority;120;5;2.2233
LFF;BLA;Priority;120;4;2.2233
LFF;BLA;Priority;130;7;2.4086
LFF;BLA;Priority;130;6;2.4086
LFF;BLA;Priority;130;5;2.4086
LFF;BLA;Priority;130;4;2.4086
LFF;BLA;PSO;10;7;0.1853
LFF;BLA;PSO;10;6;0.1853
LFF;BLA;PSO;10;5;0.1853
LFF;BLA;PSO;10;4;0.1853
LFF;BLA;PSO;20;7;0.3706
LFF;BLA;PSO;20;6;0.3706
LFF;BLA;PSO;20;5;0.3706
LFF;BLA;PSO;20;4;0.3706
LFF;BLA;PSO;30;7;0.5558
LFF;BLA;PSO;30;6;0.5558
LFF;BLA;PSO;30;5;0.5558
LFF;BLA;PSO;30;4;0.5558
LFF;BLA;PSO;40;7;0.7411
