start,source,z,w1,link,dest,psize,w2,len_cloudlet,priority
1.0,web0,0,1,link_web0_app0,app0,10000000,1,200,3
1.5,app0,0,1,link_app0_db0,db0,5000000,1,300,2
2.0,db0,0,1,link_db0_app0,app0,100000000,1,600,1
2.5,app0,0,1,link_app0_web0,web0,5000000,1,700,2
3.0,web1,0,1,link_web1_app0,app0,20000000,1,2000,3
3.5,app0,0,1,link_app0_db0,db0,10000000,1,15000,2
4.0,db0,0,1,link_db0_app0,app0,100000000,1,30000,1
4.5,app0,0,1,link_app0_web1,web1,100000000,1,35000,2
5.0,web0,0,1,link_web0_app0,app0,10000000,1,200,3
5.5,app0,0,1,link_app0_db0,db0,50000000,1,300,2
6.0,db0,0,1,link_db0_app0,app0,100000000,1,600,1
6.5,app0,0,1,link_app0_web0,web0,50000000,1,700,2
7.0,web1,0,1,link_web1_app0,app0,5000000,1,2000,3
7.5,app0,0,1,link_app0_db0,db0,20000000,1,15000,2
8.0,db0,0,1,link_db0_app0,app0,75000000,1,30000,1
8.5,app0,0,1,link_app0_web1,web1,75000000,1,35000,2
9.0,web0,0,1,link_web0_app0,app0,75000000,1,400,3
9.5,app0,0,1,link_app0_db0,db0,50000000,1,500,2
10.0,db0,0,1,link_db0_app0,app0,100000000,1,800,1
10.5,app0,0,1,link_app0_web0,web0,10000000,1,1100,2
11.0,web1,0,1,link_web1_app0,app0,50000000,1,20000,3
11.5,app0,0,1,link_app0_db0,db0,100000000,1,25000,2
12.0,db0,0,1,link_db0_app0,app0,100000000,1,60000,1
12.5,app0,0,1,link_app0_web1,web1,50000000,1,65000,2
13.0,web0,0,1,link_web0_app0,app0,10000000,1,400,3
13.5,app0,0,1,link_app0_db0,db0,100000000,1,500,2
14.0,db0,0,1,link_db0_app0,app0,50000000,1,800,1
14.5,app0,0,1,link_app0_web0,web0,100000000,1,900,2
15.0,web1,0,1,link_web1_app0,app0,5000000,1,20000,3
15.5,app0,0,1,link_app0_db0,db0,100000000,1,35000,2
16.0,db0,0,1,link_db0_app0,app0,5000000,1,50000,1
16.5,app0,0,1,link_app0_web1,web1,10000000,1,55000,2
17.0,web0,0,1,link_web0_app0,app0,100000000,1,800,3
17.5,app0,0,1,link_app0_db0,db0,75000000,1,900,2
18.0,db0,0,1,link_db0_app0,app0,100000000,1,1400,1
18.5,app0,0,1,link_app0_web0,web0,20000000,1,1500,2
19.0,web1,0,1,link_web1_app0,app0,10000000,1,50000,3
19.5,app0,0,1,link_app0_db0,db0,20000000,1,75000,2
20.0,db0,0,1,link_db0_app0,app0,5000000,1,80000,1
20.5,app0,0,1,link_app0_web1,web1,20000000,1,85000,2
21.0,web0,0,1,link_web0_app0,app0,20000000,1,20,3
21.5,app0,0,1,link_app0_db0,db0,100000000,1,30,2
22.0,db0,0,1,link_db0_app0,app0,75000000,1,60,1
22.5,app0,0,1,link_app0_web0,web0,75000000,1,70,2
23.0,web1,0,1,link_web1_app0,app0,100000000,1,200,3
23.5,app0,0,1,link_app0_db0,db0,5000000,1,300,2
24.0,db0,0,1,link_db0_app0,app0,100000000,1,600,1
24.5,app0,0,1,link_app0_web1,web1,5000000,1,700,2
25.0,web0,0,1,link_web0_app0,app0,75000000,1,1200,3
25.5,app0,0,1,link_app0_db0,db0,100000000,1,1900,2
