# units: time(s); hostId; energy(Wh)
10;3;0.0709
10;2;0.0741
10;1;0.0757
10;0;0.0712
20;3;0.0699
20;2;0.0704
20;1;0.0698
20;0;0.0699
30;3;0.0699
30;2;0.0704
30;1;0.0698
30;0;0.0699
40;3;0.0699
40;2;0.0704
40;1;0.0698
40;0;0.0699
50;3;0.0699
50;2;0.0704
50;1;0.0698
50;0;0.0699
60;3;0.0699
60;2;0.0704
60;1;0.0698
60;0;0.0699
70;3;0.0699
70;2;0.0704
70;1;0.0698
70;0;0.0699
80;3;0.0699
80;2;0.0704
80;1;0.0698
80;0;0.0699
90;3;0.0699
90;2;0.0704
90;1;0.0698
90;0;0.0699
100;3;0.0699
100;2;0.0704
100;1;0.0698
100;0;0.0699
110;3;0.0699
110;2;0.0704
110;1;0.0698
110;0;0.0699
120;3;0.0699
120;2;0.0704
120;1;0.0698
120;0;0.0699
