# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;689.7990;8690.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;800.2010;7869.7990;8670.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;4000.2010;4609.7990;8610.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;2589.7990;8590.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;1600.2010;6979.7990;8580.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;400.2010;8169.7990;8570.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;4000.2220;4959.7780;8960.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;949.7780;8950.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;809.7780;8810.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;4000.2220;4799.7780;8800.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;6000.2220;2769.7780;8770.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;400.2220;8349.7780;8750.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;800.2220;7929.7780;8730.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;709.7780;8710.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;400.2220;8299.7780;8700.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;1600.2220;7019.7780;8620.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;549.7780;8550.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;1600.2220;6929.7780;8530.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;519.7780;8520.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;8000.2010;999.7990;9000.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;800.2220;8189.7780;8990.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;400.2010;8579.7990;8980.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2969.7780;8970.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2919.7780;8920.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;800.2220;8109.7780;8910.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;899.7780;8900.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;1600.2220;7289.7780;8890.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;879.7780;8880.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;1600.2010;7269.7990;8870.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;4000.2010;4859.7990;8860.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;4000.2220;4839.7780;8840.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;819.7780;8820.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;400.2010;8389.7990;8790.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;779.7780;8780.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;400.2220;8339.7780;8740.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;7919.7990;8720.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2679.7780;8680.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;659.7780;8660.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2649.7780;8650.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;800.2220;7839.7780;8640.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;400.2220;8199.7780;8600.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;559.7780;8560.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;539.7780;8540.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;509.7780;8510.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;400.2220;8539.7780;8940.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;6000.2220;2929.7780;8930.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;4000.2220;4849.7780;8850.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;8000.2220;829.7780;8830.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;800.2220;7959.7780;8760.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;1600.2220;7029.7780;8630.0000;true
