# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
3;app0;web0;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
0;web0;app0;10000000;11700.6659;100.0000;0.2220;800.0000;10800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
8;web0;app0;10000000;7700.6659;100.0000;0.2220;800.0000;6800.0039
12;web1;app0;5000000;5800.4019;1000.0000;0.2010;400.0000;4399.8009
12;web1;app0;5000000;5800.4019;1000.0000;0.2010;400.0000;4399.8009
3;app0;web0;5000000;10500.8878;350.0000;0.2220;400.0000;9750.2259
3;app0;web0;5000000;10500.8878;350.0000;0.2220;400.0000;9750.2259
3;app0;web0;5000000;10500.8878;350.0000;0.2220;400.0000;9750.2259
3;app0;web0;5000000;10500.8878;350.0000;0.2220;400.0000;9750.2259
0;web0;app0;10000000;12600.8878;100.0000;0.2220;800.0000;11700.2259
0;web0;app0;10000000;12600.8878;100.0000;0.2220;800.0000;11700.2259
0;web0;app0;10000000;12600.8878;100.0000;0.2220;800.0000;11700.2259
