# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
47;app0;web1;5000000;10390.4019;350.0000;0.2010;400.0000;9640.2010
47;app0;web1;5000000;10390.4019;350.0000;0.2010;400.0000;9640.2010
47;app0;web1;5000000;11140.6029;350.0000;0.2010;400.0000;10390.4019
47;app0;web1;5000000;11140.6029;350.0000;0.2010;400.0000;10390.4019
47;app0;web1;5000000;11140.6029;350.0000;0.2010;400.0000;10390.4019
47;app0;web1;5000000;11140.6029;350.0000;0.2010;400.0000;10390.4019
12;web1;app0;5000000;11630.4019;1000.0000;0.2010;400.0000;10230.2010
12;web1;app0;5000000;11630.4019;1000.0000;0.2010;400.0000;10230.2010
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
1;app0;db0;5000000;11551.2058;150.0000;0.4020;800.0000;10600.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
45;app0;db0;5000000;11501.2058;150.0000;0.4020;800.0000;10550.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
3;app0;web0;5000000;12301.2059;350.0000;0.4020;800.0000;11150.8039
1;app0;db0;5000000;12501.6078;150.0000;0.4020;800.0000;11551.2058
1;app0;db0;5000000;12501.6078;150.0000;0.4020;800.0000;11551.2058
1;app0;db0;5000000;12501.6078;150.0000;0.4020;800.0000;11551.2058
1;app0;db0;5000000;12501.6078;150.0000;0.4020;800.0000;11551.2058
45;app0;db0;5000000;12451.6078;150.0000;0.4020;800.0000;11501.2058
45;app0;db0;5000000;12451.6078;150.0000;0.4020;800.0000;11501.2058
45;app0;db0;5000000;12451.6078;150.0000;0.4020;800.0000;11501.2058
45;app0;db0;5000000;12451.6078;150.0000;0.4020;800.0000;11501.2058
12;web1;app0;5000000;13030.6029;1000.0000;0.2010;400.0000;11630.4019
12;web1;app0;5000000;13030.6029;1000.0000;0.2010;400.0000;11630.4019
12;web1;app0;5000000;13030.6029;1000.0000;0.2010;400.0000;11630.4019
12;web1;app0;5000000;13030.6029;1000.0000;0.2010;400.0000;11630.4019
3;app0;web0;5000000;13451.6078;350.0000;0.4020;800.0000;12301.2059
3;app0;web0;5000000;13451.6078;350.0000;0.4020;800.0000;12301.2059
3;app0;web0;5000000;13451.6078;350.0000;0.4020;800.0000;12301.2059
3;app0;web0;5000000;13451.6078;350.0000;0.4020;800.0000;12301.2059
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
8;web0;app0;10000000;13971.2059;100.0000;0.4020;1600.0000;12270.8039
0;web0;app0;10000000;13831.2058;100.0000;0.4020;1600.0000;12130.8039
0;web0;app0;10000000;13831.2058;100.0000;0.4020;1600.0000;12130.8039
0;web0;app0;10000000;13831.2058;100.0000;0.4020;1600.0000;12130.8039
