# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;400.2010;8489.7990;8890.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;669.7990;8670.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;4000.2010;4609.7990;8610.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;800.2010;7769.7990;8570.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;2559.7990;8560.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;1600.2010;6949.7990;8550.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8920.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;839.5980;8840.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;819.5980;8820.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8770.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8750.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;5539.5980;8740.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;1600.4020;7119.5980;8720.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7899.5980;8700.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8680.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7849.5980;8650.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;5429.5980;8630.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8580.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;12000.4020;0.0000;8530.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8990.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;8980.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8970.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;800.4020;8159.5980;8960.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8950.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;400.2010;8539.7990;8940.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8910.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;8000.2010;879.7990;8880.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;7269.5980;8870.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;3200.4020;5659.5980;8860.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;400.2010;8429.7990;8830.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;8810.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8800.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;1600.2010;7189.7990;8790.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;7979.7990;8780.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;8000.4020;759.5980;8760.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;7129.5980;8730.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;7109.5980;8710.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8690.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8660.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;8640.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;8620.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;4000.2010;4539.7990;8540.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;800.4020;7719.5980;8520.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8510.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;12000.4020;0.0000;9000.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;1600.4020;7329.5980;8930.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;3200.4020;5699.5980;8900.0000;true
