timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_3;3;6.2500;12.5000;20.0000;LFF;0.3338
10;h_2;2;12.5000;25.0000;20.0000;LFF;0.3343
10;h_1;1;3.1250;12.5000;20.0000;LFF;0.3337
10;h_0;0;6.2500;12.5000;20.0000;LFF;0.3338
20;h_3;3;6.2500;12.5000;20.0000;LFF;0.6677
20;h_2;2;12.5000;25.0000;20.0000;LFF;0.6685
20;h_1;1;3.1250;12.5000;20.0000;LFF;0.6674
20;h_0;0;6.2500;12.5000;20.0000;LFF;0.6677
30;h_3;3;6.2500;12.5000;20.0000;LFF;1.0015
30;h_2;2;12.5000;25.0000;20.0000;LFF;1.0028
30;h_1;1;3.1250;12.5000;20.0000;LFF;1.0011
30;h_0;0;6.2500;12.5000;20.0000;LFF;1.0015
40;h_3;3;6.2500;12.5000;20.0000;LFF;1.3353
40;h_2;2;12.5000;25.0000;20.0000;LFF;1.3371
40;h_1;1;3.1250;12.5000;20.0000;LFF;1.3348
40;h_0;0;6.2500;12.5000;20.0000;LFF;1.3353
50;h_3;3;6.2500;12.5000;20.0000;LFF;1.6691
50;h_2;2;12.5000;25.0000;20.0000;LFF;1.6714
50;h_1;1;3.1250;12.5000;20.0000;LFF;1.6685
50;h_0;0;6.2500;12.5000;20.0000;LFF;1.6691
60;h_3;3;6.2500;12.5000;20.0000;LFF;2.0030
60;h_2;2;12.5000;25.0000;20.0000;LFF;2.0056
60;h_1;1;3.1250;12.5000;20.0000;LFF;2.0022
60;h_0;0;6.2500;12.5000;20.0000;LFF;2.0030
70;h_3;3;6.2500;12.5000;20.0000;LFF;2.3368
70;h_2;2;12.5000;25.0000;20.0000;LFF;2.3399
70;h_1;1;3.1250;12.5000;20.0000;LFF;2.3359
70;h_0;0;6.2500;12.5000;20.0000;LFF;2.3368
80;h_3;3;6.2500;12.5000;20.0000;LFF;2.6706
80;h_2;2;12.5000;25.0000;20.0000;LFF;2.6742
80;h_1;1;3.1250;12.5000;20.0000;LFF;2.6696
80;h_0;0;6.2500;12.5000;20.0000;LFF;2.6706
90;h_3;3;6.2500;12.5000;20.0000;LFF;3.0045
90;h_2;2;12.5000;25.0000;20.0000;LFF;3.0084
90;h_1;1;3.1250;12.5000;20.0000;LFF;3.0033
90;h_0;0;6.2500;12.5000;20.0000;LFF;3.0045
100;h_3;3;6.2500;12.5000;20.0000;LFF;3.3383
100;h_2;2;12.5000;25.0000;20.0000;LFF;3.3427
100;h_1;1;3.1250;12.5000;20.0000;LFF;3.3370
100;h_0;0;6.2500;12.5000;20.0000;LFF;3.3383
110;h_3;3;6.2500;12.5000;20.0000;LFF;3.6721
110;h_2;2;12.5000;25.0000;20.0000;LFF;3.6770
110;h_1;1;3.1250;12.5000;20.0000;LFF;3.6707
110;h_0;0;6.2500;12.5000;20.0000;LFF;3.6721
120;h_3;3;6.2500;12.5000;20.0000;LFF;4.0060
120;h_2;2;12.5000;25.0000;20.0000;LFF;4.0113
120;h_1;1;3.1250;12.5000;20.0000;LFF;4.0044
120;h_0;0;6.2500;12.5000;20.0000;LFF;4.0060
130;h_3;3;6.2500;12.5000;20.0000;LFF;4.3398
130;h_2;2;12.5000;25.0000;20.0000;LFF;4.3455
130;h_1;1;3.1250;12.5000;20.0000;LFF;4.3381
130;h_0;0;6.2500;12.5000;20.0000;LFF;4.3398
140;h_3;3;6.2500;12.5000;20.0000;LFF;4.6736
140;h_2;2;12.5000;25.0000;20.0000;LFF;4.6798
140;h_1;1;3.1250;12.5000;20.0000;LFF;4.6717
140;h_0;0;6.2500;12.5000;20.0000;LFF;4.6736
