# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
12;web1;app0;5000000;5800.4019;1000.0000;0.2010;400.0000;4400.2009
12;web1;app0;5000000;5800.4019;1000.0000;0.2010;400.0000;4400.2009
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web0;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
12;web1;app0;5000000;7200.6029;1000.0000;0.2010;400.0000;5800.4019
12;web1;app0;5000000;7200.6029;1000.0000;0.2010;400.0000;5800.4019
12;web1;app0;5000000;7200.6029;1000.0000;0.2010;400.0000;5800.4019
12;web1;app0;5000000;7200.6029;1000.0000;0.2010;400.0000;5800.4019
3;app0;web0;5000000;12101.6078;350.0000;0.4020;800.0000;10951.2059
3;app0;web0;5000000;12101.6078;350.0000;0.4020;800.0000;10951.2059
3;app0;web0;5000000;12101.6078;350.0000;0.4020;800.0000;10951.2059
3;app0;web0;5000000;12101.6078;350.0000;0.4020;800.0000;10951.2059
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
0;web0;app0;10000000;14101.2059;100.0000;0.4020;1600.0000;12400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
8;web0;app0;10000000;10101.2059;100.0000;0.4020;1600.0000;8400.8039
4;web1;app0;20000000;12200.4019;1000.0000;0.2010;1600.0000;9600.2009
4;web1;app0;20000000;12200.4019;1000.0000;0.2010;1600.0000;9600.2009
0;web0;app0;10000000;15801.6078;100.0000;0.4020;1600.0000;14101.2059
0;web0;app0;10000000;15801.6078;100.0000;0.4020;1600.0000;14101.2059
0;web0;app0;10000000;15801.6078;100.0000;0.4020;1600.0000;14101.2059
0;web0;app0;10000000;15801.6078;100.0000;0.4020;1600.0000;14101.2059
8;web0;app0;10000000;11801.6078;100.0000;0.4020;1600.0000;10101.2059
8;web0;app0;10000000;11801.6078;100.0000;0.4020;1600.0000;10101.2059
8;web0;app0;10000000;11801.6078;100.0000;0.4020;1600.0000;10101.2059
8;web0;app0;10000000;11801.6078;100.0000;0.4020;1600.0000;10101.2059
4;web1;app0;20000000;14800.6029;1000.0000;0.2010;1600.0000;12200.4019
4;web1;app0;20000000;14800.6029;1000.0000;0.2010;1600.0000;12200.4019
4;web1;app0;20000000;14800.6029;1000.0000;0.2010;1600.0000;12200.4019
4;web1;app0;20000000;14800.6029;1000.0000;0.2010;1600.0000;12200.4019
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
24;web0;app0;10000000;12401.2059;200.0000;0.4020;1600.0000;10600.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
19;app0;web0;10000000;15951.2058;550.0000;0.4020;1600.0000;13800.8039
24;web0;app0;10000000;14201.6078;200.0000;0.4020;1600.0000;12401.2059
24;web0;app0;10000000;14201.6078;200.0000;0.4020;1600.0000;12401.2059
24;web0;app0;10000000;14201.6078;200.0000;0.4020;1600.0000;12401.2059
24;web0;app0;10000000;14201.6078;200.0000;0.4020;1600.0000;12401.2059
19;app0;web0;10000000;18101.6078;550.0000;0.4020;1600.0000;15951.2058
19;app0;web0;10000000;18101.6078;550.0000;0.4020;1600.0000;15951.2058
19;app0;web0;10000000;18101.6078;550.0000;0.4020;1600.0000;15951.2058
19;app0;web0;10000000;18101.6078;550.0000;0.4020;1600.0000;15951.2058
47;app0;web1;5000000;7000.4019;350.0000;0.2010;400.0000;6250.2010
47;app0;web1;5000000;7000.4019;350.0000;0.2010;400.0000;6250.2010
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
35;app0;web0;20000000;13351.2058;750.0000;0.4020;3200.0000;9400.8039
47;app0;web1;5000000;7750.6029;350.0000;0.2010;400.0000;7000.4019
47;app0;web1;5000000;7750.6029;350.0000;0.2010;400.0000;7000.4019
47;app0;web1;5000000;7750.6029;350.0000;0.2010;400.0000;7000.4019
47;app0;web1;5000000;7750.6029;350.0000;0.2010;400.0000;7000.4019
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;9351.2059;150.0000;0.4020;800.0000;8400.8039
45;app0;db0;5000000;10301.6078;150.0000;0.4020;800.0000;9351.2059
45;app0;db0;5000000;10301.6078;150.0000;0.4020;800.0000;9351.2059
45;app0;db0;5000000;10301.6078;150.0000;0.4020;800.0000;9351.2059
45;app0;db0;5000000;10301.6078;150.0000;0.4020;800.0000;9351.2059
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
9;app0;db0;50000000;28951.2059;150.0000;0.4020;8000.0000;20800.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
17;app0;db0;50000000;25251.2059;250.0000;0.4020;8000.0000;17000.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
11;app0;web0;50000000;28551.2059;350.0000;0.4020;8000.0000;20200.8039
35;app0;web0;20000000;17301.6078;750.0000;0.4020;3200.0000;13351.2058
35;app0;web0;20000000;17301.6078;750.0000;0.4020;3200.0000;13351.2058
35;app0;web0;20000000;17301.6078;750.0000;0.4020;3200.0000;13351.2058
35;app0;web0;20000000;17301.6078;750.0000;0.4020;3200.0000;13351.2058
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
5;app0;db0;10000000;33801.2058;7500.0000;0.4020;1600.0000;24700.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
40;web0;app0;20000000;18631.2059;10.0000;0.4020;3200.0000;15420.8039
28;web1;app0;5000000;25800.4019;10000.0000;0.2010;400.0000;15400.2009
28;web1;app0;5000000;25800.4019;10000.0000;0.2010;400.0000;15400.2009
13;app0;db0;20000000;34601.2058;7500.0000;0.4020;3200.0000;23900.8039
13;app0;db0;20000000;34601.2058;7500.0000;0.4020;3200.0000;23900.8039
