# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;0.0000;5500.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;0.0000;1500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7699.5980;8500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;1600.4020;4899.5980;6500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;0.0000;4500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;0.0000;2500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;0.0000;500.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;7399.5980;9000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8000.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;1600.2010;5399.7990;7000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;6000.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;3399.5980;5000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;4000.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;400.2010;2599.7990;3000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;2000.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;1000.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;800.4020;6699.5980;7500.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;8000.4020;0.0000;3500.0000;true
20;h_1;h_3;h_1->e1->h_3;100.0000;432.00;432.00;4000.2010;3499.7990;7500.0000;true
20;h_1;h_3;h_1->e1->h_3;100.0000;432.00;432.00;800.2010;2699.7990;3500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;352.00;504.00;16000.4020;0.0000;8500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;352.00;504.00;16000.4020;0.0000;6500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;352.00;504.00;16000.4020;0.0000;4500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;352.00;504.00;12000.4020;0.0000;2500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;352.00;504.00;3200.4020;0.0000;500.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;724.00;1100.00;16000.4020;0.0000;10000.0000;true
20;h_3;h_1;h_3->e1->h_1;100.0000;416.00;416.00;4000.2010;4999.7990;9000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;724.00;1100.00;16000.4020;0.0000;8000.0000;true
20;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;612.00;988.00;1600.4020;5399.5980;7000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;724.00;1100.00;8000.4020;0.0000;6000.0000;true
20;h_3;h_1;h_3->e1->h_1;100.0000;416.00;416.00;400.2010;4599.7990;5000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;724.00;1100.00;800.4020;3199.5980;4000.0000;true
20;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;612.00;988.00;16000.4020;0.0000;3000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;724.00;1100.00;16000.4020;0.0000;2000.0000;true
20;h_3;h_1;h_3->e1->h_1;100.0000;416.00;416.00;800.2010;199.7990;1000.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;320.00;472.00;1600.4020;7899.5980;9500.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;320.00;472.00;16000.4020;0.0000;5500.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;320.00;472.00;3200.4020;0.0000;1500.0000;true
30;h_1;h_3;h_1->e1->h_3;100.0000;516.00;516.00;1600.2010;7899.7990;9500.0000;true
30;h_1;h_3;h_1->e1->h_3;100.0000;516.00;516.00;400.2010;5099.7990;5500.0000;true
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;812.00;1232.00;16000.4020;0.0000;8500.0000;true
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;812.00;1232.00;800.4020;5699.5980;6500.0000;true
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;812.00;1232.00;16000.4020;0.0000;4500.0000;true
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;726.00;1098.00;800.4020;9199.5980;10000.0000;true
30;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;628.00;1000.00;3200.4020;5799.5980;9000.0000;true
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;726.00;1098.00;12000.4020;0.0000;8000.0000;true
30;h_3;h_1;h_3->e1->h_1;100.0000;476.00;476.00;8000.2010;0.0000;7000.0000;true
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;726.00;1098.00;16000.4020;0.0000;6000.0000;true
30;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;628.00;1000.00;12000.4020;0.0000;5000.0000;true
30;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;706.00;1126.00;12000.4020;0.0000;7500.0000;true
