# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
10;3;6.2500;12.5000;20.0000;0.3338
10;2;12.5000;25.0000;20.0000;0.3343
10;1;3.1250;12.5000;20.0000;0.3337
10;0;6.2500;12.5000;20.0000;0.3338
20;3;6.2500;12.5000;20.0000;0.6677
20;2;12.5000;25.0000;20.0000;0.6685
20;1;3.1250;12.5000;20.0000;0.6674
20;0;6.2500;12.5000;20.0000;0.6677
30;3;6.2500;12.5000;20.0000;1.0015
30;2;12.5000;25.0000;20.0000;1.0028
30;1;3.1250;12.5000;20.0000;1.0011
30;0;6.2500;12.5000;20.0000;1.0015
40;3;6.2500;12.5000;20.0000;1.3353
40;2;12.5000;25.0000;20.0000;1.3371
40;1;3.1250;12.5000;20.0000;1.3348
40;0;6.2500;12.5000;20.0000;1.3353
50;3;6.2500;12.5000;20.0000;1.6691
50;2;12.5000;25.0000;20.0000;1.6714
50;1;3.1250;12.5000;20.0000;1.6685
50;0;6.2500;12.5000;20.0000;1.6691
60;3;6.2500;12.5000;20.0000;2.0030
60;2;12.5000;25.0000;20.0000;2.0056
60;1;3.1250;12.5000;20.0000;2.0022
60;0;6.2500;12.5000;20.0000;2.0030
70;3;6.2500;12.5000;20.0000;2.3368
70;2;12.5000;25.0000;20.0000;2.3399
70;1;3.1250;12.5000;20.0000;2.3359
70;0;6.2500;12.5000;20.0000;2.3368
80;3;6.2500;12.5000;20.0000;2.6706
80;2;12.5000;25.0000;20.0000;2.6742
80;1;3.1250;12.5000;20.0000;2.6696
80;0;6.2500;12.5000;20.0000;2.6706
90;3;6.2500;12.5000;20.0000;3.0045
90;2;12.5000;25.0000;20.0000;3.0084
90;1;3.1250;12.5000;20.0000;3.0033
90;0;6.2500;12.5000;20.0000;3.0045
100;3;6.2500;12.5000;20.0000;3.3383
100;2;12.5000;25.0000;20.0000;3.3427
100;1;3.1250;12.5000;20.0000;3.3370
100;0;6.2500;12.5000;20.0000;3.3383
110;3;6.2500;12.5000;20.0000;3.6721
110;2;12.5000;25.0000;20.0000;3.6770
110;1;3.1250;12.5000;20.0000;3.6707
110;0;6.2500;12.5000;20.0000;3.6721
120;3;6.2500;12.5000;20.0000;4.0060
120;2;12.5000;25.0000;20.0000;4.0113
120;1;3.1250;12.5000;20.0000;4.0044
120;0;6.2500;12.5000;20.0000;4.0060
130;3;6.2500;12.5000;20.0000;4.3398
130;2;12.5000;25.0000;20.0000;4.3455
130;1;3.1250;12.5000;20.0000;4.3381
130;0;6.2500;12.5000;20.0000;4.3398
140;3;6.2500;12.5000;20.0000;4.3398
140;2;12.5000;25.0000;20.0000;4.3455
140;1;3.1250;12.5000;20.0000;4.3381
140;0;6.2500;12.5000;20.0000;4.3398
