# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
1;app0;db0;5000000;10560.6659;150.0000;0.2220;400.0000;10010.0039
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
45;app0;db0;5000000;10320.6658;150.0000;0.2220;400.0000;9769.7839
8;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9899.8010
8;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9899.8010
0;web0;app0;10000000;10320.4019;100.0000;0.2010;800.0000;9419.8009
0;web0;app0;10000000;10320.4019;100.0000;0.2010;800.0000;9419.8009
24;web0;app0;10000000;10650.4019;200.0000;0.2010;800.0000;9649.8009
24;web0;app0;10000000;10650.4019;200.0000;0.2010;800.0000;9649.8009
1;app0;db0;5000000;11110.8878;150.0000;0.2220;400.0000;10560.2259
1;app0;db0;5000000;11110.8878;150.0000;0.2220;400.0000;10560.2259
1;app0;db0;5000000;11110.8878;150.0000;0.2220;400.0000;10560.2259
1;app0;db0;5000000;11110.8878;150.0000;0.2220;400.0000;10560.2259
45;app0;db0;5000000;10870.8878;150.0000;0.2220;400.0000;10320.0058
45;app0;db0;5000000;10870.8878;150.0000;0.2220;400.0000;10320.0058
45;app0;db0;5000000;10870.8878;150.0000;0.2220;400.0000;10320.0058
45;app0;db0;5000000;10870.8878;150.0000;0.2220;400.0000;10320.0058
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
47;app0;web0;5000000;10970.6029;350.0000;0.2010;400.0000;10219.9819
3;app0;web1;5000000;11130.6659;350.0000;0.2220;400.0000;10380.0239
3;app0;web1;5000000;11130.6659;350.0000;0.2220;400.0000;10380.0239
3;app0;web1;5000000;11130.6659;350.0000;0.2220;400.0000;10380.0239
3;app0;web1;5000000;11130.6659;350.0000;0.2220;400.0000;10380.0239
