# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;400.2220;8479.7780;8880.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;8000.2220;829.7780;8830.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;800.2220;7999.7780;8800.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;4000.2220;4729.7780;8730.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;400.2010;8319.7990;8720.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;4000.2010;4639.7990;8640.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;1600.2010;7019.7990;8620.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;2599.7990;8600.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;589.7990;8590.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;1600.2220;6979.7780;8580.0000;true
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0000;0.00;0.00;6000.2220;2569.7780;8570.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;800.2010;7709.7990;8510.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;4000.2220;4969.7780;8970.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;4000.2220;4929.7780;8930.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;400.2220;8509.7780;8910.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;889.7780;8890.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;859.7780;8860.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;800.2220;8019.7780;8820.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;6000.2220;2809.7780;8810.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;789.7780;8790.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;1600.2220;7109.7780;8710.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;679.7780;8680.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;400.2220;8269.7780;8670.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;1600.2220;6959.7780;8560.0000;true
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0000;0.00;0.00;8000.2220;539.7780;8540.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;8199.7990;9000.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2989.7780;8990.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;979.7780;8980.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;4000.2220;4959.7780;8960.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;400.2220;8549.7780;8950.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;6000.2220;2939.7780;8940.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;1600.2010;7319.7990;8920.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;899.7780;8900.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;1600.2220;7269.7780;8870.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;849.7780;8850.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;6000.2010;2839.7990;8840.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;779.7780;8780.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;6000.2010;2769.7990;8770.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;759.7780;8760.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;800.2220;7949.7780;8750.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;400.2220;8339.7780;8740.0000;true
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0000;0.00;0.00;4000.2220;4699.7780;8700.0000;true
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0000;0.00;0.00;8000.2220;689.7780;8690.0000;true
