# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
1;app0;db0;5000000;10150.6659;150.0000;0.2220;400.0000;9600.0039
0;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9899.8010
0;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9899.8010
8;web0;app0;10000000;6800.4020;100.0000;0.2010;800.0000;5899.8010
8;web0;app0;10000000;6800.4020;100.0000;0.2010;800.0000;5899.8010
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
1;app0;db0;5000000;10700.8878;150.0000;0.2220;400.0000;10150.2259
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
3;app0;web1;5000000;9750.6659;350.0000;0.2220;400.0000;9000.0239
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.0020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.0020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.0020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.0020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.0020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.0020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.0020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.0020
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;7200.6659;1000.0000;0.2220;400.0000;5800.0039
12;web1;app0;5000000;8600.8878;1000.0000;0.2220;400.0000;7200.2259
