# units: hostId; total_energy(Wh)
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
142;h_3;3;4.6736
142;h_2;2;4.6798
142;h_1;1;4.6717
142;h_0;0;4.6736
TOTAL;;;18.6988
144;h_3;3;4.6736
144;h_2;2;4.6798
144;h_1;1;4.6717
144;h_0;0;4.6736
TOTAL;;;18.6988
144;h_3;3;4.6736
144;h_2;2;4.6798
144;h_1;1;4.6717
144;h_0;0;4.6736
TOTAL;;;18.6988
144;h_3;3;4.6736
144;h_2;2;4.6798
144;h_1;1;4.6717
144;h_0;0;4.6736
TOTAL;;;18.6988
144;h_3;3;4.6736
144;h_2;2;4.6798
144;h_1;1;4.6717
144;h_0;0;4.6736
TOTAL;;;18.6988
173;h_3;3;5.7686
173;h_2;2;5.7763
173;h_1;1;5.7663
173;h_0;0;5.7686
TOTAL;;;23.0798
173;h_3;3;5.7686
173;h_2;2;5.7763
173;h_1;1;5.7663
173;h_0;0;5.7686
TOTAL;;;23.0798
173;h_3;3;5.7686
173;h_2;2;5.7763
173;h_1;1;5.7663
173;h_0;0;5.7686
TOTAL;;;23.0798
173;h_3;3;5.7686
173;h_2;2;5.7763
173;h_1;1;5.7663
173;h_0;0;5.7686
TOTAL;;;23.0798
183;h_3;3;6.1025
183;h_2;2;6.1105
183;h_1;1;6.1000
183;h_0;0;6.1025
TOTAL;;;24.4155
