# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
8;web0;app0;10000000;10770.4020;100.0000;0.2010;800.0000;9870.2010
8;web0;app0;10000000;10770.4020;100.0000;0.2010;800.0000;9870.2010
0;web0;app0;10000000;10690.4019;100.0000;0.2010;800.0000;9790.2010
0;web0;app0;10000000;10690.4019;100.0000;0.2010;800.0000;9790.2010
24;web0;app0;10000000;10820.4019;200.0000;0.2010;800.0000;9820.2010
24;web0;app0;10000000;10820.4019;200.0000;0.2010;800.0000;9820.2010
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
47;app0;web0;5000000;10930.6029;350.0000;0.2010;400.0000;10180.4019
8;web0;app0;10000000;11670.6029;100.0000;0.2010;800.0000;10770.4020
8;web0;app0;10000000;11670.6029;100.0000;0.2010;800.0000;10770.4020
8;web0;app0;10000000;11670.6029;100.0000;0.2010;800.0000;10770.4020
8;web0;app0;10000000;11670.6029;100.0000;0.2010;800.0000;10770.4020
0;web0;app0;10000000;11590.6029;100.0000;0.2010;800.0000;10690.4019
0;web0;app0;10000000;11590.6029;100.0000;0.2010;800.0000;10690.4019
0;web0;app0;10000000;11590.6029;100.0000;0.2010;800.0000;10690.4019
0;web0;app0;10000000;11590.6029;100.0000;0.2010;800.0000;10690.4019
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
1;app0;db0;5000000;11431.2058;150.0000;0.4020;800.0000;10480.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
45;app0;db0;5000000;11401.2058;150.0000;0.4020;800.0000;10450.8039
24;web0;app0;10000000;11820.6029;200.0000;0.2010;800.0000;10820.4019
24;web0;app0;10000000;11820.6029;200.0000;0.2010;800.0000;10820.4019
24;web0;app0;10000000;11820.6029;200.0000;0.2010;800.0000;10820.4019
24;web0;app0;10000000;11820.6029;200.0000;0.2010;800.0000;10820.4019
40;web0;app0;20000000;11850.4019;10.0000;0.2010;1600.0000;10240.2009
40;web0;app0;20000000;11850.4019;10.0000;0.2010;1600.0000;10240.2009
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
3;app0;web1;5000000;12071.2058;350.0000;0.4020;800.0000;10920.8039
1;app0;db0;5000000;12381.6078;150.0000;0.4020;800.0000;11431.2058
1;app0;db0;5000000;12381.6078;150.0000;0.4020;800.0000;11431.2058
1;app0;db0;5000000;12381.6078;150.0000;0.4020;800.0000;11431.2058
1;app0;db0;5000000;12381.6078;150.0000;0.4020;800.0000;11431.2058
45;app0;db0;5000000;12351.6078;150.0000;0.4020;800.0000;11401.2058
45;app0;db0;5000000;12351.6078;150.0000;0.4020;800.0000;11401.2058
45;app0;db0;5000000;12351.6078;150.0000;0.4020;800.0000;11401.2058
45;app0;db0;5000000;12351.6078;150.0000;0.4020;800.0000;11401.2058
40;web0;app0;20000000;13460.6029;10.0000;0.2010;1600.0000;11850.4019
40;web0;app0;20000000;13460.6029;10.0000;0.2010;1600.0000;11850.4019
40;web0;app0;20000000;13460.6029;10.0000;0.2010;1600.0000;11850.4019
40;web0;app0;20000000;13460.6029;10.0000;0.2010;1600.0000;11850.4019
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
12;web1;app0;5000000;14151.2058;1000.0000;0.4020;800.0000;12350.8039
