# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;16000.4020;0.0000;8920.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;3200.4020;5699.5980;8900.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;8000.4020;789.5980;8790.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;769.7990;8770.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;2729.7990;8730.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;1600.4020;7089.5980;8690.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;400.2010;8279.7990;8680.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;12000.4020;0.0000;8650.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;800.4020;7819.5980;8620.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;800.2010;7759.7990;8560.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;1600.2010;6939.7990;8540.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;4000.2010;4529.7990;8530.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;849.5980;8850.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8780.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8760.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8740.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;5469.5980;8670.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8660.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;5439.5980;8640.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;609.5980;8610.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;1600.4020;6999.5980;8600.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7779.5980;8580.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;16000.4020;0.0000;8570.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7749.5980;8550.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;12000.4020;0.0000;8510.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;9000.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;8000.2010;989.7990;8990.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;3200.4020;5779.5980;8980.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;8169.7990;8970.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;6000.2010;2959.7990;8960.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8950.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8940.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8930.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;800.4020;8109.5980;8910.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;8089.7990;8890.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;8000.4020;879.5980;8880.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8870.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;1600.4020;7259.5980;8860.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8840.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;6000.2010;2829.7990;8830.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;8019.7990;8820.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;8000.4020;809.5980;8810.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8800.0000;true
