# units: time(s); hostId; energy(Wh)
10;3;0.0704
10;2;0.0716
10;1;0.0717
10;0;0.0702
20;3;0.0704
20;2;0.0721
20;1;0.0723
20;0;0.0703
30;3;0.0703
30;2;0.0713
30;1;0.0713
30;0;0.0703
40;3;0.0699
40;2;0.0704
40;1;0.0698
40;0;0.0699
50;3;0.0699
50;2;0.0704
50;1;0.0698
50;0;0.0699
60;3;0.0699
60;2;0.0704
60;1;0.0698
60;0;0.0699
70;3;0.0699
70;2;0.0704
70;1;0.0698
70;0;0.0699
80;3;0.0699
80;2;0.0704
80;1;0.0698
80;0;0.0699
90;3;0.0699
90;2;0.0704
90;1;0.0698
90;0;0.0699
100;3;0.0699
100;2;0.0704
100;1;0.0698
100;0;0.0699
110;3;0.0699
110;2;0.0704
110;1;0.0698
110;0;0.0699
120;3;0.0699
120;2;0.0704
120;1;0.0698
120;0;0.0699
130;3;0.0699
130;2;0.0704
130;1;0.0698
130;0;0.0699
140;3;0.0699
140;2;0.0704
140;1;0.0698
140;0;0.0699
150;3;0.0699
150;2;0.0704
150;1;0.0698
150;0;0.0699
160;3;0.0699
160;2;0.0704
160;1;0.0698
160;0;0.0699
