# units: time(s); hostId; vmIds
0,00;h_3;1
0,00;h_2;1
0,00;h_1;1
0,00;h_0;1
10;3;0
10;2;2
10;1;1
10;0;3
20;3;0
20;2;2
20;1;1
20;0;3
30;3;0
30;2;2
30;1;1
30;0;3
40;3;0
40;2;2
40;1;1
40;0;3
50;3;0
50;2;2
50;1;1
50;0;3
60;3;0
60;2;2
60;1;1
60;0;3
70;3;0
70;2;2
70;1;1
70;0;3
80;3;0
80;2;2
80;1;1
80;0;3
90;3;0
90;2;2
90;1;1
90;0;3
100;3;0
100;2;2
100;1;1
100;0;3
110;3;0
110;2;2
110;1;1
110;0;3
120;3;0
120;2;2
120;1;1
120;0;3
130;3;0
130;2;2
130;1;1
130;0;3
140;3;0
140;2;2
140;1;1
140;0;3
150;3;0
150;2;2
150;1;1
150;0;3
160;3;0
160;2;2
160;1;1
160;0;3
