# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
0;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9900.2010
0;web0;app0;10000000;10800.4020;100.0000;0.2010;800.0000;9900.2010
8;web0;app0;10000000;6800.4020;100.0000;0.2010;800.0000;5900.2010
8;web0;app0;10000000;6800.4020;100.0000;0.2010;800.0000;5900.2010
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.4020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.4020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.4020
0;web0;app0;10000000;11700.6029;100.0000;0.2010;800.0000;10800.4020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.4020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.4020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.4020
8;web0;app0;10000000;7700.6029;100.0000;0.2010;800.0000;6800.4020
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
1;app0;db0;5000000;11351.2059;150.0000;0.4020;800.0000;10400.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
3;app0;web1;5000000;10951.2059;350.0000;0.4020;800.0000;9800.8039
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
1;app0;db0;5000000;12301.6078;150.0000;0.4020;800.0000;11351.2059
12;web1;app0;5000000;8401.2059;1000.0000;0.4020;800.0000;6600.8039
12;web1;app0;5000000;8401.2059;1000.0000;0.4020;800.0000;6600.8039
12;web1;app0;5000000;8401.2059;1000.0000;0.4020;800.0000;6600.8039
12;web1;app0;5000000;8401.2059;1000.0000;0.4020;800.0000;6600.8039
