# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;800.4020;6699.5980;7500.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;8000.2010;0.0000;5500.0000;true
10;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;0.00;0.00;8000.4020;0.0000;3500.0000;true
10;h_1;h_3;h_1->e1->h_3;100.0000;0.00;0.00;6000.2010;0.0000;1500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;800.4020;7699.5980;8500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;1600.4020;4899.5980;6500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;0.0000;4500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;3200.4020;0.0000;2500.0000;true
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;0.00;0.00;8000.4020;0.0000;500.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;8199.7990;9000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;8000.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;3200.4020;3799.5980;7000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;6000.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;800.2010;4199.7990;5000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;16000.4020;0.0000;4000.0000;true
10;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;0.00;0.00;800.4020;2199.5980;3000.0000;true
10;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;0.00;0.00;12000.4020;0.0000;2000.0000;true
10;h_3;h_1;h_3->e1->h_1;100.0000;0.00;0.00;6000.2010;0.0000;1000.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;392.00;592.00;1600.4020;7899.5980;9500.0000;true
20;h_1;h_3;h_1->e1->h_3;100.0000;384.00;384.00;4000.2010;3499.7990;7500.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;392.00;592.00;16000.4020;0.0000;5500.0000;true
20;h_1;h_3;h_1->e1->h_3;100.0000;384.00;384.00;800.2010;2699.7990;3500.0000;true
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0000;392.00;592.00;3200.4020;0.0000;1500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;400.00;600.00;16000.4020;0.0000;8500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;400.00;600.00;16000.4020;0.0000;6500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;400.00;600.00;16000.4020;0.0000;4500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;400.00;600.00;12000.4020;0.0000;2500.0000;true
20;h_1;h_2;h_1->e1->c1->e0->h_2;50.0000;400.00;600.00;3200.4020;0.0000;500.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;668.00;988.00;16000.4020;0.0000;10000.0000;true
20;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;528.00;848.00;8000.4020;999.5980;9000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;668.00;988.00;16000.4020;0.0000;8000.0000;true
20;h_3;h_1;h_3->e1->h_1;100.0000;472.00;472.00;800.2010;6199.7990;7000.0000;true
20;h_2;h_1;h_2->e0->c1->e1->h_1;50.0000;668.00;988.00;8000.4020;0.0000;6000.0000;true
20;h_0;h_1;h_0->e0->c1->e1->h_1;50.0000;528.00;848.00;800.4020;4199.5980;5000.0000;true
