# units: time(s); switchId; energy(watt)
10;7;0.1853
10;6;0.1853
10;5;0.1853
10;4;0.1853
20;7;0.3706
20;6;0.3706
20;5;0.3706
20;4;0.3706
30;7;0.5558
30;6;0.5558
30;5;0.5558
30;4;0.5558
40;7;0.7411
40;6;0.7411
40;5;0.7411
40;4;0.7411
50;7;0.9264
50;6;0.9264
50;5;0.9264
50;4;0.9264
60;7;1.1117
60;6;1.1117
60;5;1.1117
60;4;1.1117
70;7;1.2969
70;6;1.2969
70;5;1.2969
70;4;1.2969
80;7;1.4822
80;6;1.4822
80;5;1.4822
80;4;1.4822
90;7;1.6675
90;6;1.6675
90;5;1.6675
90;4;1.6675
100;7;1.8528
100;6;1.8528
100;5;1.8528
100;4;1.8528
110;7;2.0381
110;6;2.0381
110;5;2.0381
110;4;2.0381
120;7;2.2233
120;6;2.2233
120;5;2.2233
120;4;2.2233
130;7;2.4086
130;6;2.4086
130;5;2.4086
130;4;2.4086
140;7;2.5939
140;6;2.5939
140;5;2.5939
140;4;2.5939
150;7;2.7792
150;6;2.7792
150;5;2.7792
150;4;2.7792
160;7;2.9644
160;6;2.9644
160;5;2.9644
160;4;2.9644
