# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;3;28.13;62.50;80.00;0.3356
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;0.00;0.00;0.00;0.0000
10.00;3;28.13;62.50;0.00;0.0718
20.00;3;28.13;62.50;80.00;0.3356
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;0.00;0.00;0.00;0.0000
20.00;3;28.13;62.50;0.00;0.0718
30.00;3;28.13;62.50;80.00;0.3356
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;0.00;0.00;0.00;0.0000
30.00;3;28.13;62.50;0.00;0.0718
40.00;3;28.13;62.50;80.00;0.3356
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;0.00;0.00;0.00;0.0000
40.00;3;28.13;62.50;0.00;0.0718
50.00;3;28.13;62.50;80.00;0.3356
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;0.00;0.00;0.00;0.0000
50.00;3;28.13;62.50;0.00;0.0718
60.00;3;28.13;62.50;80.00;0.3356
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;0.00;0.00;0.00;0.0000
70.00;3;28.13;62.50;80.00;0.3356
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;0.00;0.00;0.00;0.0000
