# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
0;web0;app0;10000000;9100.0000;100.0000;0.0000;0.0000;9000.0000
0;web0;app0;10000000;9100.0000;100.0000;0.0000;0.0000;9000.0000
8;web0;app0;10000000;5100.0000;100.0000;0.0000;0.0000;5000.0000
8;web0;app0;10000000;5100.0000;100.0000;0.0000;0.0000;5000.0000
1;app0;db0;5000000;8650.0000;150.0000;0.0000;0.0000;8500.0000
1;app0;db0;5000000;8650.0000;150.0000;0.0000;0.0000;8500.0000
9;app0;db0;50000000;4650.0000;150.0000;0.0000;0.0000;4500.0000
9;app0;db0;50000000;4650.0000;150.0000;0.0000;0.0000;4500.0000
2;db0;app0;100000000;8150.0000;150.0000;0.0000;0.0000;8000.0000
2;db0;app0;100000000;8150.0000;150.0000;0.0000;0.0000;8000.0000
10;db0;app0;100000000;4150.0000;150.0000;0.0000;0.0000;4000.0000
10;db0;app0;100000000;4150.0000;150.0000;0.0000;0.0000;4000.0000
16;web0;app0;75000000;1200.0000;200.0000;0.0000;0.0000;1000.0000
16;web0;app0;75000000;1200.0000;200.0000;0.0000;0.0000;1000.0000
17;app0;db0;50000000;750.0000;250.0000;0.0000;0.0000;500.0000
17;app0;db0;50000000;750.0000;250.0000;0.0000;0.0000;500.0000
3;app0;web0;5000000;7850.0000;350.0000;0.0000;0.0000;7500.0000
3;app0;web0;5000000;7850.0000;350.0000;0.0000;0.0000;7500.0000
11;app0;web0;50000000;3850.0000;350.0000;0.0000;0.0000;3500.0000
11;app0;web0;50000000;3850.0000;350.0000;0.0000;0.0000;3500.0000
4;web1;app0;20000000;8000.0000;1000.0000;0.0000;0.0000;7000.0000
4;web1;app0;20000000;8000.0000;1000.0000;0.0000;0.0000;7000.0000
12;web1;app0;5000000;4000.0000;1000.0000;0.0000;0.0000;3000.0000
12;web1;app0;5000000;4000.0000;1000.0000;0.0000;0.0000;3000.0000
5;app0;db0;10000000;14000.0000;7500.0000;0.0000;0.0000;6500.0000
5;app0;db0;10000000;14000.0000;7500.0000;0.0000;0.0000;6500.0000
13;app0;db0;20000000;10000.0000;7500.0000;0.0000;0.0000;2500.0000
13;app0;db0;20000000;10000.0000;7500.0000;0.0000;0.0000;2500.0000
6;db0;app0;100000000;13500.0000;7500.0000;0.0000;0.0000;6000.0000
6;db0;app0;100000000;13500.0000;7500.0000;0.0000;0.0000;6000.0000
14;db0;app0;75000000;9500.0000;7500.0000;0.0000;0.0000;2000.0000
14;db0;app0;75000000;9500.0000;7500.0000;0.0000;0.0000;2000.0000
18;db0;app0;100000000;10200.0000;200.0000;0.0000;0.0000;10000.0000
18;db0;app0;100000000;10200.0000;200.0000;0.0000;0.0000;10000.0000
24;web0;app0;10000000;7200.0000;200.0000;0.0000;0.0000;7000.0000
24;web0;app0;10000000;7200.0000;200.0000;0.0000;0.0000;7000.0000
26;db0;app0;50000000;6200.0000;200.0000;0.0000;0.0000;6000.0000
26;db0;app0;50000000;6200.0000;200.0000;0.0000;0.0000;6000.0000
25;app0;db0;100000000;6750.0000;250.0000;0.0000;0.0000;6500.0000
25;app0;db0;100000000;6750.0000;250.0000;0.0000;0.0000;6500.0000
34;db0;app0;100000000;2350.0000;350.0000;0.0000;0.0000;2000.0000
34;db0;app0;100000000;2350.0000;350.0000;0.0000;0.0000;2000.0000
32;web0;app0;100000000;3400.0000;400.0000;0.0000;0.0000;3000.0000
32;web0;app0;100000000;3400.0000;400.0000;0.0000;0.0000;3000.0000
33;app0;db0;75000000;2950.0000;450.0000;0.0000;0.0000;2500.0000
33;app0;db0;75000000;2950.0000;450.0000;0.0000;0.0000;2500.0000
27;app0;web0;100000000;5950.0000;450.0000;0.0000;0.0000;5500.0000
27;app0;web0;100000000;5950.0000;450.0000;0.0000;0.0000;5500.0000
19;app0;web0;10000000;10050.0000;550.0000;0.0000;0.0000;9500.0000
19;app0;web0;10000000;10050.0000;550.0000;0.0000;0.0000;9500.0000
35;app0;web0;20000000;2250.0000;750.0000;0.0000;0.0000;1500.0000
35;app0;web0;20000000;2250.0000;750.0000;0.0000;0.0000;1500.0000
7;app0;web1;100000000;23000.0000;17500.0000;0.0000;0.0000;5500.0000
7;app0;web1;100000000;23000.0000;17500.0000;0.0000;0.0000;5500.0000
15;app0;web1;75000000;19000.0000;17500.0000;0.0000;0.0000;1500.0000
15;app0;web1;75000000;19000.0000;17500.0000;0.0000;0.0000;1500.0000
20;web1;app0;50000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
20;web1;app0;50000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
28;web1;app0;5000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
28;web1;app0;5000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
40;web0;app0;20000000;9010.0000;10.0000;0.0000;0.0000;9000.0000
40;web0;app0;20000000;9010.0000;10.0000;0.0000;0.0000;9000.0000
41;app0;db0;100000000;8515.0000;15.0000;0.0000;0.0000;8500.0000
41;app0;db0;100000000;8515.0000;15.0000;0.0000;0.0000;8500.0000
42;db0;app0;75000000;8015.0000;15.0000;0.0000;0.0000;8000.0000
42;db0;app0;75000000;8015.0000;15.0000;0.0000;0.0000;8000.0000
43;app0;web0;75000000;7535.0000;35.0000;0.0000;0.0000;7500.0000
43;app0;web0;75000000;7535.0000;35.0000;0.0000;0.0000;7500.0000
44;web1;app0;100000000;7100.0000;100.0000;0.0000;0.0000;7000.0000
44;web1;app0;100000000;7100.0000;100.0000;0.0000;0.0000;7000.0000
45;app0;db0;5000000;6650.0000;150.0000;0.0000;0.0000;6500.0000
45;app0;db0;5000000;6650.0000;150.0000;0.0000;0.0000;6500.0000
46;db0;app0;100000000;6150.0000;150.0000;0.0000;0.0000;6000.0000
46;db0;app0;100000000;6150.0000;150.0000;0.0000;0.0000;6000.0000
47;app0;web1;5000000;5850.0000;350.0000;0.0000;0.0000;5500.0000
47;app0;web1;5000000;5850.0000;350.0000;0.0000;0.0000;5500.0000
48;web0;app0;75000000;5600.0000;600.0000;0.0000;0.0000;5000.0000
48;web0;app0;75000000;5600.0000;600.0000;0.0000;0.0000;5000.0000
49;app0;db0;100000000;5450.0000;950.0000;0.0000;0.0000;4500.0000
49;app0;db0;100000000;5450.0000;950.0000;0.0000;0.0000;4500.0000
21;app0;db0;100000000;21000.0000;12500.0000;0.0000;0.0000;8500.0000
21;app0;db0;100000000;21000.0000;12500.0000;0.0000;0.0000;8500.0000
30;db0;app0;5000000;16500.0000;12500.0000;0.0000;0.0000;4000.0000
30;db0;app0;5000000;16500.0000;12500.0000;0.0000;0.0000;4000.0000
22;db0;app0;100000000;23000.0000;15000.0000;0.0000;0.0000;8000.0000
22;db0;app0;100000000;23000.0000;15000.0000;0.0000;0.0000;8000.0000
29;app0;db0;100000000;22000.0000;17500.0000;0.0000;0.0000;4500.0000
29;app0;db0;100000000;22000.0000;17500.0000;0.0000;0.0000;4500.0000
36;web1;app0;10000000;26000.0000;25000.0000;0.0000;0.0000;1000.0000
36;web1;app0;10000000;26000.0000;25000.0000;0.0000;0.0000;1000.0000
31;app0;web1;10000000;31000.0000;27500.0000;0.0000;0.0000;3500.0000
31;app0;web1;10000000;31000.0000;27500.0000;0.0000;0.0000;3500.0000
38;db0;app0;5000000;30000.0000;20000.0000;0.0000;0.0000;10000.0000
38;db0;app0;5000000;30000.0000;20000.0000;0.0000;0.0000;10000.0000
23;app0;web1;50000000;40000.0000;32500.0000;0.0000;0.0000;7500.0000
23;app0;web1;50000000;40000.0000;32500.0000;0.0000;0.0000;7500.0000
37;app0;db0;20000000;38000.0000;37500.0000;0.0000;0.0000;500.0000
37;app0;db0;20000000;38000.0000;37500.0000;0.0000;0.0000;500.0000
39;app0;web1;20000000;52000.0000;42500.0000;0.0000;0.0000;9500.0000
39;app0;web1;20000000;52000.0000;42500.0000;0.0000;0.0000;9500.0000
